"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"1","30","Ala","01-01-2015 00:00","-2.2","78.7","0.0","0.0","1.2","0.0"
"1","30","Ala","01-01-2015 01:00","-2.7","81.3","0.0","0.0","1.1","0.0"
"1","30","Ala","01-01-2015 02:00","-2.6","79.9","0.0","0.0","1.1","0.0"
"1","30","Ala","01-01-2015 03:00","-4.3","88.1","0.0","0.0","0.2","0.0"
"1","30","Ala","01-01-2015 04:00","-4.1","87.8","0.0","0.0","1.3","0.0"
"1","30","Ala","01-01-2015 05:00","-3.0","83.5","0.0","0.0","2.6","0.0"
"1","30","Ala","01-01-2015 06:00","-2.1","78.0","0.0","0.0","2.5","0.0"
"1","30","Ala","01-01-2015 07:00","-2.3","79.1","0.0","0.0","2.3","0.0"
"1","30","Ala","01-01-2015 08:00","-2.1","79.1","0.0","0.0","2.3","0.0"
"1","30","Ala","01-01-2015 09:00","-1.6","76.5","0.0","0.0","2.9","0.05"
"1","30","Ala","01-01-2015 10:00","-2.1","79.4","0.0","0.0","2.8","0.12"
"1","30","Ala","01-01-2015 11:00","-0.7","73.0","0.0","0.0","2.8","0.51"
"1","30","Ala","01-01-2015 12:00","1.0","64.7","0.0","0.0","1.8","1.11"
"1","30","Ala","01-01-2015 13:00","2.3","58.3","0.0","0.0","1.4","1.17"
"1","30","Ala","01-01-2015 14:00","3.8","52.2","0.0","0.0","0.7","1.04"
"1","30","Ala","01-01-2015 15:00","4.0","52.2","0.0","0.0","0.7","0.74"
"1","30","Ala","01-01-2015 16:00","3.6","55.1","0.0","0.0","0.5","0.31"
"1","30","Ala","01-01-2015 17:00","1.9","62.0","0.0","0.0","0.6","0.02"
"1","30","Ala","01-01-2015 18:00","0.4","71.0","0.0","0.0","0.2","0.0"
"1","30","Ala","01-01-2015 19:00","-0.2","75.0","0.0","0.0","0.9","0.0"
"1","30","Ala","01-01-2015 20:00","0.9","68.5","0.0","0.0","2.1","0.0"
"1","30","Ala","01-01-2015 21:00","1.6","64.0","0.0","0.0","3.3","0.0"
"1","30","Ala","01-01-2015 22:00","1.6","63.2","0.0","0.0","2.7","0.0"
"1","30","Ala","01-01-2015 23:00","1.6","62.9","0.0","0.0","3.5","0.0"
"1","30","Ala","02-01-2015 00:00","1.6","63.3","0.0","0.0","3.4","0.0"
"1","30","Ala","02-01-2015 01:00","1.6","63.5","0.0","0.0","3.4","0.0"
"1","30","Ala","02-01-2015 02:00","1.6","63.7","0.0","0.0","3.6","0.0"
"1","30","Ala","02-01-2015 03:00","1.5","64.2","0.0","0.0","3.8","0.0"
"1","30","Ala","02-01-2015 04:00","1.3","65.2","0.0","0.0","3.5","0.0"
"1","30","Ala","02-01-2015 05:00","0.7","69.5","0.0","0.0","3.8","0.0"
"1","30","Ala","02-01-2015 06:00","1.0","67.4","0.0","0.0","4.1","0.0"
"1","30","Ala","02-01-2015 07:00","0.8","69.0","0.0","0.0","3.9","0.0"
"1","30","Ala","02-01-2015 08:00","0.9","68.9","0.0","0.0","4.1","0.0"
