"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"4","43","Arsio","01-01-2015 00:00","-3.9","84.9","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 01:00","-5.0","87.8","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 02:00","-4.9","87.3","0.0","0.0","0.3","0.0"
"4","43","Arsio","01-01-2015 03:00","-5.2","86.6","0.0","0.0","0.3","0.0"
"4","43","Arsio","01-01-2015 04:00","-5.7","89.4","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 05:00","-6.0","91.0","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 06:00","-5.5","89.4","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 07:00","-5.7","89.5","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 08:00","-6.0","91.0","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 09:00","-5.6","90.2","0.0","0.0","0.2","0.05"
"4","43","Arsio","01-01-2015 10:00","-0.9","72.4","0.0","0.0","0.1","0.56"
"4","43","Arsio","01-01-2015 11:00","-0.1","68.2","0.0","0.0","0.5","0.98"
"4","43","Arsio","01-01-2015 12:00","1.0","62.4","0.0","0.0","0.5","1.24"
"4","43","Arsio","01-01-2015 13:00","2.0","58.9","0.0","0.0","0.6","1.24"
"4","43","Arsio","01-01-2015 14:00","3.2","53.8","0.0","0.0","0.5","1.09"
"4","43","Arsio","01-01-2015 15:00","3.3","52.7","0.0","0.0","0.5","0.69"
"4","43","Arsio","01-01-2015 16:00","2.2","56.2","0.0","0.0","0.2","0.11"
"4","43","Arsio","01-01-2015 17:00","0.4","65.1","0.0","0.0","0.2","0.03"
"4","43","Arsio","01-01-2015 18:00","-0.6","70.9","0.0","0.0","0.3","0.0"
"4","43","Arsio","01-01-2015 19:00","-1.3","75.8","0.0","0.0","0.3","0.0"
"4","43","Arsio","01-01-2015 20:00","-1.3","75.9","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 21:00","-1.4","76.5","0.0","0.0","0.3","0.0"
"4","43","Arsio","01-01-2015 22:00","-1.7","78.0","0.0","0.0","0.2","0.0"
"4","43","Arsio","01-01-2015 23:00","-1.8","79.5","0.0","0.0","0.2","0.0"
"4","43","Arsio","02-01-2015 00:00","-1.7","79.2","0.0","0.0","0.4","0.0"
"4","43","Arsio","02-01-2015 01:00","-2.2","82.3","0.0","0.0","0.3","0.0"
"4","43","Arsio","02-01-2015 02:00","-2.1","82.0","0.0","0.0","0.3","0.0"
"4","43","Arsio","02-01-2015 03:00","-2.0","82.3","0.0","0.0","0.4","0.0"
"4","43","Arsio","02-01-2015 04:00","-1.8","81.7","0.0","0.0","0.1","0.0"
"4","43","Arsio","02-01-2015 05:00","-1.0","77.2","0.0","0.0","0.2","0.0"
"4","43","Arsio","02-01-2015 06:00","-1.8","81.5","0.0","0.0","0.3","0.0"
"4","43","Arsio","02-01-2015 07:00","-2.0","82.0","0.0","0.0","0.3","0.0"
"4","43","Arsio","02-01-2015 08:00","-1.9","81.6","0.0","0.0","0.3","0.0"
"4","43","Arsio","02-01-2015 09:00","-1.7","81.8","0.0","0.0","0.2","0.08"
"4","43","Arsio","02-01-2015 10:00","2.3","64.7","0.0","0.0","0.2","0.46"
"4","43","Arsio","02-01-2015 11:00","5.6","55.3","0.0","0.0","0.4","1.08"
"4","43","Arsio","02-01-2015 12:00","5.6","55.5","0.0","0.0","0.5","1.18"
"4","43","Arsio","02-01-2015 13:00","5.6","55.2","0.0","0.0","0.4","0.82"
"4","43","Arsio","02-01-2015 14:00","5.7","55.0","0.0","0.0","0.3","0.58"
"4","43","Arsio","02-01-2015 15:00","5.3","56.7","0.0","0.0","0.3","0.3"
"4","43","Arsio","02-01-2015 16:00","4.6","60.6","0.0","0.0","0.3","0.18"
"4","43","Arsio","02-01-2015 17:00","4.4","62.3","0.0","0.0","0.5","0.02"
"4","43","Arsio","02-01-2015 18:00","4.1","63.9","0.0","0.0","0.5","0.0"
"4","43","Arsio","02-01-2015 19:00","3.5","66.8","0.0","0.0","0.4","0.0"
"4","43","Arsio","02-01-2015 20:00","3.7","64.1","0.0","0.0","0.5","0.0"
"4","43","Arsio","02-01-2015 21:00","4.1","61.2","0.0","0.0","0.4","0.0"
"4","43","Arsio","02-01-2015 22:00","3.0","66.7","0.0","0.0","0.4","0.0"
"4","43","Arsio","02-01-2015 23:00","2.6","67.4","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 00:00","3.5","63.5","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 01:00","3.3","65.5","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 02:00","3.1","66.9","0.0","0.0","0.6","0.0"
"4","43","Arsio","03-01-2015 03:00","3.1","66.3","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 04:00","2.4","67.2","0.0","0.0","0.6","0.0"
"4","43","Arsio","03-01-2015 05:00","2.6","63.4","0.0","0.0","0.6","0.0"
"4","43","Arsio","03-01-2015 06:00","2.1","63.9","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 07:00","1.7","64.5","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 08:00","2.2","59.1","0.0","0.0","0.6","0.0"
"4","43","Arsio","03-01-2015 09:00","2.0","60.2","0.0","0.0","0.5","0.11"
"4","43","Arsio","03-01-2015 10:00","4.9","50.6","0.0","0.0","0.3","0.42"
"4","43","Arsio","03-01-2015 11:00","6.9","46.8","0.0","0.0","0.4","0.86"
"4","43","Arsio","03-01-2015 12:00","8.5","42.6","0.0","0.0","0.4","1.25"
"4","43","Arsio","03-01-2015 13:00","9.4","39.4","0.0","0.0","0.5","1.21"
"4","43","Arsio","03-01-2015 14:00","10.0","38.2","0.0","0.0","0.4","1.1"
"4","43","Arsio","03-01-2015 15:00","10.3","36.0","0.0","0.0","0.4","0.76"
"4","43","Arsio","03-01-2015 16:00","8.4","41.9","0.0","0.0","0.4","0.23"
"4","43","Arsio","03-01-2015 17:00","6.1","50.0","0.0","0.0","0.5","0.06"
"4","43","Arsio","03-01-2015 18:00","4.1","58.2","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 19:00","2.5","66.7","0.0","0.0","0.4","0.0"
"4","43","Arsio","03-01-2015 20:00","2.9","65.7","0.0","0.0","0.4","0.0"
"4","43","Arsio","03-01-2015 21:00","2.5","71.2","0.0","0.0","0.4","0.0"
"4","43","Arsio","03-01-2015 22:00","2.1","74.4","0.0","0.0","0.5","0.0"
"4","43","Arsio","03-01-2015 23:00","1.7","76.9","0.0","0.0","0.6","0.0"
"4","43","Arsio","04-01-2015 00:00","1.4","79.2","0.0","0.0","0.5","0.0"
"4","43","Arsio","04-01-2015 01:00","1.6","83.1","0.2","47.0","0.6","0.0"
"4","43","Arsio","04-01-2015 02:00","1.9","83.1","0.0","60.0","0.8","0.0"
"4","43","Arsio","04-01-2015 03:00","2.0","82.9","0.0","60.0","0.8","0.0"
"4","43","Arsio","04-01-2015 04:00","1.4","87.7","0.6","60.0","0.6","0.0"
"4","43","Arsio","04-01-2015 05:00","2.5","91.2","0.0","60.0","0.6","0.0"
"4","43","Arsio","04-01-2015 06:00","2.3","91.1","0.0","60.0","0.4","0.0"
"4","43","Arsio","04-01-2015 07:00","1.8","90.1","0.0","60.0","0.6","0.0"
"4","43","Arsio","04-01-2015 08:00","5.0","58.4","0.0","60.0","1.3","0.0"
"4","43","Arsio","04-01-2015 09:00","8.8","22.0","0.0","60.0","2.3","0.06"
"4","43","Arsio","04-01-2015 10:00","9.8","14.2","0.2","25.0","3.2","0.55"
"4","43","Arsio","04-01-2015 11:00","10.0","13.1","0.0","0.0","3.2","1.05"
"4","43","Arsio","04-01-2015 12:00","9.5","14.2","0.0","0.0","4.0","1.36"
"4","43","Arsio","04-01-2015 13:00","9.3","14.7","0.0","0.0","3.8","1.4"
"4","43","Arsio","04-01-2015 14:00","9.1","14.0","0.0","0.0","3.1","1.3"
"4","43","Arsio","04-01-2015 15:00","8.7","13.8","0.0","0.0","2.6","0.93"
"4","43","Arsio","04-01-2015 16:00","7.2","16.7","0.0","0.0","1.8","0.22"
"4","43","Arsio","04-01-2015 17:00","5.9","21.0","0.0","0.0","1.2","0.04"
"4","43","Arsio","04-01-2015 18:00","4.4","26.9","0.0","0.0","0.7","0.0"
"4","43","Arsio","04-01-2015 19:00","3.6","28.3","0.0","0.0","1.7","0.0"
"4","43","Arsio","04-01-2015 20:00","2.9","28.8","0.0","0.0","1.2","0.0"
"4","43","Arsio","04-01-2015 21:00","2.2","30.5","0.0","0.0","0.9","0.0"
"4","43","Arsio","04-01-2015 22:00","1.1","33.1","0.0","0.0","0.4","0.0"
"4","43","Arsio","04-01-2015 23:00","-0.5","38.9","0.0","0.0","0.8","0.0"
"4","43","Arsio","05-01-2015 00:00","-1.4","43.2","0.0","0.0","0.7","0.0"
"4","43","Arsio","05-01-2015 01:00","-1.8","45.1","0.0","0.0","0.4","0.0"
"4","43","Arsio","05-01-2015 02:00","-2.1","46.1","0.0","0.0","0.5","0.0"
"4","43","Arsio","05-01-2015 03:00","-1.7","43.6","0.0","0.0","0.5","0.0"
