"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"5","51","Avio","01-01-2015 00:00","-1.4","74.9","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 01:00","-2.1","79.4","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 02:00","-3.1","84.9","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 03:00","-3.2","87.1","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 04:00","-3.0","84.5","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 05:00","-2.8","83.2","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 06:00","-2.3","79.7","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 07:00","-1.9","78.3","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 08:00","-1.9","78.8","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 09:00","-2.0","79.5","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 10:00","-1.8","79.4","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 11:00","-0.9","75.2","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 12:00","1.2","65.6","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 13:00","2.8","57.7","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 14:00","4.0","52.6","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 15:00","4.4","51.4","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 16:00","3.8","54.5","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 17:00","2.3","61.6","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 18:00","1.2","68.2","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 19:00","0.3","74.0","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 20:00","1.2","68.6","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 21:00","1.6","65.9","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 22:00","1.5","66.0","0.0","0.0","--","--"
"5","51","Avio","01-01-2015 23:00","1.9","63.4","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 00:00","1.8","64.0","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 01:00","1.9","63.8","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 02:00","1.8","63.9","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 03:00","1.5","66.1","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 04:00","1.3","66.8","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 05:00","1.4","66.9","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 06:00","1.1","68.5","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 07:00","1.0","69.2","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 08:00","1.2","68.4","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 09:00","1.2","68.7","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 10:00","1.5","68.0","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 11:00","2.2","65.7","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 12:00","3.7","59.8","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 13:00","5.6","55.1","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 14:00","5.6","55.4","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 15:00","5.7","56.0","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 16:00","5.9","56.3","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 17:00","6.0","56.6","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 18:00","5.8","57.6","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 19:00","5.7","58.1","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 20:00","5.8","57.6","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 21:00","5.8","58.1","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 22:00","5.6","59.4","0.0","0.0","--","--"
"5","51","Avio","02-01-2015 23:00","5.9","58.2","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 00:00","5.4","60.5","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 01:00","4.6","64.4","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 02:00","3.6","69.8","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 03:00","4.3","66.7","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 04:00","4.4","66.1","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 05:00","3.8","69.3","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 06:00","3.8","69.4","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 07:00","3.3","72.2","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 08:00","2.4","77.5","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 09:00","2.1","79.3","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 10:00","2.2","79.9","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 11:00","2.6","78.8","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 12:00","4.8","70.1","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 13:00","7.4","59.6","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 14:00","9.2","52.7","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 15:00","9.5","52.3","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 16:00","9.4","53.5","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 17:00","8.9","56.7","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 18:00","8.2","57.3","0.0","0.0","--","--"
"5","51","Avio","03-01-2015 19:00","7.6","58.3","0.0","0.0","--","--"
