"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"7","24","Baselga di Pine","01-01-2017 00:00","-4.0","69.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 01:00","-4.7","72.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 02:00","-4.9","72.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 03:00","-5.5","74.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 04:00","-5.2","71.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 05:00","-6.1","75.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 06:00","-5.8","73.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 07:00","-6.1","74.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 08:00","-6.3","74.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 09:00","-6.5","78.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 10:00","-3.0","64.8","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 11:00","1.7","49.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 12:00","3.7","40.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 13:00","5.3","34.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 14:00","7.3","31.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 15:00","8.1","28.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 16:00","5.6","39.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 17:00","1.5","49.8","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 18:00","-1.0","58.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 19:00","-1.9","61.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 20:00","-2.6","61.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 21:00","-3.5","64.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 22:00","-4.0","66.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2017 23:00","-4.2","66.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 00:00","-4.7","69.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 01:00","-5.0","69.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 02:00","-5.7","72.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 03:00","-5.7","72.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 04:00","-6.0","72.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 05:00","-6.6","75.8","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 06:00","-6.9","77.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 07:00","-6.8","76.5","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 08:00","-7.4","80.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 09:00","-6.8","77.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 10:00","-4.1","68.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 11:00","0.4","50.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 12:00","1.4","46.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 13:00","4.4","36.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 14:00","5.2","35.5","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 15:00","5.3","36.5","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 16:00","3.9","41.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 17:00","1.2","50.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 18:00","-0.5","59.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 19:00","-0.8","62.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 20:00","-1.3","63.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2017 21:00","-1.6","63.8","0.0","0.0","--","--"
