"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"8","50","Besagno","01-01-2016 00:00","-2.6","85.8","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 01:00","-2.4","85.2","0.0","0.0","0.1","0.0"
"8","50","Besagno","01-01-2016 02:00","-2.8","85.9","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 03:00","-3.2","86.9","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 04:00","-4.1","88.5","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 05:00","-4.2","89.0","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 06:00","-4.4","87.4","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 07:00","-4.1","84.7","0.0","0.0","0.1","0.0"
"8","50","Besagno","01-01-2016 08:00","-5.4","86.5","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 09:00","-5.6","86.4","0.0","0.0","0.1","0.05"
"8","50","Besagno","01-01-2016 10:00","-4.6","84.9","0.0","0.0","0.1","0.29"
"8","50","Besagno","01-01-2016 11:00","4.5","53.3","0.0","0.0","0.1","1.19"
"8","50","Besagno","01-01-2016 12:00","7.4","44.1","0.0","0.0","0.1","1.28"
"8","50","Besagno","01-01-2016 13:00","7.6","44.4","0.0","0.0","0.2","1.03"
"8","50","Besagno","01-01-2016 14:00","7.8","46.0","0.0","0.0","0.2","1.01"
"8","50","Besagno","01-01-2016 15:00","5.5","50.8","0.0","0.0","0.2","0.31"
"8","50","Besagno","01-01-2016 16:00","2.5","59.4","0.0","0.0","0.2","0.09"
"8","50","Besagno","01-01-2016 17:00","0.1","67.7","0.0","0.0","0.0","0.02"
"8","50","Besagno","01-01-2016 18:00","-3.1","81.1","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 19:00","-4.3","84.6","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 20:00","-4.0","82.4","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 21:00","-4.8","79.3","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 22:00","-5.8","82.7","0.0","0.0","0.0","0.0"
"8","50","Besagno","01-01-2016 23:00","-6.3","84.8","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 00:00","-6.4","87.4","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 01:00","-6.6","88.4","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 02:00","-6.6","89.7","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 03:00","-6.0","90.5","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 04:00","-5.6","89.0","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 05:00","-5.9","88.3","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 06:00","-6.1","88.0","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 07:00","-6.0","87.2","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 08:00","-5.8","87.9","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 09:00","-5.0","86.4","0.0","0.0","0.0","0.06"
"8","50","Besagno","02-01-2016 10:00","-3.2","81.5","0.0","0.0","0.0","0.1"
"8","50","Besagno","02-01-2016 11:00","-0.9","70.9","0.0","0.0","0.0","0.22"
"8","50","Besagno","02-01-2016 12:00","0.3","64.4","0.0","0.0","0.2","0.33"
"8","50","Besagno","02-01-2016 13:00","1.6","59.2","0.0","0.0","0.3","0.56"
"8","50","Besagno","02-01-2016 14:00","0.8","58.8","0.0","0.0","0.3","0.34"
"8","50","Besagno","02-01-2016 15:00","0.4","62.9","0.0","0.0","0.2","0.2"
"8","50","Besagno","02-01-2016 16:00","-0.8","70.0","0.0","0.0","0.2","0.08"
"8","50","Besagno","02-01-2016 17:00","-2.0","87.4","0.0","0.0","0.1","0.02"
"8","50","Besagno","02-01-2016 18:00","-1.7","90.6","0.0","0.0","0.1","0.0"
"8","50","Besagno","02-01-2016 19:00","-1.8","91.9","0.2","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 20:00","-1.7","94.1","0.2","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 21:00","-1.7","95.2","0.4","0.0","0.2","0.0"
"8","50","Besagno","02-01-2016 22:00","-1.6","96.0","0.0","0.0","0.0","0.0"
"8","50","Besagno","02-01-2016 23:00","-1.5","96.4","0.0","0.0","0.1","0.0"
"8","50","Besagno","03-01-2016 00:00","-1.7","96.7","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 01:00","-1.9","97.1","0.4","0.0","0.0","0.0"
"8","50","Besagno","03-01-2016 02:00","-1.8","97.5","0.8","0.0","0.0","0.0"
"8","50","Besagno","03-01-2016 03:00","-1.7","97.9","0.4","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 04:00","-2.0","98.3","0.0","0.0","0.0","0.0"
"8","50","Besagno","03-01-2016 05:00","-2.2","98.6","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 06:00","-2.2","99.7","0.0","0.0","0.1","0.0"
"8","50","Besagno","03-01-2016 07:00","-2.2","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 08:00","-2.4","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 09:00","-3.2","100.0","0.0","0.0","0.2","0.02"
"8","50","Besagno","03-01-2016 10:00","-2.6","100.0","0.0","0.0","0.1","0.05"
"8","50","Besagno","03-01-2016 11:00","-1.7","100.0","0.0","0.0","0.0","0.08"
"8","50","Besagno","03-01-2016 12:00","1.1","97.3","0.0","0.0","0.3","0.27"
"8","50","Besagno","03-01-2016 13:00","4.5","82.0","0.0","0.0","0.2","0.4"
"8","50","Besagno","03-01-2016 14:00","4.7","75.9","0.0","0.0","0.4","0.88"
"8","50","Besagno","03-01-2016 15:00","2.0","82.7","0.0","0.0","0.4","0.48"
"8","50","Besagno","03-01-2016 16:00","-0.2","92.4","0.0","0.0","0.4","0.15"
"8","50","Besagno","03-01-2016 17:00","-0.6","95.5","0.0","0.0","0.2","0.04"
"8","50","Besagno","03-01-2016 18:00","-1.4","97.4","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 19:00","-1.7","98.1","0.0","0.0","0.1","0.0"
"8","50","Besagno","03-01-2016 20:00","-1.9","99.4","0.0","0.0","0.0","0.0"
"8","50","Besagno","03-01-2016 21:00","-1.5","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 22:00","-1.4","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","03-01-2016 23:00","-1.4","100.0","0.0","0.0","0.3","0.0"
"8","50","Besagno","04-01-2016 00:00","-1.4","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 01:00","-1.6","100.0","0.0","0.0","0.3","0.0"
"8","50","Besagno","04-01-2016 02:00","-1.8","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 03:00","-1.7","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 04:00","-1.8","100.0","0.2","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 05:00","-1.7","100.0","0.0","0.0","0.3","0.0"
"8","50","Besagno","04-01-2016 06:00","-1.8","100.0","0.4","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 07:00","-1.8","100.0","0.0","0.0","0.0","0.0"
"8","50","Besagno","04-01-2016 08:00","-1.8","100.0","0.0","0.0","0.1","0.0"
"8","50","Besagno","04-01-2016 09:00","-1.8","100.0","0.0","0.0","0.1","0.01"
"8","50","Besagno","04-01-2016 10:00","-1.3","100.0","0.0","0.0","0.0","0.08"
"8","50","Besagno","04-01-2016 11:00","-0.4","100.0","0.0","0.0","0.2","0.2"
"8","50","Besagno","04-01-2016 12:00","-0.6","100.0","0.0","0.0","0.2","0.12"
"8","50","Besagno","04-01-2016 13:00","0.1","100.0","0.0","0.0","0.2","0.21"
"8","50","Besagno","04-01-2016 14:00","1.0","98.8","0.0","0.0","0.4","0.29"
"8","50","Besagno","04-01-2016 15:00","0.7","97.0","0.0","0.0","0.3","0.3"
"8","50","Besagno","04-01-2016 16:00","-0.4","95.5","0.0","0.0","0.4","0.15"
"8","50","Besagno","04-01-2016 17:00","-1.0","97.2","0.0","0.0","0.2","0.03"
"8","50","Besagno","04-01-2016 18:00","-1.8","98.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 19:00","-2.2","98.8","0.0","0.0","0.1","0.0"
"8","50","Besagno","04-01-2016 20:00","-2.3","99.7","0.0","0.0","0.1","0.0"
"8","50","Besagno","04-01-2016 21:00","-2.5","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 22:00","-2.9","100.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","04-01-2016 23:00","-4.5","99.5","0.0","0.0","0.3","0.0"
"8","50","Besagno","05-01-2016 00:00","-4.5","98.7","0.0","0.0","0.1","0.0"
"8","50","Besagno","05-01-2016 01:00","-3.4","100.0","0.0","0.0","0.3","0.0"
"8","50","Besagno","05-01-2016 02:00","-4.2","98.6","0.0","0.0","0.2","0.0"
"8","50","Besagno","05-01-2016 03:00","-3.8","99.0","0.0","0.0","0.2","0.0"
"8","50","Besagno","05-01-2016 04:00","-4.4","98.3","0.0","0.0","0.0","0.0"
"8","50","Besagno","05-01-2016 05:00","-4.1","98.4","0.0","0.0","0.1","0.0"
"8","50","Besagno","05-01-2016 06:00","-4.0","98.5","0.0","0.0","0.1","0.0"
"8","50","Besagno","05-01-2016 07:00","-4.0","98.4","0.0","0.0","0.2","0.0"
"8","50","Besagno","05-01-2016 08:00","-3.8","98.8","0.0","0.0","0.2","0.0"
"8","50","Besagno","05-01-2016 09:00","-3.7","99.0","0.0","0.0","0.3","0.07"
"8","50","Besagno","05-01-2016 10:00","-2.1","100.0","0.0","0.0","0.2","0.33"
"8","50","Besagno","05-01-2016 11:00","-1.0","100.0","0.0","0.0","0.2","0.33"
"8","50","Besagno","05-01-2016 12:00","-0.2","99.9","0.0","0.0","0.2","0.37"
"8","50","Besagno","05-01-2016 13:00","1.7","94.2","0.0","0.0","0.3","0.68"
"8","50","Besagno","05-01-2016 14:00","3.7","78.1","0.0","0.0","0.3","0.88"
"8","50","Besagno","05-01-2016 15:00","1.1","83.3","0.0","0.0","0.3","0.22"
"8","50","Besagno","05-01-2016 16:00","0.4","85.1","0.0","0.0","0.6","0.15"
"8","50","Besagno","05-01-2016 17:00","-1.8","92.5","0.0","0.0","0.2","0.03"
"8","50","Besagno","05-01-2016 18:00","-3.1","95.6","0.0","0.0","0.1","0.0"
"8","50","Besagno","05-01-2016 19:00","-2.3","97.1","0.0","0.0","0.2","0.0"
"8","50","Besagno","05-01-2016 20:00","-2.8","97.5","0.0","0.0","0.0","0.0"
"8","50","Besagno","05-01-2016 21:00","-4.7","97.7","0.0","0.0","0.0","0.0"
"8","50","Besagno","05-01-2016 22:00","-5.0","97.8","0.0","0.0","0.0","0.0"
"8","50","Besagno","05-01-2016 23:00","-4.9","97.8","0.0","0.0","0.1","0.0"
