"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"9","77","Besenello","01-01-2016 00:00","-0.3","79.4","0.0","0.0","0.1","0.0"
"9","77","Besenello","01-01-2016 01:00","-0.5","82.3","0.0","0.0","0.3","0.0"
"9","77","Besenello","01-01-2016 02:00","-0.3","81.4","0.0","0.0","0.2","0.0"
"9","77","Besenello","01-01-2016 03:00","-1.5","84.9","0.0","0.0","0.1","0.0"
"9","77","Besenello","01-01-2016 04:00","-1.1","83.8","0.0","0.0","0.7","0.0"
"9","77","Besenello","01-01-2016 05:00","-0.7","81.1","0.0","0.0","0.7","0.0"
"9","77","Besenello","01-01-2016 06:00","-1.3","83.5","0.0","0.0","0.4","0.0"
"9","77","Besenello","01-01-2016 07:00","-1.5","84.9","0.0","0.0","0.9","0.0"
"9","77","Besenello","01-01-2016 08:00","-1.3","83.0","0.0","0.0","1.2","0.0"
"9","77","Besenello","01-01-2016 09:00","-1.4","83.0","0.0","0.0","1.0","0.06"
"9","77","Besenello","01-01-2016 10:00","-0.8","80.5","0.0","0.0","1.1","0.41"
"9","77","Besenello","01-01-2016 11:00","1.1","72.1","0.0","0.0","1.4","0.87"
"9","77","Besenello","01-01-2016 12:00","3.2","60.4","0.0","0.0","1.6","1.11"
"9","77","Besenello","01-01-2016 13:00","4.9","53.4","0.0","0.0","1.1","1.19"
"9","77","Besenello","01-01-2016 14:00","6.6","47.5","0.0","0.0","0.6","1.05"
"9","77","Besenello","01-01-2016 15:00","6.6","47.3","0.0","0.0","1.7","0.75"
"9","77","Besenello","01-01-2016 16:00","6.2","49.3","0.0","0.0","1.8","0.3"
"9","77","Besenello","01-01-2016 17:00","3.9","57.9","0.0","0.0","1.6","0.03"
"9","77","Besenello","01-01-2016 18:00","2.6","64.7","0.0","0.0","1.0","0.0"
"9","77","Besenello","01-01-2016 19:00","1.0","73.8","0.0","0.0","0.2","0.0"
"9","77","Besenello","01-01-2016 20:00","-1.8","82.0","0.0","0.0","0.1","0.0"
"9","77","Besenello","01-01-2016 21:00","-3.3","87.6","0.0","0.0","0.1","0.0"
"9","77","Besenello","01-01-2016 22:00","-4.7","89.4","0.0","0.0","0.0","0.0"
"9","77","Besenello","01-01-2016 23:00","-4.7","91.6","0.0","0.0","0.1","0.0"
"9","77","Besenello","02-01-2016 00:00","-3.2","92.6","0.0","0.0","0.1","0.0"
"9","77","Besenello","02-01-2016 01:00","-2.7","92.4","0.0","0.0","0.0","0.0"
"9","77","Besenello","02-01-2016 02:00","-1.9","92.1","0.0","0.0","0.1","0.0"
"9","77","Besenello","02-01-2016 03:00","-1.4","90.2","0.0","0.0","0.7","0.0"
"9","77","Besenello","02-01-2016 04:00","-1.2","86.1","0.0","0.0","0.8","0.0"
"9","77","Besenello","02-01-2016 05:00","-2.3","89.9","0.0","0.0","0.0","0.0"
"9","77","Besenello","02-01-2016 06:00","-1.7","89.1","0.0","0.0","0.5","0.0"
"9","77","Besenello","02-01-2016 07:00","-1.8","88.1","0.0","0.0","0.6","0.0"
"9","77","Besenello","02-01-2016 08:00","-1.8","88.8","0.0","0.0","0.6","0.0"
"9","77","Besenello","02-01-2016 09:00","-1.2","87.0","0.0","0.0","1.2","0.05"
"9","77","Besenello","02-01-2016 10:00","-0.7","84.6","0.0","0.0","0.8","0.14"
"9","77","Besenello","02-01-2016 11:00","0.0","82.5","0.0","0.0","1.4","0.24"
"9","77","Besenello","02-01-2016 12:00","0.7","79.1","0.0","0.0","1.2","0.29"
"9","77","Besenello","02-01-2016 13:00","1.3","75.0","0.0","0.0","0.5","0.22"
"9","77","Besenello","02-01-2016 14:00","1.4","77.6","0.0","38.0","0.1","0.17"
"9","77","Besenello","02-01-2016 15:00","1.0","85.7","0.0","60.0","0.4","0.08"
"9","77","Besenello","02-01-2016 16:00","0.4","91.7","0.0","60.0","0.1","0.05"
"9","77","Besenello","02-01-2016 17:00","0.3","94.6","0.0","60.0","0.1","0.0"
"9","77","Besenello","02-01-2016 18:00","0.3","95.9","0.0","60.0","0.1","0.0"
"9","77","Besenello","02-01-2016 19:00","0.3","96.4","0.0","60.0","0.1","0.0"
"9","77","Besenello","02-01-2016 20:00","0.4","96.9","0.0","60.0","0.1","0.0"
"9","77","Besenello","02-01-2016 21:00","0.4","97.3","0.0","60.0","0.5","0.0"
"9","77","Besenello","02-01-2016 22:00","0.8","95.9","0.2","60.0","1.3","0.0"
"9","77","Besenello","02-01-2016 23:00","1.2","92.6","1.4","60.0","2.1","0.0"
"9","77","Besenello","03-01-2016 00:00","1.4","86.0","1.2","60.0","2.8","0.0"
"9","77","Besenello","03-01-2016 01:00","1.3","85.9","0.4","60.0","2.8","0.0"
"9","77","Besenello","03-01-2016 02:00","0.8","92.0","0.6","60.0","1.8","0.0"
"9","77","Besenello","03-01-2016 03:00","0.3","96.0","0.0","60.0","0.8","0.0"
"9","77","Besenello","03-01-2016 04:00","0.6","95.9","0.0","60.0","1.1","0.0"
"9","77","Besenello","03-01-2016 05:00","1.3","91.6","1.2","60.0","1.5","0.0"
"9","77","Besenello","03-01-2016 06:00","1.7","89.1","1.6","60.0","1.6","0.0"
"9","77","Besenello","03-01-2016 07:00","1.6","89.7","0.4","60.0","0.5","0.0"
"9","77","Besenello","03-01-2016 08:00","1.1","93.3","0.0","60.0","0.3","0.0"
"9","77","Besenello","03-01-2016 09:00","1.1","94.8","0.0","60.0","0.4","0.03"
"9","77","Besenello","03-01-2016 10:00","1.4","92.9","0.0","60.0","0.9","0.13"
"9","77","Besenello","03-01-2016 11:00","1.8","91.4","0.0","60.0","1.0","0.52"
"9","77","Besenello","03-01-2016 12:00","3.7","81.4","0.0","60.0","0.6","1.08"
"9","77","Besenello","03-01-2016 13:00","4.5","77.8","0.0","60.0","1.5","1.21"
"9","77","Besenello","03-01-2016 14:00","4.9","75.5","0.0","24.0","1.8","0.81"
"9","77","Besenello","03-01-2016 15:00","5.1","76.7","0.0","0.0","1.4","0.39"
"9","77","Besenello","03-01-2016 16:00","5.0","78.0","0.0","0.0","1.3","0.19"
