"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"11","80","Bleggio Superiore","01-01-2015 00:00","-4.1","91.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 01:00","-4.5","91.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 02:00","-4.9","93.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 03:00","-4.8","92.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 04:00","-5.0","92.4","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 05:00","-5.2","92.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 06:00","-5.5","93.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 07:00","-5.5","93.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 08:00","-5.6","94.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 09:00","-5.8","94.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 10:00","-4.2","92.8","0.2","0.0","0.0","--"
"11","80","Bleggio Superiore","01-01-2015 11:00","-2.1","85.3","0.0","15.0","0.3","--"
"11","80","Bleggio Superiore","01-01-2015 12:00","-1.1","82.1","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","01-01-2015 13:00","1.0","76.5","0.0","0.0","0.9","--"
"11","80","Bleggio Superiore","01-01-2015 14:00","1.9","73.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","01-01-2015 15:00","3.4","65.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 16:00","3.5","67.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","01-01-2015 17:00","--","--","--","--","--","--"
"11","80","Bleggio Superiore","01-01-2015 18:00","0.2","76.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 19:00","-0.3","78.2","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","01-01-2015 20:00","-0.9","79.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 21:00","-1.3","82.2","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","01-01-2015 22:00","-1.4","82.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","01-01-2015 23:00","-1.5","83.5","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","02-01-2015 00:00","-1.7","84.5","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","02-01-2015 01:00","-1.6","84.9","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","02-01-2015 02:00","-1.7","85.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 03:00","-1.8","85.4","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 04:00","-1.7","85.9","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","02-01-2015 05:00","-1.8","85.9","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","02-01-2015 06:00","-1.8","86.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","02-01-2015 07:00","-1.7","86.5","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","02-01-2015 08:00","-1.8","87.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 09:00","-1.5","87.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 10:00","0.1","83.9","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","02-01-2015 11:00","2.4","77.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 12:00","3.4","75.3","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","02-01-2015 13:00","4.2","73.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","02-01-2015 14:00","6.2","69.1","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","02-01-2015 15:00","6.4","68.0","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","02-01-2015 16:00","5.5","72.1","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","02-01-2015 17:00","4.9","72.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","02-01-2015 18:00","4.4","74.6","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","02-01-2015 19:00","3.9","76.8","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","02-01-2015 20:00","3.8","77.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","02-01-2015 21:00","3.2","79.5","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","02-01-2015 22:00","3.4","79.4","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","02-01-2015 23:00","3.2","79.4","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","03-01-2015 00:00","2.7","80.4","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","03-01-2015 01:00","2.7","80.1","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","03-01-2015 02:00","2.1","82.5","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","03-01-2015 03:00","1.9","83.5","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 04:00","2.1","83.1","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","03-01-2015 05:00","2.0","83.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","03-01-2015 06:00","1.6","84.8","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","03-01-2015 07:00","1.8","84.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","03-01-2015 08:00","1.7","84.5","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 09:00","1.8","84.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 10:00","2.6","83.1","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 11:00","4.4","79.2","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","03-01-2015 12:00","6.2","73.7","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","03-01-2015 13:00","7.8","68.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 14:00","8.8","65.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","03-01-2015 15:00","8.4","62.8","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 16:00","7.8","64.4","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","03-01-2015 17:00","5.5","72.1","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","03-01-2015 18:00","4.2","77.1","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","03-01-2015 19:00","3.0","82.9","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","03-01-2015 20:00","2.3","87.1","0.0","0.0","0.7","--"
"11","80","Bleggio Superiore","03-01-2015 21:00","1.9","87.5","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","03-01-2015 22:00","1.3","90.0","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","03-01-2015 23:00","0.7","91.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","04-01-2015 00:00","0.5","91.3","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","04-01-2015 01:00","-0.1","92.5","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","04-01-2015 02:00","-0.3","93.2","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","04-01-2015 03:00","-0.5","94.0","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","04-01-2015 04:00","-0.2","93.9","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","04-01-2015 05:00","0.8","91.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","04-01-2015 06:00","0.5","90.3","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","04-01-2015 07:00","1.0","89.8","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","04-01-2015 08:00","1.1","88.4","0.0","0.0","0.7","--"
"11","80","Bleggio Superiore","04-01-2015 09:00","1.1","89.4","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","04-01-2015 10:00","2.5","87.5","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","04-01-2015 11:00","5.3","80.7","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","04-01-2015 12:00","6.3","77.0","0.0","0.0","1.0","--"
"11","80","Bleggio Superiore","04-01-2015 13:00","8.7","62.0","0.0","0.0","0.9","--"
"11","80","Bleggio Superiore","04-01-2015 14:00","11.2","28.4","0.0","0.0","2.4","--"
"11","80","Bleggio Superiore","04-01-2015 15:00","11.2","20.1","0.0","0.0","2.5","--"
"11","80","Bleggio Superiore","04-01-2015 16:00","10.2","20.5","0.0","0.0","0.8","--"
"11","80","Bleggio Superiore","04-01-2015 17:00","7.9","25.9","0.0","0.0","1.3","--"
"11","80","Bleggio Superiore","04-01-2015 18:00","6.4","30.1","0.0","0.0","1.1","--"
"11","80","Bleggio Superiore","04-01-2015 19:00","5.6","33.2","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","04-01-2015 20:00","4.7","37.2","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","04-01-2015 21:00","4.3","37.4","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","04-01-2015 22:00","3.5","38.7","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","04-01-2015 23:00","2.5","40.9","0.0","0.0","1.0","--"
"11","80","Bleggio Superiore","05-01-2015 00:00","1.8","43.6","0.0","0.0","0.7","--"
"11","80","Bleggio Superiore","05-01-2015 01:00","1.6","45.1","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","05-01-2015 02:00","0.0","52.1","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","05-01-2015 03:00","-0.8","56.7","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","05-01-2015 04:00","-0.8","55.8","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","05-01-2015 05:00","-0.6","54.5","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","05-01-2015 06:00","-0.7","55.9","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","05-01-2015 07:00","-1.2","57.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 08:00","-1.7","60.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","05-01-2015 09:00","-1.8","60.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 10:00","-0.6","62.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 11:00","1.4","59.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 12:00","1.8","57.6","0.0","0.0","0.6","--"
"11","80","Bleggio Superiore","05-01-2015 13:00","3.9","48.4","0.0","0.0","0.5","--"
"11","80","Bleggio Superiore","05-01-2015 14:00","4.9","48.2","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","05-01-2015 15:00","6.2","43.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 16:00","5.3","42.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 17:00","3.9","42.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","05-01-2015 18:00","3.0","45.5","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 19:00","1.6","50.6","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 20:00","1.2","51.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","05-01-2015 21:00","0.8","53.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","05-01-2015 22:00","0.3","56.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","05-01-2015 23:00","-0.4","58.9","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","06-01-2015 00:00","-0.9","61.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 01:00","-0.8","60.9","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","06-01-2015 02:00","-0.9","61.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 03:00","-1.0","62.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 04:00","-1.0","61.9","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 05:00","-1.2","62.9","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 06:00","-1.2","62.6","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 07:00","-1.3","63.3","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 08:00","-0.8","61.8","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 09:00","-0.8","62.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 10:00","1.0","59.5","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","06-01-2015 11:00","3.6","56.8","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 12:00","4.6","56.7","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","06-01-2015 13:00","6.4","48.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 14:00","6.4","48.0","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","06-01-2015 15:00","7.5","45.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 16:00","6.7","47.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 17:00","4.4","56.6","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","06-01-2015 18:00","3.6","60.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 19:00","2.9","62.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 20:00","1.8","67.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 21:00","1.3","68.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","06-01-2015 22:00","0.7","69.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","06-01-2015 23:00","0.1","71.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 00:00","-0.3","72.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 01:00","-0.7","74.4","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 02:00","-1.1","76.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 03:00","-1.6","78.3","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 04:00","-1.7","80.1","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","07-01-2015 05:00","-1.9","80.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 06:00","-1.8","79.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 07:00","-2.1","80.6","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","07-01-2015 08:00","-2.2","81.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 09:00","-2.3","81.5","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","07-01-2015 10:00","-1.2","81.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 11:00","1.2","75.0","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","07-01-2015 12:00","2.4","72.7","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","07-01-2015 13:00","3.8","67.8","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","07-01-2015 14:00","4.8","64.0","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","07-01-2015 15:00","5.8","62.6","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","07-01-2015 16:00","4.8","64.9","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 17:00","3.5","71.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 18:00","2.5","74.9","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 19:00","1.7","77.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 20:00","1.0","79.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","07-01-2015 21:00","0.1","83.4","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","07-01-2015 22:00","-0.2","85.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","07-01-2015 23:00","--","--","--","--","--","--"
"11","80","Bleggio Superiore","08-01-2015 00:00","--","--","--","--","--","--"
"11","80","Bleggio Superiore","08-01-2015 01:00","--","--","--","--","--","--"
"11","80","Bleggio Superiore","08-01-2015 02:00","--","--","--","--","--","--"
"11","80","Bleggio Superiore","08-01-2015 03:00","-1.1","89.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","08-01-2015 04:00","-1.3","89.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 05:00","-1.6","90.2","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","08-01-2015 06:00","-1.9","90.9","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 07:00","-1.8","90.5","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","08-01-2015 08:00","-1.8","90.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 09:00","-1.8","91.0","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 10:00","-1.5","91.2","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","08-01-2015 11:00","0.6","86.9","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","08-01-2015 12:00","2.5","82.2","0.0","0.0","0.3","--"
"11","80","Bleggio Superiore","08-01-2015 13:00","3.9","75.7","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","08-01-2015 14:00","4.9","71.9","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","08-01-2015 15:00","6.0","68.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 16:00","5.7","68.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 17:00","4.3","71.2","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 18:00","3.1","75.8","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 19:00","2.4","77.9","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 20:00","1.1","81.9","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","08-01-2015 21:00","0.9","82.8","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","08-01-2015 22:00","0.5","84.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","08-01-2015 23:00","-0.2","86.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","09-01-2015 00:00","-0.4","86.9","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","09-01-2015 01:00","-1.0","88.7","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","09-01-2015 02:00","-1.0","89.1","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","09-01-2015 03:00","-1.5","90.6","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","09-01-2015 04:00","-1.4","90.1","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","09-01-2015 05:00","-1.6","90.7","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","09-01-2015 06:00","-1.7","91.0","0.0","0.0","0.0","--"
"11","80","Bleggio Superiore","09-01-2015 07:00","-1.8","91.7","0.0","0.0","0.4","--"
"11","80","Bleggio Superiore","09-01-2015 08:00","-1.7","91.5","0.0","0.0","0.2","--"
"11","80","Bleggio Superiore","09-01-2015 09:00","-1.8","91.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","09-01-2015 10:00","-1.2","91.5","0.0","0.0","0.1","--"
"11","80","Bleggio Superiore","09-01-2015 11:00","0.4","89.5","0.0","0.0","0.4","--"
