"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"12","28","Borgo Valsugana","01-01-2016 00:00","0.5","89.6","0.0","0.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 01:00","0.2","91.0","0.0","0.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 02:00","-0.1","91.8","0.0","0.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 03:00","-0.3","92.3","0.0","0.0","0.2","0.0"
"12","28","Borgo Valsugana","01-01-2016 04:00","-0.7","94.2","0.0","29.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 05:00","-1.0","95.1","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 06:00","-1.2","95.1","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 07:00","-1.2","95.6","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 08:00","-1.8","96.9","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 09:00","-1.9","97.1","0.0","60.0","0.0","0.05"
"12","28","Borgo Valsugana","01-01-2016 10:00","0.6","84.6","0.0","60.0","0.2","0.51"
"12","28","Borgo Valsugana","01-01-2016 11:00","2.3","77.2","0.0","7.0","0.2","0.88"
"12","28","Borgo Valsugana","01-01-2016 12:00","4.1","69.7","0.0","0.0","0.4","1.09"
"12","28","Borgo Valsugana","01-01-2016 13:00","6.0","61.5","0.0","0.0","0.3","1.11"
"12","28","Borgo Valsugana","01-01-2016 14:00","7.3","51.5","0.0","0.0","0.2","0.92"
"12","28","Borgo Valsugana","01-01-2016 15:00","7.2","52.3","0.0","0.0","0.2","0.51"
"12","28","Borgo Valsugana","01-01-2016 16:00","4.4","63.2","0.0","0.0","0.1","0.09"
"12","28","Borgo Valsugana","01-01-2016 17:00","2.7","69.4","0.0","0.0","0.4","0.02"
"12","28","Borgo Valsugana","01-01-2016 18:00","1.4","77.6","0.0","0.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 19:00","0.6","83.4","0.0","0.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 20:00","0.2","91.2","0.0","22.0","0.0","0.0"
"12","28","Borgo Valsugana","01-01-2016 21:00","-0.3","92.8","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 22:00","-0.8","94.3","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","01-01-2016 23:00","-1.2","95.0","0.0","60.0","0.3","0.0"
"12","28","Borgo Valsugana","02-01-2016 00:00","-1.4","96.7","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 01:00","-1.4","96.1","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 02:00","-1.2","96.7","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 03:00","-1.1","96.3","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 04:00","-1.1","96.3","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","02-01-2016 05:00","-1.3","97.9","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","02-01-2016 06:00","-1.7","99.3","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","02-01-2016 07:00","-2.1","100.0","0.0","60.0","0.3","0.0"
"12","28","Borgo Valsugana","02-01-2016 08:00","-2.5","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","02-01-2016 09:00","-2.3","100.0","0.0","60.0","0.1","0.02"
"12","28","Borgo Valsugana","02-01-2016 10:00","-1.9","100.0","0.0","60.0","0.1","0.13"
"12","28","Borgo Valsugana","02-01-2016 11:00","-1.3","99.6","0.0","54.0","0.1","0.26"
"12","28","Borgo Valsugana","02-01-2016 12:00","-0.6","96.6","0.0","0.0","0.1","0.38"
"12","28","Borgo Valsugana","02-01-2016 13:00","0.2","91.9","0.0","0.0","0.1","0.29"
"12","28","Borgo Valsugana","02-01-2016 14:00","0.6","88.6","0.0","0.0","0.0","0.31"
"12","28","Borgo Valsugana","02-01-2016 15:00","0.6","87.1","0.0","17.0","0.1","0.1"
"12","28","Borgo Valsugana","02-01-2016 16:00","0.2","95.4","0.0","60.0","0.0","0.05"
"12","28","Borgo Valsugana","02-01-2016 17:00","-0.1","98.8","0.0","60.0","0.1","0.01"
"12","28","Borgo Valsugana","02-01-2016 18:00","-0.2","99.5","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 19:00","-0.3","99.8","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 20:00","-0.3","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 21:00","-0.4","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 22:00","-0.4","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","02-01-2016 23:00","-0.4","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 00:00","-0.3","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 01:00","-0.2","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","03-01-2016 02:00","0.0","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 03:00","0.0","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 04:00","-0.1","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 05:00","-0.2","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 06:00","-0.3","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 07:00","-0.4","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 08:00","-0.8","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 09:00","-0.9","100.0","0.0","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 10:00","-0.9","100.0","0.0","60.0","0.0","0.04"
"12","28","Borgo Valsugana","03-01-2016 11:00","-0.7","100.0","0.0","60.0","0.0","0.14"
"12","28","Borgo Valsugana","03-01-2016 12:00","-0.4","98.7","0.0","60.0","0.1","0.22"
"12","28","Borgo Valsugana","03-01-2016 13:00","0.1","97.1","1.0","60.0","0.2","0.33"
"12","28","Borgo Valsugana","03-01-2016 14:00","0.2","99.3","1.6","60.0","0.1","0.25"
"12","28","Borgo Valsugana","03-01-2016 15:00","0.4","100.0","0.6","60.0","0.1","0.16"
"12","28","Borgo Valsugana","03-01-2016 16:00","0.5","100.0","0.6","60.0","0.0","0.09"
"12","28","Borgo Valsugana","03-01-2016 17:00","0.5","100.0","0.2","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 18:00","0.4","100.0","0.2","60.0","0.0","0.0"
"12","28","Borgo Valsugana","03-01-2016 19:00","0.4","100.0","0.2","60.0","0.1","0.0"
"12","28","Borgo Valsugana","03-01-2016 20:00","0.3","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","03-01-2016 21:00","0.3","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","03-01-2016 22:00","0.3","100.0","0.2","60.0","0.1","0.0"
"12","28","Borgo Valsugana","03-01-2016 23:00","0.4","100.0","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","04-01-2016 00:00","0.5","100.0","0.2","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 01:00","0.6","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 02:00","0.5","100.0","0.2","60.0","0.0","0.0"
"12","28","Borgo Valsugana","04-01-2016 03:00","0.4","100.0","0.2","60.0","0.4","0.0"
"12","28","Borgo Valsugana","04-01-2016 04:00","0.1","100.0","0.2","60.0","0.7","0.0"
"12","28","Borgo Valsugana","04-01-2016 05:00","0.0","100.0","0.0","60.0","0.5","0.0"
"12","28","Borgo Valsugana","04-01-2016 06:00","-0.1","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 07:00","-0.3","100.0","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","04-01-2016 08:00","-0.3","100.0","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","04-01-2016 09:00","-0.3","100.0","0.0","60.0","0.0","0.02"
"12","28","Borgo Valsugana","04-01-2016 10:00","-0.2","100.0","0.0","60.0","0.0","0.05"
"12","28","Borgo Valsugana","04-01-2016 11:00","0.0","100.0","0.2","60.0","0.1","0.08"
"12","28","Borgo Valsugana","04-01-2016 12:00","0.3","100.0","0.4","60.0","0.0","0.18"
"12","28","Borgo Valsugana","04-01-2016 13:00","0.5","100.0","0.6","60.0","0.3","0.38"
"12","28","Borgo Valsugana","04-01-2016 14:00","0.9","99.8","0.8","60.0","0.1","0.42"
"12","28","Borgo Valsugana","04-01-2016 15:00","1.1","97.5","0.8","60.0","0.1","0.36"
"12","28","Borgo Valsugana","04-01-2016 16:00","0.9","98.5","0.4","60.0","0.2","0.2"
"12","28","Borgo Valsugana","04-01-2016 17:00","0.6","99.9","0.0","60.0","0.0","0.03"
"12","28","Borgo Valsugana","04-01-2016 18:00","0.2","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 19:00","0.0","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 20:00","-0.3","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","04-01-2016 21:00","-0.5","100.0","0.0","60.0","0.3","0.0"
"12","28","Borgo Valsugana","04-01-2016 22:00","-0.7","100.0","0.0","60.0","0.3","0.0"
"12","28","Borgo Valsugana","04-01-2016 23:00","-0.6","100.0","0.0","60.0","0.2","0.0"
"12","28","Borgo Valsugana","05-01-2016 00:00","-0.8","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 01:00","-0.9","100.0","0.0","60.0","0.4","0.0"
"12","28","Borgo Valsugana","05-01-2016 02:00","-1.2","100.0","0.0","60.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 03:00","-1.2","100.0","0.0","39.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 04:00","-1.4","100.0","0.0","0.0","0.2","0.0"
"12","28","Borgo Valsugana","05-01-2016 05:00","-1.9","100.0","0.0","0.0","0.2","0.0"
"12","28","Borgo Valsugana","05-01-2016 06:00","-2.0","100.0","0.0","0.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 07:00","-1.9","100.0","0.0","17.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 08:00","-1.9","100.0","0.0","0.0","0.1","0.0"
"12","28","Borgo Valsugana","05-01-2016 09:00","-1.7","100.0","0.0","15.0","0.5","0.11"
