"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"14","88","Caldes","01-01-2017 00:00","0.7","43.9","0.0","0.0","0.4","0.0"
"14","88","Caldes","01-01-2017 01:00","0.1","46.0","0.0","0.0","0.1","0.0"
"14","88","Caldes","01-01-2017 02:00","0.2","45.0","0.0","0.0","0.4","0.0"
"14","88","Caldes","01-01-2017 03:00","-0.4","46.9","0.0","0.0","0.0","0.0"
"14","88","Caldes","01-01-2017 04:00","-0.3","45.3","0.0","0.0","0.3","0.0"
"14","88","Caldes","01-01-2017 05:00","-1.0","48.5","0.0","0.0","0.1","0.0"
"14","88","Caldes","01-01-2017 06:00","-0.9","48.0","0.0","0.0","0.5","0.0"
"14","88","Caldes","01-01-2017 07:00","-1.0","48.3","0.0","0.0","0.1","0.0"
"14","88","Caldes","01-01-2017 08:00","-1.5","50.2","0.0","0.0","0.1","0.0"
"14","88","Caldes","01-01-2017 09:00","-1.2","49.0","0.0","0.0","0.4","0.04"
"14","88","Caldes","01-01-2017 10:00","-1.3","50.0","0.0","0.0","0.1","0.09"
"14","88","Caldes","01-01-2017 11:00","0.3","44.8","0.0","0.0","0.1","0.48"
"14","88","Caldes","01-01-2017 12:00","4.1","36.0","0.0","0.0","0.4","1.23"
"14","88","Caldes","01-01-2017 13:00","4.7","36.0","0.0","0.0","0.6","1.31"
"14","88","Caldes","01-01-2017 14:00","6.7","31.2","0.0","0.0","0.5","1.17"
"14","88","Caldes","01-01-2017 15:00","7.5","29.4","0.0","0.0","0.6","0.85"
"14","88","Caldes","01-01-2017 16:00","6.5","30.8","0.0","0.0","0.6","0.35"
"14","88","Caldes","01-01-2017 17:00","3.2","36.8","0.0","0.0","1.1","0.01"
"14","88","Caldes","01-01-2017 18:00","2.5","37.6","0.0","0.0","0.9","0.0"
"14","88","Caldes","01-01-2017 19:00","0.7","44.3","0.0","0.0","0.1","0.0"
"14","88","Caldes","01-01-2017 20:00","0.7","42.7","0.0","0.0","0.5","0.0"
"14","88","Caldes","01-01-2017 21:00","0.0","44.9","0.0","0.0","0.3","0.0"
"14","88","Caldes","01-01-2017 22:00","-0.2","45.1","0.0","0.0","0.6","0.0"
"14","88","Caldes","01-01-2017 23:00","-0.5","45.9","0.0","0.0","0.4","0.0"
"14","88","Caldes","02-01-2017 00:00","-0.8","46.6","0.0","0.0","0.4","0.0"
"14","88","Caldes","02-01-2017 01:00","-0.7","46.0","0.0","0.0","0.5","0.0"
"14","88","Caldes","02-01-2017 02:00","-1.5","49.8","0.0","0.0","0.5","0.0"
"14","88","Caldes","02-01-2017 03:00","-1.6","49.9","0.0","0.0","0.2","0.0"
"14","88","Caldes","02-01-2017 04:00","-2.0","51.1","0.0","0.0","0.1","0.0"
"14","88","Caldes","02-01-2017 05:00","-2.1","51.2","0.0","0.0","0.3","0.0"
"14","88","Caldes","02-01-2017 06:00","-2.4","52.7","0.0","0.0","0.1","0.0"
"14","88","Caldes","02-01-2017 07:00","-2.5","52.8","0.0","0.0","0.3","0.0"
"14","88","Caldes","02-01-2017 08:00","-2.6","53.0","0.0","0.0","0.3","0.0"
"14","88","Caldes","02-01-2017 09:00","-2.4","52.8","0.0","0.0","0.5","0.04"
"14","88","Caldes","02-01-2017 10:00","-2.4","52.9","0.0","0.0","0.2","0.1"
"14","88","Caldes","02-01-2017 11:00","-1.1","49.7","0.0","0.0","0.5","0.46"
"14","88","Caldes","02-01-2017 12:00","3.4","36.9","0.0","0.0","0.4","1.22"
"14","88","Caldes","02-01-2017 13:00","3.5","35.6","0.0","0.0","0.5","1.28"
