"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"17","83","Cavedine","01-01-2017 00:00","-3.4","81.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 01:00","-3.3","82.0","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 02:00","-3.8","85.0","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 03:00","-4.3","84.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 04:00","-4.6","86.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 05:00","-4.5","85.0","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 06:00","-5.0","86.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 07:00","-4.7","87.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 08:00","-5.3","88.1","0.0","0.0","0.0","0.01"
"17","83","Cavedine","01-01-2017 09:00","-5.1","87.3","0.0","0.0","0.0","0.06"
"17","83","Cavedine","01-01-2017 10:00","-1.5","77.7","0.0","0.0","0.0","0.46"
"17","83","Cavedine","01-01-2017 11:00","1.4","67.9","0.2","0.0","0.5","0.97"
"17","83","Cavedine","01-01-2017 12:00","4.4","52.2","0.0","0.0","0.0","1.2"
"17","83","Cavedine","01-01-2017 13:00","7.0","41.3","0.0","0.0","0.0","1.23"
"17","83","Cavedine","01-01-2017 14:00","8.2","36.7","0.0","0.0","0.0","1.09"
"17","83","Cavedine","01-01-2017 15:00","5.8","38.1","0.0","0.0","0.0","0.52"
"17","83","Cavedine","01-01-2017 16:00","3.5","46.7","0.0","0.0","0.1","0.07"
"17","83","Cavedine","01-01-2017 17:00","0.4","61.4","0.0","0.0","0.0","0.02"
"17","83","Cavedine","01-01-2017 18:00","-0.7","64.4","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 19:00","-1.4","67.7","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 20:00","-1.9","66.8","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 21:00","-2.8","73.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 22:00","-2.8","73.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2017 23:00","-3.0","74.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2017 00:00","-3.7","79.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2017 01:00","-3.8","78.7","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2017 02:00","-3.7","80.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2017 03:00","-5.1","82.1","0.0","0.0","0.0","0.0"
