"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"18","44","Cembra","01-01-2016 00:00","-0.3","76.9","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 01:00","-0.1","76.8","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 02:00","-0.2","77.7","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 03:00","-0.5","79.4","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 04:00","-0.8","81.2","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 05:00","-1.0","82.1","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 06:00","-1.0","81.4","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 07:00","-1.3","82.0","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 08:00","-1.8","84.0","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 09:00","-2.0","83.5","0.0","0.0","0.0","0.05"
"18","44","Cembra","01-01-2016 10:00","-1.9","81.7","0.0","0.0","0.0","0.09"
"18","44","Cembra","01-01-2016 11:00","-0.7","75.5","0.0","0.0","0.0","0.51"
"18","44","Cembra","01-01-2016 12:00","3.1","57.3","0.0","0.0","0.1","1.22"
"18","44","Cembra","01-01-2016 13:00","4.6","52.3","0.0","0.0","0.4","1.27"
"18","44","Cembra","01-01-2016 14:00","5.9","48.7","0.0","0.0","0.3","1.12"
"18","44","Cembra","01-01-2016 15:00","6.2","48.1","0.0","0.0","0.3","0.78"
"18","44","Cembra","01-01-2016 16:00","6.1","48.7","0.0","0.0","0.0","0.29"
"18","44","Cembra","01-01-2016 17:00","3.4","57.7","0.0","0.0","0.0","0.03"
"18","44","Cembra","01-01-2016 18:00","1.6","65.4","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 19:00","0.7","69.0","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 20:00","-0.3","73.1","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 21:00","-0.5","72.8","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 22:00","-1.0","74.7","0.0","0.0","0.0","0.0"
"18","44","Cembra","01-01-2016 23:00","-1.5","75.8","0.0","0.0","0.0","0.0"
"18","44","Cembra","02-01-2016 00:00","-1.8","77.0","0.0","0.0","0.0","0.0"
"18","44","Cembra","02-01-2016 01:00","-2.1","78.3","0.0","0.0","0.0","0.0"
"18","44","Cembra","02-01-2016 02:00","-2.4","79.4","0.0","0.0","0.0","0.0"
"18","44","Cembra","02-01-2016 03:00","-2.3","77.9","0.0","0.0","0.1","0.0"
"18","44","Cembra","02-01-2016 04:00","-2.3","78.2","0.0","0.0","0.0","0.0"
"18","44","Cembra","02-01-2016 05:00","-2.6","79.6","0.0","0.0","0.0","0.0"
