"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"19","31","Cles","01-01-2015 00:00","-3.4","84.1","0.0","0.0","0.4","0.0"
"19","31","Cles","01-01-2015 01:00","-3.9","86.0","0.0","0.0","0.1","0.0"
"19","31","Cles","01-01-2015 02:00","-4.2","88.6","0.0","0.0","0.6","0.0"
"19","31","Cles","01-01-2015 03:00","-4.8","89.5","0.0","0.0","0.5","0.0"
"19","31","Cles","01-01-2015 04:00","-4.8","89.6","0.0","0.0","0.4","0.0"
"19","31","Cles","01-01-2015 05:00","-5.2","91.1","0.0","0.0","0.4","0.0"
"19","31","Cles","01-01-2015 06:00","-5.6","90.6","0.0","0.0","0.5","0.0"
"19","31","Cles","01-01-2015 07:00","-5.7","90.4","0.0","0.0","0.4","0.0"
"19","31","Cles","01-01-2015 08:00","-5.6","90.4","0.0","0.0","0.3","0.0"
"19","31","Cles","01-01-2015 09:00","-5.0","90.8","0.0","0.0","0.1","0.2"
"19","31","Cles","01-01-2015 10:00","-2.9","85.8","0.0","0.0","0.3","0.75"
"19","31","Cles","01-01-2015 11:00","-1.3","76.5","0.0","0.0","0.4","1.07"
"19","31","Cles","01-01-2015 12:00","0.8","64.1","0.0","0.0","0.6","1.47"
"19","31","Cles","01-01-2015 13:00","2.2","60.2","0.0","0.0","0.8","1.52"
"19","31","Cles","01-01-2015 14:00","3.3","56.2","0.0","0.0","0.7","1.16"
"19","31","Cles","01-01-2015 15:00","3.6","54.4","0.0","0.0","0.9","0.77"
"19","31","Cles","01-01-2015 16:00","2.5","57.4","0.0","0.0","0.8","0.26"
"19","31","Cles","01-01-2015 17:00","0.6","67.7","0.0","0.0","0.4","0.02"
"19","31","Cles","01-01-2015 18:00","-0.4","73.6","0.0","0.0","0.2","0.0"
"19","31","Cles","01-01-2015 19:00","-0.8","75.1","0.0","0.0","0.3","0.0"
"19","31","Cles","01-01-2015 20:00","-1.3","78.8","0.0","0.0","0.6","0.0"
"19","31","Cles","01-01-2015 21:00","-1.6","79.2","0.0","0.0","0.5","0.0"
"19","31","Cles","01-01-2015 22:00","-1.7","79.5","0.0","0.0","0.3","0.0"
"19","31","Cles","01-01-2015 23:00","-2.6","82.8","0.0","0.0","0.7","0.0"
"19","31","Cles","02-01-2015 00:00","-1.8","80.1","0.0","0.0","0.3","0.0"
"19","31","Cles","02-01-2015 01:00","-2.6","84.0","0.0","0.0","0.1","0.0"
"19","31","Cles","02-01-2015 02:00","-2.8","83.9","0.0","0.0","0.3","0.0"
"19","31","Cles","02-01-2015 03:00","-2.3","82.5","0.0","0.0","0.1","0.0"
"19","31","Cles","02-01-2015 04:00","-2.4","84.1","0.0","0.0","0.2","0.0"
"19","31","Cles","02-01-2015 05:00","-2.1","83.6","0.0","0.0","0.2","0.0"
"19","31","Cles","02-01-2015 06:00","-2.8","86.1","0.0","0.0","0.2","0.0"
"19","31","Cles","02-01-2015 07:00","-2.1","84.4","0.0","0.0","0.3","0.0"
"19","31","Cles","02-01-2015 08:00","-2.6","85.6","0.0","0.0","0.2","0.0"
"19","31","Cles","02-01-2015 09:00","-2.2","86.4","0.0","0.0","0.3","0.26"
"19","31","Cles","02-01-2015 10:00","1.2","73.1","0.0","16.0","0.2","0.85"
"19","31","Cles","02-01-2015 11:00","4.0","64.9","0.0","23.0","0.3","1.16"
"19","31","Cles","02-01-2015 12:00","4.1","65.2","0.0","0.0","0.6","0.93"
"19","31","Cles","02-01-2015 13:00","5.2","61.3","0.0","0.0","0.5","0.94"
"19","31","Cles","02-01-2015 14:00","5.2","59.0","0.0","0.0","0.2","0.59"
"19","31","Cles","02-01-2015 15:00","4.8","63.3","0.0","0.0","0.1","0.28"
"19","31","Cles","02-01-2015 16:00","4.3","66.2","0.0","0.0","0.5","0.18"
"19","31","Cles","02-01-2015 17:00","3.8","65.9","0.0","0.0","0.5","0.02"
"19","31","Cles","02-01-2015 18:00","3.1","70.1","0.0","0.0","0.4","0.0"
"19","31","Cles","02-01-2015 19:00","2.8","73.6","0.0","0.0","0.5","0.0"
"19","31","Cles","02-01-2015 20:00","2.6","73.9","0.0","0.0","0.5","0.0"
