"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"20","46","Cognola","01-01-2016 00:00","0.2","74.0","0.0","0.0","0.1","0.0"
"20","46","Cognola","01-01-2016 01:00","0.4","75.5","0.0","0.0","0.2","0.0"
"20","46","Cognola","01-01-2016 02:00","0.1","75.3","0.0","0.0","0.1","0.0"
"20","46","Cognola","01-01-2016 03:00","-0.6","79.9","0.0","0.0","0.3","0.0"
"20","46","Cognola","01-01-2016 04:00","-1.1","82.8","0.0","0.0","0.3","0.0"
"20","46","Cognola","01-01-2016 05:00","-1.6","85.5","0.0","0.0","0.4","0.0"
"20","46","Cognola","01-01-2016 06:00","-1.4","86.4","0.0","0.0","0.3","0.0"
"20","46","Cognola","01-01-2016 07:00","-1.9","87.4","0.0","0.0","0.5","0.0"
"20","46","Cognola","01-01-2016 08:00","-2.7","89.7","0.0","0.0","0.5","0.0"
"20","46","Cognola","01-01-2016 09:00","-2.4","88.0","0.0","0.0","0.5","0.05"
"20","46","Cognola","01-01-2016 10:00","-0.6","80.4","0.0","0.0","0.3","0.34"
"20","46","Cognola","01-01-2016 11:00","4.6","55.9","0.0","0.0","0.4","0.95"
"20","46","Cognola","01-01-2016 12:00","6.0","50.4","0.0","0.0","0.8","1.17"
"20","46","Cognola","01-01-2016 13:00","7.3","46.6","0.0","0.0","0.9","1.23"
"20","46","Cognola","01-01-2016 14:00","8.0","43.7","0.0","0.0","1.0","1.09"
"20","46","Cognola","01-01-2016 15:00","7.3","45.0","0.0","0.0","0.9","0.77"
"20","46","Cognola","01-01-2016 16:00","5.6","49.8","0.0","0.0","0.7","0.18"
"20","46","Cognola","01-01-2016 17:00","3.9","56.0","0.0","0.0","0.4","0.02"
"20","46","Cognola","01-01-2016 18:00","2.4","63.9","0.0","0.0","0.5","0.0"
"20","46","Cognola","01-01-2016 19:00","1.1","74.8","0.0","0.0","0.3","0.0"
"20","46","Cognola","01-01-2016 20:00","0.4","82.9","0.0","0.0","0.4","0.0"
