"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"22","36","Cunevo","01-01-2017 00:00","0.0","50.8","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 01:00","-0.3","51.1","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 02:00","-0.7","51.2","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 03:00","-0.5","50.0","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 04:00","-0.8","51.3","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 05:00","-1.2","51.8","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 06:00","-1.1","49.5","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 07:00","-1.6","51.6","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 08:00","-1.5","50.5","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 09:00","-1.1","50.5","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 10:00","4.6","35.8","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 11:00","6.4","31.2","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 12:00","8.1","28.3","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 13:00","8.5","28.8","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 14:00","6.1","32.7","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 15:00","5.5","32.9","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 16:00","5.1","34.9","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 17:00","3.2","41.4","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 18:00","1.1","47.5","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 19:00","0.5","48.9","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 20:00","0.2","48.5","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 21:00","-0.3","50.4","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 22:00","-0.8","52.6","0.0","0.0","--","--"
"22","36","Cunevo","01-01-2017 23:00","-1.0","53.4","0.0","0.0","--","--"
"22","36","Cunevo","02-01-2017 00:00","-1.8","55.5","0.0","0.0","--","--"
"22","36","Cunevo","02-01-2017 01:00","-1.8","54.3","0.0","0.0","--","--"
"22","36","Cunevo","02-01-2017 02:00","-2.0","54.9","0.0","0.0","--","--"
"22","36","Cunevo","02-01-2017 03:00","-2.2","54.9","0.0","0.0","--","--"
"22","36","Cunevo","02-01-2017 04:00","-2.3","55.1","0.0","0.0","--","--"
