"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"23","25","Denno","01-01-2016 00:00","-1.0","89.9","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 01:00","-1.2","91.0","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 02:00","-1.2","91.5","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 03:00","-1.5","91.9","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 04:00","-2.0","92.4","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 05:00","-2.1","93.0","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 06:00","-2.1","93.3","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 07:00","-2.7","94.3","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 08:00","-3.3","94.5","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 09:00","-3.6","94.8","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 10:00","-3.2","95.4","0.0","0.0","61.6","0.18"
"23","25","Denno","01-01-2016 11:00","0.6","86.4","0.0","22.0","61.6","0.69"
"23","25","Denno","01-01-2016 12:00","3.3","70.8","0.0","5.0","61.6","0.82"
"23","25","Denno","01-01-2016 13:00","5.5","57.1","0.0","0.0","61.6","0.9"
"23","25","Denno","01-01-2016 14:00","6.0","54.2","0.0","0.0","61.6","0.78"
"23","25","Denno","01-01-2016 15:00","6.1","52.8","0.0","0.0","61.6","0.47"
"23","25","Denno","01-01-2016 16:00","2.9","63.4","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 17:00","0.9","72.5","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 18:00","-0.7","80.2","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 19:00","-1.7","84.4","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 20:00","-2.3","87.2","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 21:00","-2.9","89.1","0.0","0.0","61.6","0.0"
"23","25","Denno","01-01-2016 22:00","-3.3","90.8","0.0","0.0","61.6","0.0"
