"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"25","54","Dro","01-01-2016 00:00","2.1","84.1","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 01:00","2.3","83.8","0.0","0.0","0.1","0.0"
"25","54","Dro","01-01-2016 02:00","1.9","84.8","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 03:00","0.9","88.9","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 04:00","0.7","88.4","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 05:00","0.6","88.1","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 06:00","-0.3","89.5","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 07:00","-0.4","89.6","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 08:00","-1.1","90.9","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 09:00","-2.0","92.6","0.0","0.0","0.0","0.04"
"25","54","Dro","01-01-2016 10:00","-1.3","90.8","0.0","0.0","0.0","0.08"
"25","54","Dro","01-01-2016 11:00","-0.5","87.8","0.0","0.0","0.1","0.34"
"25","54","Dro","01-01-2016 12:00","4.8","63.2","0.0","0.0","0.0","1.15"
"25","54","Dro","01-01-2016 13:00","8.1","47.9","0.0","0.0","1.0","1.22"
"25","54","Dro","01-01-2016 14:00","8.1","48.3","0.0","0.0","2.2","1.12"
"25","54","Dro","01-01-2016 15:00","7.9","52.6","0.0","0.0","2.0","0.78"
"25","54","Dro","01-01-2016 16:00","6.6","65.9","0.0","0.0","1.2","0.23"
"25","54","Dro","01-01-2016 17:00","4.8","76.6","0.0","0.0","0.1","0.02"
"25","54","Dro","01-01-2016 18:00","1.8","86.0","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 19:00","1.2","88.2","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 20:00","1.3","87.2","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 21:00","1.7","86.0","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 22:00","2.2","84.8","0.0","0.0","0.0","0.0"
"25","54","Dro","01-01-2016 23:00","2.8","82.3","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 00:00","3.2","78.6","0.0","0.0","0.1","0.0"
"25","54","Dro","02-01-2016 01:00","3.2","78.6","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 02:00","3.3","76.9","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 03:00","3.4","75.4","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 04:00","3.2","74.5","0.0","0.0","0.3","0.0"
"25","54","Dro","02-01-2016 05:00","2.3","78.4","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 06:00","0.7","84.7","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 07:00","0.2","87.1","0.0","0.0","0.0","0.0"
"25","54","Dro","02-01-2016 08:00","1.1","82.7","0.0","0.0","0.1","0.0"
"25","54","Dro","02-01-2016 09:00","1.9","78.2","0.0","0.0","0.0","0.04"
"25","54","Dro","02-01-2016 10:00","2.5","77.0","0.0","0.0","0.0","0.14"
"25","54","Dro","02-01-2016 11:00","3.4","71.0","0.0","0.0","0.0","0.23"
"25","54","Dro","02-01-2016 12:00","4.2","66.7","0.0","0.0","0.0","0.31"
"25","54","Dro","02-01-2016 13:00","4.4","66.2","0.0","0.0","0.0","0.18"
"25","54","Dro","02-01-2016 14:00","3.8","72.7","0.0","19.0","0.9","0.2"
"25","54","Dro","02-01-2016 15:00","3.4","78.0","0.0","15.0","0.2","0.06"
"25","54","Dro","02-01-2016 16:00","2.9","86.7","0.4","60.0","0.0","0.05"
"25","54","Dro","02-01-2016 17:00","2.9","87.0","0.0","60.0","0.1","0.0"
"25","54","Dro","02-01-2016 18:00","3.0","86.4","0.0","60.0","0.1","0.0"
"25","54","Dro","02-01-2016 19:00","3.0","88.1","0.0","60.0","0.0","0.0"
"25","54","Dro","02-01-2016 20:00","2.8","89.6","0.0","60.0","0.0","0.0"
"25","54","Dro","02-01-2016 21:00","3.0","87.3","0.0","60.0","0.2","0.0"
"25","54","Dro","02-01-2016 22:00","3.0","86.8","0.0","60.0","0.0","0.0"
"25","54","Dro","02-01-2016 23:00","3.5","81.9","0.0","60.0","0.3","0.0"
"25","54","Dro","03-01-2016 00:00","3.6","81.1","0.0","60.0","0.0","0.0"
"25","54","Dro","03-01-2016 01:00","3.8","79.5","0.0","60.0","0.3","0.0"
"25","54","Dro","03-01-2016 02:00","3.7","81.8","1.6","60.0","0.3","0.0"
"25","54","Dro","03-01-2016 03:00","2.8","92.0","0.6","60.0","0.0","0.0"
