"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"27","84","Fondo","01-01-2016 00:00","-1.6","81.4","0.0","0.0","0.3","0.0"
"27","84","Fondo","01-01-2016 01:00","-1.1","76.3","0.0","0.0","0.3","0.0"
"27","84","Fondo","01-01-2016 02:00","-1.2","75.8","0.0","0.0","0.6","0.0"
"27","84","Fondo","01-01-2016 03:00","-1.1","74.3","0.0","0.0","0.7","0.0"
"27","84","Fondo","01-01-2016 04:00","-1.6","78.0","0.0","0.0","0.1","0.0"
"27","84","Fondo","01-01-2016 05:00","-1.3","76.6","0.0","0.0","0.4","0.0"
"27","84","Fondo","01-01-2016 06:00","-1.0","75.1","0.0","0.0","0.2","0.0"
"27","84","Fondo","01-01-2016 07:00","-1.6","78.3","0.0","0.0","1.0","0.0"
"27","84","Fondo","01-01-2016 08:00","-1.5","77.9","0.0","0.0","0.7","0.0"
"27","84","Fondo","01-01-2016 09:00","-1.1","76.0","0.0","0.0","1.5","0.05"
"27","84","Fondo","01-01-2016 10:00","1.1","66.6","0.0","0.0","0.8","0.46"
"27","84","Fondo","01-01-2016 11:00","3.2","57.9","0.0","0.0","0.5","0.84"
"27","84","Fondo","01-01-2016 12:00","5.0","51.9","0.0","0.0","0.7","1.1"
"27","84","Fondo","01-01-2016 13:00","5.9","48.5","0.0","0.0","1.0","1.17"
"27","84","Fondo","01-01-2016 14:00","6.7","45.4","0.0","0.0","1.0","1.05"
"27","84","Fondo","01-01-2016 15:00","6.9","44.2","0.0","0.0","1.0","0.75"
"27","84","Fondo","01-01-2016 16:00","6.3","45.4","0.0","0.0","0.6","0.34"
"27","84","Fondo","01-01-2016 17:00","3.0","55.8","0.0","0.0","0.4","0.01"
"27","84","Fondo","01-01-2016 18:00","1.1","65.4","0.0","0.0","0.4","0.0"
"27","84","Fondo","01-01-2016 19:00","0.6","63.3","0.0","0.0","2.2","0.0"
"27","84","Fondo","01-01-2016 20:00","0.3","63.2","0.0","0.0","2.1","0.0"
"27","84","Fondo","01-01-2016 21:00","-0.3","64.4","0.0","0.0","1.8","0.0"
"27","84","Fondo","01-01-2016 22:00","-0.6","64.5","0.0","0.0","2.3","0.0"
"27","84","Fondo","01-01-2016 23:00","-1.1","66.4","0.0","0.0","0.8","0.0"
"27","84","Fondo","02-01-2016 00:00","-1.3","66.8","0.0","0.0","1.4","0.0"
"27","84","Fondo","02-01-2016 01:00","-1.8","68.9","0.0","0.0","0.8","0.0"
"27","84","Fondo","02-01-2016 02:00","-2.2","73.6","0.0","0.0","0.4","0.0"
"27","84","Fondo","02-01-2016 03:00","-2.0","72.5","0.0","0.0","0.3","0.0"
"27","84","Fondo","02-01-2016 04:00","-1.9","71.6","0.0","0.0","0.9","0.0"
"27","84","Fondo","02-01-2016 05:00","-2.3","74.8","0.0","0.0","0.7","0.0"
"27","84","Fondo","02-01-2016 06:00","-2.1","73.4","0.0","0.0","0.8","0.0"
"27","84","Fondo","02-01-2016 07:00","-2.6","75.8","0.0","0.0","0.3","0.0"
