"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"29","94","Giovo - Bosch","01-01-2017 00:00","1.8","48.4","0.0","0.0","0.7","0.0"
"29","94","Giovo - Bosch","01-01-2017 01:00","1.6","49.1","0.0","0.0","0.8","0.0"
"29","94","Giovo - Bosch","01-01-2017 02:00","1.1","50.5","0.0","0.0","0.9","0.0"
"29","94","Giovo - Bosch","01-01-2017 03:00","1.0","49.5","0.0","0.0","0.7","0.0"
"29","94","Giovo - Bosch","01-01-2017 04:00","0.3","52.3","0.0","0.0","0.9","0.0"
"29","94","Giovo - Bosch","01-01-2017 05:00","0.5","51.1","0.0","0.0","1.3","0.0"
"29","94","Giovo - Bosch","01-01-2017 06:00","0.2","51.5","0.0","0.0","1.2","0.0"
"29","94","Giovo - Bosch","01-01-2017 07:00","0.1","50.5","0.0","0.0","1.2","0.0"
"29","94","Giovo - Bosch","01-01-2017 08:00","-0.1","50.8","0.0","0.0","1.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 09:00","0.1","49.0","0.0","0.0","1.3","0.06"
"29","94","Giovo - Bosch","01-01-2017 10:00","0.2","48.5","0.0","0.0","1.0","0.09"
"29","94","Giovo - Bosch","01-01-2017 11:00","1.2","44.3","0.0","0.0","1.3","0.53"
"29","94","Giovo - Bosch","01-01-2017 12:00","2.6","39.8","0.0","0.0","1.3","1.12"
"29","94","Giovo - Bosch","01-01-2017 13:00","3.9","36.4","0.0","0.0","0.5","1.26"
"29","94","Giovo - Bosch","01-01-2017 14:00","6.4","32.0","0.0","0.0","0.0","1.21"
"29","94","Giovo - Bosch","01-01-2017 15:00","7.5","33.0","0.0","0.0","0.0","0.92"
"29","94","Giovo - Bosch","01-01-2017 16:00","6.8","33.5","0.0","0.0","0.0","0.37"
"29","94","Giovo - Bosch","01-01-2017 17:00","4.7","38.0","0.0","0.0","0.0","0.05"
"29","94","Giovo - Bosch","01-01-2017 18:00","3.4","41.3","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 19:00","2.9","40.2","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 20:00","2.4","42.4","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 21:00","2.0","43.1","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 22:00","1.5","46.2","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 23:00","0.9","48.0","0.0","0.0","0.0","0.0"
