"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"30","19","Lavaze","01-01-2016 00:00","-0.4","49.5","0.0","--","0.3","0.0"
"30","19","Lavaze","01-01-2016 01:00","0.3","49.0","0.0","--","0.5","0.0"
"30","19","Lavaze","01-01-2016 02:00","-0.2","56.0","0.0","--","1.0","0.0"
"30","19","Lavaze","01-01-2016 03:00","-0.8","60.5","0.0","--","0.9","0.0"
"30","19","Lavaze","01-01-2016 04:00","-0.6","64.7","0.0","--","1.1","0.0"
"30","19","Lavaze","01-01-2016 05:00","-1.1","67.6","0.0","--","1.5","0.0"
"30","19","Lavaze","01-01-2016 06:00","-0.2","66.0","0.0","--","1.0","0.0"
"30","19","Lavaze","01-01-2016 07:00","-1.1","68.5","0.0","--","0.3","0.0"
"30","19","Lavaze","01-01-2016 08:00","-2.0","73.8","0.0","--","0.5","0.0"
"30","19","Lavaze","01-01-2016 09:00","-1.7","72.9","0.0","--","1.0","0.05"
"30","19","Lavaze","01-01-2016 10:00","-2.0","74.7","0.0","--","0.6","0.08"
"30","19","Lavaze","01-01-2016 11:00","1.1","62.2","0.0","--","1.4","0.85"
"30","19","Lavaze","01-01-2016 12:00","3.8","49.5","0.0","--","1.7","1.22"
"30","19","Lavaze","01-01-2016 13:00","4.2","41.1","0.0","--","2.0","1.28"
"30","19","Lavaze","01-01-2016 14:00","4.5","38.4","0.0","--","2.1","1.17"
"30","19","Lavaze","01-01-2016 15:00","4.7","36.5","0.0","--","1.6","0.86"
"30","19","Lavaze","01-01-2016 16:00","3.6","40.5","0.0","--","1.6","0.31"
"30","19","Lavaze","01-01-2016 17:00","0.0","53.2","0.0","--","2.5","0.02"
"30","19","Lavaze","01-01-2016 18:00","-1.1","55.4","0.0","--","3.0","0.0"
"30","19","Lavaze","01-01-2016 19:00","-1.1","52.2","0.0","--","2.6","0.0"
"30","19","Lavaze","01-01-2016 20:00","-1.0","52.4","0.0","--","1.3","0.0"
"30","19","Lavaze","01-01-2016 21:00","-2.3","56.5","0.0","--","0.4","0.0"
"30","19","Lavaze","01-01-2016 22:00","-2.7","59.4","0.0","--","0.4","0.0"
"30","19","Lavaze","01-01-2016 23:00","-2.4","57.3","0.0","--","0.9","0.0"
"30","19","Lavaze","02-01-2016 00:00","-3.1","59.5","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 01:00","-4.1","66.1","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 02:00","-3.6","64.5","0.0","--","0.8","0.0"
"30","19","Lavaze","02-01-2016 03:00","-3.7","65.4","0.0","--","0.3","0.0"
"30","19","Lavaze","02-01-2016 04:00","-4.0","67.6","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 05:00","-4.5","64.0","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 06:00","-4.2","59.8","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 07:00","-4.5","57.2","0.0","--","0.5","0.0"
"30","19","Lavaze","02-01-2016 08:00","-4.2","55.4","0.0","--","0.8","0.0"
"30","19","Lavaze","02-01-2016 09:00","-3.6","50.1","0.0","--","0.6","0.07"
"30","19","Lavaze","02-01-2016 10:00","-2.7","46.0","0.0","--","0.5","0.24"
"30","19","Lavaze","02-01-2016 11:00","-2.6","43.0","0.0","--","1.7","0.26"
"30","19","Lavaze","02-01-2016 12:00","-2.6","64.6","0.0","--","1.0","0.23"
"30","19","Lavaze","02-01-2016 13:00","-2.5","82.7","0.2","--","0.8","0.27"
"30","19","Lavaze","02-01-2016 14:00","-1.7","86.2","0.0","--","1.1","0.38"
