"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"31","97","Lavis","01-01-2016 00:00","-0.3","81.6","0.0","0.0","0.0","0.0"
"31","97","Lavis","01-01-2016 01:00","-0.5","82.8","0.0","0.0","0.0","0.0"
"31","97","Lavis","01-01-2016 02:00","-0.7","84.1","0.0","0.0","0.0","0.0"
"31","97","Lavis","01-01-2016 03:00","-1.0","85.0","0.0","0.0","0.0","0.0"
"31","97","Lavis","01-01-2016 04:00","-1.5","86.8","0.0","33.0","0.1","0.0"
"31","97","Lavis","01-01-2016 05:00","-2.2","89.3","0.0","60.0","0.1","0.0"
"31","97","Lavis","01-01-2016 06:00","-1.9","88.2","0.0","60.0","0.0","0.0"
"31","97","Lavis","01-01-2016 07:00","-2.2","87.9","0.0","60.0","0.0","0.0"
"31","97","Lavis","01-01-2016 08:00","-3.2","91.0","0.0","60.0","0.0","0.0"
"31","97","Lavis","01-01-2016 09:00","-3.6","91.5","0.0","60.0","0.0","0.08"
"31","97","Lavis","01-01-2016 10:00","0.0","80.0","0.0","50.0","0.2","0.42"
"31","97","Lavis","01-01-2016 11:00","3.1","66.8","0.0","0.0","0.2","0.8"
"31","97","Lavis","01-01-2016 12:00","4.7","59.6","0.0","0.0","1.1","1.03"
"31","97","Lavis","01-01-2016 13:00","6.4","52.8","0.0","0.0","0.4","1.07"
"31","97","Lavis","01-01-2016 14:00","7.7","47.6","0.0","0.0","0.2","0.93"
"31","97","Lavis","01-01-2016 15:00","7.8","46.9","0.0","0.0","0.3","0.59"
"31","97","Lavis","01-01-2016 16:00","4.9","55.3","0.0","0.0","0.0","0.1"
"31","97","Lavis","01-01-2016 17:00","3.5","63.4","0.0","0.0","0.4","0.02"
"31","97","Lavis","01-01-2016 18:00","2.5","69.2","0.0","0.0","0.5","0.0"
"31","97","Lavis","01-01-2016 19:00","1.8","72.9","0.0","0.0","0.5","0.0"
"31","97","Lavis","01-01-2016 20:00","0.8","77.9","0.0","0.0","0.2","0.0"
"31","97","Lavis","01-01-2016 21:00","-1.1","85.6","0.0","21.0","0.1","0.0"
"31","97","Lavis","01-01-2016 22:00","-2.2","89.1","0.0","60.0","0.1","0.0"
"31","97","Lavis","01-01-2016 23:00","-1.9","86.5","0.0","60.0","0.3","0.0"
"31","97","Lavis","02-01-2016 00:00","-1.8","85.0","0.0","60.0","0.4","0.0"
"31","97","Lavis","02-01-2016 01:00","-2.8","88.6","0.0","60.0","0.1","0.0"
"31","97","Lavis","02-01-2016 02:00","-3.6","90.1","0.0","60.0","0.1","0.0"
"31","97","Lavis","02-01-2016 03:00","-3.2","90.8","0.0","60.0","0.1","0.0"
"31","97","Lavis","02-01-2016 04:00","-3.3","91.1","0.0","60.0","0.1","0.0"
"31","97","Lavis","02-01-2016 05:00","-3.5","92.1","0.0","60.0","0.0","0.0"
"31","97","Lavis","02-01-2016 06:00","-3.8","92.4","0.0","60.0","0.0","0.0"
"31","97","Lavis","02-01-2016 07:00","-3.9","92.3","0.0","60.0","0.0","0.0"
"31","97","Lavis","02-01-2016 08:00","-4.1","92.3","0.0","60.0","0.0","0.0"
"31","97","Lavis","02-01-2016 09:00","-3.5","92.2","0.0","60.0","0.0","0.03"
"31","97","Lavis","02-01-2016 10:00","-2.2","90.7","0.0","60.0","0.1","0.1"
"31","97","Lavis","02-01-2016 11:00","-0.9","87.0","0.0","60.0","0.2","0.22"
"31","97","Lavis","02-01-2016 12:00","0.0","84.9","0.0","60.0","0.5","0.36"
"31","97","Lavis","02-01-2016 13:00","1.5","79.0","0.0","8.0","0.5","0.52"
"31","97","Lavis","02-01-2016 14:00","1.9","75.1","0.0","0.0","0.0","0.31"
"31","97","Lavis","02-01-2016 15:00","2.2","73.3","0.0","0.0","0.0","0.16"
"31","97","Lavis","02-01-2016 16:00","2.1","73.9","0.0","0.0","0.3","0.09"
"31","97","Lavis","02-01-2016 17:00","1.7","76.9","0.0","0.0","0.1","0.02"
"31","97","Lavis","02-01-2016 18:00","1.2","79.9","0.0","0.0","0.0","0.0"
"31","97","Lavis","02-01-2016 19:00","1.2","81.0","0.0","0.0","0.0","0.0"
"31","97","Lavis","02-01-2016 20:00","1.3","80.7","0.0","5.0","0.0","0.0"
"31","97","Lavis","02-01-2016 21:00","0.9","85.1","0.0","60.0","0.0","0.0"
"31","97","Lavis","02-01-2016 22:00","0.8","88.5","0.0","60.0","0.2","0.0"
"31","97","Lavis","02-01-2016 23:00","1.1","84.2","0.0","60.0","1.1","0.0"
"31","97","Lavis","03-01-2016 00:00","1.2","85.8","0.0","60.0","2.6","0.0"
"31","97","Lavis","03-01-2016 01:00","1.0","90.7","0.2","60.0","2.4","0.0"
"31","97","Lavis","03-01-2016 02:00","0.5","94.7","0.0","60.0","0.8","0.0"
"31","97","Lavis","03-01-2016 03:00","0.7","94.0","0.0","60.0","0.5","0.0"
"31","97","Lavis","03-01-2016 04:00","1.1","92.7","0.2","60.0","0.7","0.0"
"31","97","Lavis","03-01-2016 05:00","1.5","90.8","0.6","60.0","0.7","0.0"
"31","97","Lavis","03-01-2016 06:00","1.4","90.1","0.2","60.0","0.9","0.0"
"31","97","Lavis","03-01-2016 07:00","1.3","89.3","0.0","60.0","0.8","0.0"
"31","97","Lavis","03-01-2016 08:00","1.2","88.3","0.2","60.0","0.8","0.0"
"31","97","Lavis","03-01-2016 09:00","-0.2","92.6","0.0","60.0","0.1","0.05"
"31","97","Lavis","03-01-2016 10:00","-0.4","93.6","0.0","60.0","0.0","0.13"
"31","97","Lavis","03-01-2016 11:00","2.6","85.8","0.8","60.0","0.0","0.58"
"31","97","Lavis","03-01-2016 12:00","4.5","77.3","0.0","60.0","0.1","0.89"
"31","97","Lavis","03-01-2016 13:00","5.2","75.5","0.0","60.0","0.0","0.74"
"31","97","Lavis","03-01-2016 14:00","5.0","77.2","0.0","60.0","1.3","0.5"
"31","97","Lavis","03-01-2016 15:00","5.0","79.1","0.0","60.0","2.8","0.13"
"31","97","Lavis","03-01-2016 16:00","5.2","80.9","0.0","60.0","2.3","0.1"
"31","97","Lavis","03-01-2016 17:00","4.9","80.8","0.0","60.0","0.6","0.01"
"31","97","Lavis","03-01-2016 18:00","3.7","85.8","0.0","60.0","0.0","0.0"
"31","97","Lavis","03-01-2016 19:00","3.7","86.4","0.0","60.0","0.0","0.0"
"31","97","Lavis","03-01-2016 20:00","3.6","86.2","0.0","60.0","0.0","0.0"
"31","97","Lavis","03-01-2016 21:00","3.9","84.1","0.0","60.0","0.0","0.0"
"31","97","Lavis","03-01-2016 22:00","3.6","84.2","0.0","60.0","0.3","0.0"
"31","97","Lavis","03-01-2016 23:00","4.0","82.6","0.0","60.0","1.9","0.0"
"31","97","Lavis","04-01-2016 00:00","4.0","82.6","0.0","60.0","2.2","0.0"
"31","97","Lavis","04-01-2016 01:00","3.9","82.2","0.0","60.0","1.3","0.0"
"31","97","Lavis","04-01-2016 02:00","3.6","84.0","0.0","60.0","0.8","0.0"
"31","97","Lavis","04-01-2016 03:00","3.8","84.1","0.0","60.0","1.6","0.0"
"31","97","Lavis","04-01-2016 04:00","3.8","85.1","0.0","60.0","2.1","0.0"
"31","97","Lavis","04-01-2016 05:00","3.1","89.7","0.0","60.0","0.6","0.0"
"31","97","Lavis","04-01-2016 06:00","2.9","91.3","0.6","60.0","0.0","0.0"
"31","97","Lavis","04-01-2016 07:00","2.5","93.7","0.2","60.0","0.0","0.0"
"31","97","Lavis","04-01-2016 08:00","2.4","93.9","0.0","60.0","0.2","0.0"
"31","97","Lavis","04-01-2016 09:00","2.5","92.5","0.0","60.0","0.1","0.01"
"31","97","Lavis","04-01-2016 10:00","2.8","90.8","0.0","60.0","0.4","0.07"
"31","97","Lavis","04-01-2016 11:00","3.0","90.2","0.0","60.0","0.1","0.07"
"31","97","Lavis","04-01-2016 12:00","3.1","91.1","0.2","60.0","0.0","0.11"
"31","97","Lavis","04-01-2016 13:00","3.4","89.7","0.0","60.0","0.2","0.16"
"31","97","Lavis","04-01-2016 14:00","3.8","87.7","0.0","60.0","0.1","0.32"
"31","97","Lavis","04-01-2016 15:00","4.9","82.5","0.0","60.0","0.0","0.53"
"31","97","Lavis","04-01-2016 16:00","4.5","82.2","0.0","60.0","0.0","0.21"
"31","97","Lavis","04-01-2016 17:00","3.5","86.8","0.0","60.0","0.0","0.02"
"31","97","Lavis","04-01-2016 18:00","3.2","89.1","0.0","60.0","0.0","0.0"
"31","97","Lavis","04-01-2016 19:00","3.0","89.6","0.0","60.0","0.1","0.0"
"31","97","Lavis","04-01-2016 20:00","3.0","88.1","0.0","60.0","0.1","0.0"
"31","97","Lavis","04-01-2016 21:00","2.8","87.5","0.0","60.0","0.0","0.0"
"31","97","Lavis","04-01-2016 22:00","2.6","87.4","0.0","60.0","0.0","0.0"
"31","97","Lavis","04-01-2016 23:00","3.3","82.7","0.0","60.0","0.8","0.0"
"31","97","Lavis","05-01-2016 00:00","3.5","80.4","0.0","60.0","0.8","0.0"
"31","97","Lavis","05-01-2016 01:00","3.4","80.1","0.0","60.0","0.9","0.0"
