"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"32","52","Levico","01-01-2017 00:00","-5.2","85.4","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 01:00","-5.3","85.5","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 02:00","-5.6","87.2","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 03:00","-6.2","88.6","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 04:00","-6.4","89.7","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 05:00","-6.4","91.4","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 06:00","-7.2","90.6","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 07:00","-7.1","91.6","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 08:00","-7.1","91.0","0.0","0.0","0.2","0.0"
"32","52","Levico","01-01-2017 09:00","-7.0","92.3","0.0","0.0","0.1","0.04"
"32","52","Levico","01-01-2017 10:00","-6.9","92.2","0.0","0.0","0.0","0.08"
"32","52","Levico","01-01-2017 11:00","-6.2","91.0","0.0","0.0","0.1","0.19"
"32","52","Levico","01-01-2017 12:00","-1.4","79.4","0.0","0.0","0.1","1.2"
"32","52","Levico","01-01-2017 13:00","2.2","67.9","0.0","0.0","0.4","1.4"
"32","52","Levico","01-01-2017 14:00","3.6","52.8","0.0","0.0","0.3","1.28"
"32","52","Levico","01-01-2017 15:00","5.6","41.6","0.0","0.0","0.3","0.94"
"32","52","Levico","01-01-2017 16:00","5.3","43.1","0.0","0.0","0.1","0.34"
"32","52","Levico","01-01-2017 17:00","1.1","57.8","0.0","0.0","0.0","0.02"
"32","52","Levico","01-01-2017 18:00","-1.5","68.9","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 19:00","-2.7","72.4","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 20:00","-3.4","74.9","0.0","0.0","0.0","0.0"
"32","52","Levico","01-01-2017 21:00","-4.2","78.3","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 22:00","-5.0","81.3","0.0","0.0","0.1","0.0"
"32","52","Levico","01-01-2017 23:00","-5.4","82.7","0.0","0.0","0.0","0.0"
"32","52","Levico","02-01-2017 00:00","-5.9","83.6","0.0","0.0","0.2","0.0"
"32","52","Levico","02-01-2017 01:00","-6.2","85.2","0.0","0.0","0.0","0.0"
"32","52","Levico","02-01-2017 02:00","-6.6","85.6","0.0","0.0","0.2","0.0"
"32","52","Levico","02-01-2017 03:00","-7.0","87.4","0.0","0.0","0.1","0.0"
"32","52","Levico","02-01-2017 04:00","-7.3","88.1","0.0","0.0","0.1","0.0"
"32","52","Levico","02-01-2017 05:00","-7.0","87.6","0.0","0.0","0.1","0.0"
"32","52","Levico","02-01-2017 06:00","-6.6","86.7","0.0","0.0","0.3","0.0"
"32","52","Levico","02-01-2017 07:00","-7.1","87.6","0.0","0.0","0.2","0.0"
"32","52","Levico","02-01-2017 08:00","-7.7","87.6","0.0","0.0","0.2","0.0"
"32","52","Levico","02-01-2017 09:00","-7.8","89.0","0.0","0.0","0.1","0.05"
