"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"35","62","Loppio","01-01-2015 00:00","-5.6","93.7","0.0","0.0","0.1","0.0"
"35","62","Loppio","01-01-2015 01:00","-6.5","95.1","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 02:00","-7.1","95.7","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 03:00","-7.4","96.1","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 04:00","-7.7","95.8","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 05:00","-7.7","95.8","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 06:00","-6.6","95.9","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 07:00","-6.0","95.4","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 08:00","-5.9","95.2","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 09:00","-5.3","94.6","0.0","0.0","0.0","0.07"
"35","62","Loppio","01-01-2015 10:00","-2.1","84.2","0.0","0.0","0.2","0.44"
"35","62","Loppio","01-01-2015 11:00","0.9","69.7","0.0","34.0","0.4","0.79"
"35","62","Loppio","01-01-2015 12:00","2.7","62.9","0.0","37.0","0.6","1.09"
"35","62","Loppio","01-01-2015 13:00","3.8","58.8","0.0","0.0","0.5","1.08"
"35","62","Loppio","01-01-2015 14:00","-0.1","75.4","0.0","0.0","0.0","0.14"
"35","62","Loppio","01-01-2015 15:00","-1.2","81.6","0.0","0.0","0.0","0.1"
"35","62","Loppio","01-01-2015 16:00","-2.0","83.4","0.0","0.0","0.0","0.07"
"35","62","Loppio","01-01-2015 17:00","-3.1","88.5","0.0","0.0","0.0","0.02"
"35","62","Loppio","01-01-2015 18:00","-3.5","92.7","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 19:00","-3.9","94.2","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 20:00","-4.6","94.8","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 21:00","-3.6","92.6","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 22:00","-3.7","91.5","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2015 23:00","-1.2","82.9","0.0","0.0","0.9","0.0"
"35","62","Loppio","02-01-2015 00:00","-0.4","78.3","0.0","0.0","0.9","0.0"
"35","62","Loppio","02-01-2015 01:00","-0.6","78.8","0.0","0.0","1.2","0.0"
"35","62","Loppio","02-01-2015 02:00","-0.4","77.3","0.0","0.0","1.1","0.0"
"35","62","Loppio","02-01-2015 03:00","-0.6","78.0","0.0","0.0","0.8","0.0"
"35","62","Loppio","02-01-2015 04:00","-1.0","80.2","0.0","0.0","0.2","0.0"
"35","62","Loppio","02-01-2015 05:00","-1.0","80.5","0.0","0.0","0.7","0.0"
"35","62","Loppio","02-01-2015 06:00","-0.8","79.6","0.0","0.0","0.6","0.0"
"35","62","Loppio","02-01-2015 07:00","-0.7","79.6","0.0","0.0","0.8","0.0"
"35","62","Loppio","02-01-2015 08:00","-1.2","81.4","0.0","0.0","0.3","0.0"
"35","62","Loppio","02-01-2015 09:00","-0.8","80.5","0.0","0.0","0.6","0.07"
"35","62","Loppio","02-01-2015 10:00","1.4","70.9","0.0","0.0","1.0","0.46"
"35","62","Loppio","02-01-2015 11:00","3.5","63.5","0.0","0.0","0.8","0.84"
"35","62","Loppio","02-01-2015 12:00","4.4","62.5","0.0","0.0","1.4","1.07"
"35","62","Loppio","02-01-2015 13:00","5.4","59.3","0.0","0.0","1.0","0.82"
"35","62","Loppio","02-01-2015 14:00","4.8","62.2","0.0","0.0","0.9","0.38"
"35","62","Loppio","02-01-2015 15:00","5.5","60.2","0.0","0.0","0.3","0.44"
"35","62","Loppio","02-01-2015 16:00","5.2","63.4","0.0","0.0","0.2","0.2"
"35","62","Loppio","02-01-2015 17:00","4.2","68.0","0.0","0.0","0.1","0.03"
"35","62","Loppio","02-01-2015 18:00","4.3","67.8","0.0","0.0","0.4","0.0"
"35","62","Loppio","02-01-2015 19:00","3.8","70.5","0.0","0.0","0.1","0.0"
"35","62","Loppio","02-01-2015 20:00","3.7","71.5","0.0","0.0","0.4","0.0"
"35","62","Loppio","02-01-2015 21:00","3.7","71.7","0.0","0.0","0.3","0.0"
"35","62","Loppio","02-01-2015 22:00","3.1","74.5","0.0","0.0","0.1","0.0"
"35","62","Loppio","02-01-2015 23:00","2.7","75.9","0.0","0.0","0.4","0.0"
"35","62","Loppio","03-01-2015 00:00","1.9","79.0","0.0","0.0","0.2","0.0"
"35","62","Loppio","03-01-2015 01:00","0.3","86.0","0.0","0.0","0.1","0.0"
"35","62","Loppio","03-01-2015 02:00","0.4","86.6","0.0","0.0","0.5","0.0"
"35","62","Loppio","03-01-2015 03:00","0.0","87.9","0.0","0.0","0.3","0.0"
"35","62","Loppio","03-01-2015 04:00","0.0","88.7","0.0","0.0","0.0","0.0"
"35","62","Loppio","03-01-2015 05:00","0.2","87.3","0.0","0.0","0.1","0.0"
"35","62","Loppio","03-01-2015 06:00","-0.7","90.7","0.0","0.0","0.0","0.0"
"35","62","Loppio","03-01-2015 07:00","-1.7","93.6","0.0","0.0","0.1","0.0"
"35","62","Loppio","03-01-2015 08:00","-2.2","95.4","0.0","0.0","0.1","0.0"
"35","62","Loppio","03-01-2015 09:00","-2.3","96.1","0.0","0.0","0.1","0.1"
"35","62","Loppio","03-01-2015 10:00","1.4","84.2","0.0","30.0","0.1","0.37"
"35","62","Loppio","03-01-2015 11:00","4.6","70.6","0.0","15.0","0.3","0.79"
"35","62","Loppio","03-01-2015 12:00","6.2","64.6","0.0","0.0","0.8","1.07"
"35","62","Loppio","03-01-2015 13:00","8.9","55.9","0.0","0.0","0.2","1.17"
"35","62","Loppio","03-01-2015 14:00","5.6","68.7","0.0","0.0","0.2","0.32"
"35","62","Loppio","03-01-2015 15:00","5.2","74.2","0.0","0.0","0.7","0.15"
"35","62","Loppio","03-01-2015 16:00","6.4","73.4","0.0","0.0","1.0","0.08"
