"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"37","65","Mama di Avio","01-01-2016 00:00","1.4","77.1","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 01:00","1.0","81.3","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 02:00","0.7","82.1","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 03:00","-0.5","86.6","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 04:00","-1.0","88.6","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 05:00","-1.6","91.3","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 06:00","-1.4","90.4","0.0","0.0","0.1","0.0"
"37","65","Mama di Avio","01-01-2016 07:00","-1.7","89.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 08:00","-1.9","90.8","0.0","0.0","0.0","0.01"
"37","65","Mama di Avio","01-01-2016 09:00","-1.2","88.4","0.0","0.0","0.1","0.06"
"37","65","Mama di Avio","01-01-2016 10:00","-0.9","87.2","0.0","0.0","0.0","0.09"
"37","65","Mama di Avio","01-01-2016 11:00","-0.8","87.1","0.0","0.0","0.0","0.13"
"37","65","Mama di Avio","01-01-2016 12:00","3.8","67.5","0.0","27.0","0.1","0.95"
"37","65","Mama di Avio","01-01-2016 13:00","6.8","51.9","0.0","0.0","0.2","1.07"
"37","65","Mama di Avio","01-01-2016 14:00","8.0","47.4","0.0","0.0","0.3","0.94"
"37","65","Mama di Avio","01-01-2016 15:00","8.1","51.1","0.0","0.0","1.0","0.59"
"37","65","Mama di Avio","01-01-2016 16:00","7.4","56.0","0.0","0.0","1.2","0.21"
"37","65","Mama di Avio","01-01-2016 17:00","4.8","67.2","0.0","0.0","0.3","0.06"
"37","65","Mama di Avio","01-01-2016 18:00","1.8","79.6","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 19:00","0.3","88.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 20:00","-1.0","93.3","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 21:00","-1.7","95.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 22:00","-2.3","96.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","01-01-2016 23:00","-2.9","96.9","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 00:00","-3.4","97.6","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 01:00","-3.5","98.0","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 02:00","-3.7","98.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 03:00","-3.3","98.4","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 04:00","-2.8","98.2","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 05:00","-2.7","97.8","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 06:00","-2.8","98.0","0.0","0.0","0.0","0.0"
"37","65","Mama di Avio","02-01-2016 07:00","-2.1","97.6","0.0","0.0","0.1","0.0"
"37","65","Mama di Avio","02-01-2016 08:00","-0.4","93.9","0.0","0.0","0.1","0.01"
"37","65","Mama di Avio","02-01-2016 09:00","0.3","90.3","0.0","12.0","0.0","0.06"
