"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"38","64","Marco","01-01-2015 00:00","-6.0","92.4","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 01:00","-6.6","94.2","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 02:00","-7.2","94.9","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 03:00","-7.8","95.0","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 04:00","-8.1","94.8","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 05:00","-8.2","94.5","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 06:00","-8.1","94.4","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 07:00","-8.6","94.0","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 08:00","--","--","--","--","--","--"
"38","64","Marco","01-01-2015 09:00","-8.2","93.7","0.0","0.0","0.0","0.03"
"38","64","Marco","01-01-2015 10:00","-6.6","94.1","0.0","0.0","0.0","0.14"
"38","64","Marco","01-01-2015 11:00","-0.7","81.4","0.0","0.0","0.1","0.79"
"38","64","Marco","01-01-2015 12:00","3.4","56.2","0.0","13.0","0.3","1.24"
"38","64","Marco","01-01-2015 13:00","4.7","50.7","0.0","0.0","0.4","1.32"
"38","64","Marco","01-01-2015 14:00","6.0","45.8","0.0","0.0","0.2","1.21"
"38","64","Marco","01-01-2015 15:00","6.3","45.3","0.0","0.0","0.2","0.91"
"38","64","Marco","01-01-2015 16:00","4.1","52.6","0.0","0.0","0.2","0.32"
"38","64","Marco","01-01-2015 17:00","-0.1","71.9","0.0","0.0","0.0","0.02"
"38","64","Marco","01-01-2015 18:00","-2.5","85.2","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 19:00","-3.6","90.0","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 20:00","-4.4","92.7","0.0","0.0","0.0","0.0"
"38","64","Marco","01-01-2015 21:00","-3.8","92.9","0.0","0.0","0.1","0.0"
"38","64","Marco","01-01-2015 22:00","-4.3","94.0","0.0","0.0","0.1","0.0"
"38","64","Marco","01-01-2015 23:00","-4.8","94.6","0.0","0.0","0.0","0.0"
"38","64","Marco","02-01-2015 00:00","-5.2","95.5","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 01:00","-4.8","95.5","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 02:00","-5.1","95.4","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 03:00","-5.1","95.4","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 04:00","-5.2","95.1","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 05:00","-5.4","95.3","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 06:00","-5.2","95.7","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 07:00","-5.4","95.7","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 08:00","-5.4","95.7","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 09:00","-4.7","95.7","0.0","0.0","0.1","0.04"
"38","64","Marco","02-01-2015 10:00","-2.4","90.0","0.0","0.0","0.2","0.16"
"38","64","Marco","02-01-2015 11:00","2.5","67.0","0.2","33.0","0.7","0.82"
"38","64","Marco","02-01-2015 12:00","4.3","57.9","0.0","41.0","0.6","0.86"
"38","64","Marco","02-01-2015 13:00","6.6","50.0","0.0","0.0","0.5","1.16"
"38","64","Marco","02-01-2015 14:00","6.4","52.3","0.0","0.0","0.2","0.71"
"38","64","Marco","02-01-2015 15:00","7.2","49.7","0.0","0.0","0.2","0.7"
"38","64","Marco","02-01-2015 16:00","6.1","55.1","0.0","0.0","0.1","0.2"
"38","64","Marco","02-01-2015 17:00","5.0","60.4","0.0","0.0","0.2","0.03"
"38","64","Marco","02-01-2015 18:00","3.1","72.5","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 19:00","3.1","72.8","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 20:00","2.9","74.6","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 21:00","2.4","76.7","0.0","0.0","0.2","0.0"
"38","64","Marco","02-01-2015 22:00","1.4","82.3","0.0","0.0","0.1","0.0"
"38","64","Marco","02-01-2015 23:00","0.6","85.0","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 00:00","-0.5","90.0","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 01:00","-1.5","92.6","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 02:00","-1.2","93.3","0.0","0.0","0.2","0.0"
"38","64","Marco","03-01-2015 03:00","-1.9","95.3","0.0","0.0","0.2","0.0"
"38","64","Marco","03-01-2015 04:00","-2.1","95.7","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 05:00","-2.7","97.0","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 06:00","-3.1","97.4","0.0","0.0","0.0","0.0"
"38","64","Marco","03-01-2015 07:00","-3.5","97.8","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 08:00","-2.8","98.0","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 09:00","-3.2","97.6","0.0","0.0","0.1","0.1"
"38","64","Marco","03-01-2015 10:00","-1.4","96.3","0.0","0.0","0.2","0.27"
"38","64","Marco","03-01-2015 11:00","3.3","79.7","0.0","42.0","0.3","0.73"
"38","64","Marco","03-01-2015 12:00","6.6","61.4","0.0","22.0","0.7","1.16"
"38","64","Marco","03-01-2015 13:00","9.5","50.6","0.0","0.0","0.2","1.3"
"38","64","Marco","03-01-2015 14:00","9.4","50.0","0.0","0.0","0.4","1.07"
"38","64","Marco","03-01-2015 15:00","10.6","46.9","0.0","0.0","0.1","0.89"
"38","64","Marco","03-01-2015 16:00","9.3","52.2","0.0","0.0","0.2","0.35"
"38","64","Marco","03-01-2015 17:00","6.2","64.7","0.0","0.0","0.5","0.03"
"38","64","Marco","03-01-2015 18:00","4.6","72.2","0.0","0.0","0.3","0.0"
"38","64","Marco","03-01-2015 19:00","2.9","80.6","0.0","0.0","0.4","0.0"
"38","64","Marco","03-01-2015 20:00","0.6","89.2","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 21:00","-0.7","93.0","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 22:00","-1.3","95.5","0.0","0.0","0.1","0.0"
"38","64","Marco","03-01-2015 23:00","-2.2","96.2","0.0","0.0","0.0","0.0"
"38","64","Marco","04-01-2015 00:00","-2.5","97.0","0.0","0.0","0.1","0.0"
"38","64","Marco","04-01-2015 01:00","-2.7","97.6","0.0","0.0","0.1","0.0"
"38","64","Marco","04-01-2015 02:00","-2.4","98.2","0.0","0.0","0.2","0.0"
"38","64","Marco","04-01-2015 03:00","-1.7","98.4","0.0","0.0","0.6","0.0"
"38","64","Marco","04-01-2015 04:00","0.8","91.8","0.0","0.0","0.8","0.0"
"38","64","Marco","04-01-2015 05:00","0.0","91.7","0.0","0.0","0.6","0.0"
"38","64","Marco","04-01-2015 06:00","0.9","89.0","0.0","0.0","0.7","0.0"
"38","64","Marco","04-01-2015 07:00","-1.5","93.3","0.0","0.0","0.1","0.0"
"38","64","Marco","04-01-2015 08:00","-2.6","96.7","0.0","0.0","0.1","0.0"
"38","64","Marco","04-01-2015 09:00","-2.5","97.5","0.0","0.0","0.3","0.04"
"38","64","Marco","04-01-2015 10:00","-1.0","97.6","0.0","0.0","0.5","0.13"
"38","64","Marco","04-01-2015 11:00","6.2","75.4","0.0","50.0","0.3","0.83"
"38","64","Marco","04-01-2015 12:00","11.8","49.0","0.0","50.0","0.2","1.36"
"38","64","Marco","04-01-2015 13:00","13.2","40.1","0.0","0.0","0.4","1.48"
"38","64","Marco","04-01-2015 14:00","14.2","33.4","0.0","0.0","0.4","1.38"
"38","64","Marco","04-01-2015 15:00","15.7","18.3","0.2","0.0","1.5","1.11"
"38","64","Marco","04-01-2015 16:00","14.5","13.4","0.0","0.0","1.7","0.41"
"38","64","Marco","04-01-2015 17:00","12.2","15.4","0.0","0.0","1.4","0.03"
"38","64","Marco","04-01-2015 18:00","10.9","17.3","0.0","0.0","1.5","0.0"
"38","64","Marco","04-01-2015 19:00","8.5","26.3","0.0","0.0","0.8","0.0"
"38","64","Marco","04-01-2015 20:00","7.2","28.4","0.0","0.0","0.3","0.0"
"38","64","Marco","04-01-2015 21:00","5.8","32.3","0.0","0.0","0.3","0.0"
"38","64","Marco","04-01-2015 22:00","1.2","51.9","0.0","0.0","0.1","0.0"
"38","64","Marco","04-01-2015 23:00","-1.2","65.1","0.0","0.0","0.0","0.0"
"38","64","Marco","05-01-2015 00:00","-2.1","70.4","0.0","0.0","0.1","0.0"
"38","64","Marco","05-01-2015 01:00","-2.9","75.4","0.0","0.0","0.1","0.0"
"38","64","Marco","05-01-2015 02:00","-3.1","74.1","0.0","0.0","0.1","0.0"
"38","64","Marco","05-01-2015 03:00","-0.4","56.3","0.0","0.0","0.2","0.0"
