"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"39","92","Maso Callianer","01-01-2017 00:00","-5.9","92.8","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 01:00","-6.1","93.4","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 02:00","-6.4","93.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 03:00","-6.1","93.6","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","01-01-2017 04:00","-6.7","93.5","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","01-01-2017 05:00","-6.6","94.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 06:00","-6.8","94.1","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","01-01-2017 07:00","-7.3","94.3","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 08:00","-7.1","94.4","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","01-01-2017 09:00","-7.4","94.1","0.0","0.0","0.0","0.03"
"39","92","Maso Callianer","01-01-2017 10:00","-6.1","94.4","0.0","0.0","0.0","0.11"
"39","92","Maso Callianer","01-01-2017 11:00","0.3","71.9","0.0","9.0","0.2","0.82"
"39","92","Maso Callianer","01-01-2017 12:00","3.4","50.3","0.0","11.0","0.9","1.16"
"39","92","Maso Callianer","01-01-2017 13:00","5.2","42.9","0.0","0.0","0.7","1.24"
"39","92","Maso Callianer","01-01-2017 14:00","7.0","35.7","0.0","0.0","0.6","1.13"
"39","92","Maso Callianer","01-01-2017 15:00","8.3","32.3","0.0","0.0","0.3","0.81"
"39","92","Maso Callianer","01-01-2017 16:00","6.4","37.8","0.0","0.0","0.2","0.26"
"39","92","Maso Callianer","01-01-2017 17:00","0.8","56.9","0.0","0.0","0.0","0.02"
"39","92","Maso Callianer","01-01-2017 18:00","-2.2","74.4","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 19:00","-3.6","80.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 20:00","-4.6","84.8","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 21:00","-5.5","88.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 22:00","-6.0","90.3","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2017 23:00","-6.5","92.2","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 00:00","-6.9","92.8","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 01:00","-7.5","93.4","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 02:00","-7.6","93.9","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 03:00","-7.8","94.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 04:00","-7.7","93.9","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 05:00","-8.0","93.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 06:00","-7.8","93.8","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","02-01-2017 07:00","-7.9","93.3","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 08:00","-8.3","93.5","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2017 09:00","-7.8","93.9","0.0","0.0","0.1","0.03"
"39","92","Maso Callianer","02-01-2017 10:00","-6.3","93.2","0.0","0.0","0.0","0.11"
"39","92","Maso Callianer","02-01-2017 11:00","-0.4","73.3","0.0","0.0","0.3","0.78"
"39","92","Maso Callianer","02-01-2017 12:00","2.6","50.6","0.0","0.0","0.8","1.17"
"39","92","Maso Callianer","02-01-2017 13:00","4.4","43.3","0.0","0.0","0.6","1.22"
"39","92","Maso Callianer","02-01-2017 14:00","6.2","36.5","0.0","0.0","0.3","1.09"
"39","92","Maso Callianer","02-01-2017 15:00","6.9","34.9","0.0","0.0","0.2","0.76"
