"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"44","55","Nago","01-01-2015 00:00","-3.5","84.1","0.0","0.0","0.5","0.0"
"44","55","Nago","01-01-2015 01:00","-4.1","87.2","0.0","0.0","0.5","0.0"
"44","55","Nago","01-01-2015 02:00","-4.0","86.6","0.0","0.0","0.4","0.0"
"44","55","Nago","01-01-2015 03:00","-4.7","89.1","0.0","0.0","0.3","0.0"
"44","55","Nago","01-01-2015 04:00","-4.8","90.6","0.0","0.0","0.4","0.0"
"44","55","Nago","01-01-2015 05:00","-4.5","90.9","0.0","0.0","0.4","0.0"
"44","55","Nago","01-01-2015 06:00","-4.5","91.7","0.0","0.0","0.2","0.0"
"44","55","Nago","01-01-2015 07:00","-4.3","91.8","0.0","0.0","0.2","0.0"
"44","55","Nago","01-01-2015 08:00","-4.4","91.9","0.0","0.0","0.1","0.0"
"44","55","Nago","01-01-2015 09:00","-3.8","90.6","0.0","0.0","0.3","0.05"
"44","55","Nago","01-01-2015 10:00","-2.4","86.7","0.0","8.0","0.4","0.42"
"44","55","Nago","01-01-2015 11:00","0.1","69.7","0.0","60.0","0.8","0.76"
"44","55","Nago","01-01-2015 12:00","1.9","60.6","0.0","42.0","0.7","1.09"
"44","55","Nago","01-01-2015 13:00","3.2","55.2","0.0","0.0","0.6","1.14"
"44","55","Nago","01-01-2015 14:00","4.5","50.6","0.0","0.0","0.4","1.0"
"44","55","Nago","01-01-2015 15:00","5.4","46.9","0.0","0.0","0.5","0.43"
"44","55","Nago","01-01-2015 16:00","3.4","54.7","0.0","0.0","0.6","0.17"
"44","55","Nago","01-01-2015 17:00","0.8","67.4","0.0","0.0","1.0","0.02"
"44","55","Nago","01-01-2015 18:00","-0.2","73.1","0.0","0.0","0.7","0.0"
"44","55","Nago","01-01-2015 19:00","-0.8","77.8","0.0","0.0","0.6","0.0"
"44","55","Nago","01-01-2015 20:00","-1.2","79.6","0.0","0.0","0.5","0.0"
"44","55","Nago","01-01-2015 21:00","-0.7","78.4","0.0","0.0","0.7","0.0"
"44","55","Nago","01-01-2015 22:00","-1.1","80.4","0.0","0.0","0.4","0.0"
"44","55","Nago","01-01-2015 23:00","-0.9","80.0","0.0","0.0","0.8","0.0"
"44","55","Nago","02-01-2015 00:00","-0.6","77.0","0.0","0.0","0.4","0.0"
"44","55","Nago","02-01-2015 01:00","-0.5","76.3","0.0","0.0","0.9","0.0"
"44","55","Nago","02-01-2015 02:00","-0.3","75.3","0.0","0.0","0.8","0.0"
"44","55","Nago","02-01-2015 03:00","-0.1","73.7","0.0","0.0","0.7","0.0"
"44","55","Nago","02-01-2015 04:00","-0.4","75.4","0.0","0.0","0.6","0.0"
"44","55","Nago","02-01-2015 05:00","-0.5","76.4","0.0","0.0","0.6","0.0"
"44","55","Nago","02-01-2015 06:00","-0.8","78.1","0.0","0.0","0.3","0.0"
"44","55","Nago","02-01-2015 07:00","-0.9","79.0","0.0","0.0","0.4","0.0"
"44","55","Nago","02-01-2015 08:00","-1.5","83.4","0.0","0.0","0.6","0.0"
"44","55","Nago","02-01-2015 09:00","-0.8","79.2","0.0","0.0","0.6","0.06"
"44","55","Nago","02-01-2015 10:00","0.9","70.9","0.0","0.0","0.9","0.44"
"44","55","Nago","02-01-2015 11:00","3.1","60.4","0.0","0.0","0.8","0.91"
"44","55","Nago","02-01-2015 12:00","3.7","58.7","0.0","0.0","0.9","0.84"
"44","55","Nago","02-01-2015 13:00","5.8","51.9","0.0","0.0","0.9","1.03"
"44","55","Nago","02-01-2015 14:00","5.4","54.2","0.0","0.0","0.6","0.72"
"44","55","Nago","02-01-2015 15:00","6.4","51.3","0.0","0.0","0.4","0.55"
"44","55","Nago","02-01-2015 16:00","5.9","53.8","0.0","0.0","0.5","0.2"
