"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"46","71","Nave San Rocco","01-01-2016 00:00","-0.9","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 01:00","-0.8","100.0","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 02:00","-0.8","100.0","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 03:00","-0.9","100.0","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 04:00","-1.9","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 05:00","-2.2","100.0","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 06:00","-1.9","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 07:00","-2.6","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 08:00","-3.3","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 09:00","-4.0","100.0","0.0","0.0","0.1","0.07"
"46","71","Nave San Rocco","01-01-2016 10:00","-0.5","100.0","0.0","0.0","0.3","0.32"
"46","71","Nave San Rocco","01-01-2016 11:00","4.0","80.2","0.0","0.0","0.2","0.66"
"46","71","Nave San Rocco","01-01-2016 12:00","5.7","64.4","0.0","0.0","0.6","0.86"
"46","71","Nave San Rocco","01-01-2016 13:00","8.0","54.9","0.0","0.0","0.3","0.99"
"46","71","Nave San Rocco","01-01-2016 14:00","8.5","52.1","0.0","0.0","0.6","0.82"
"46","71","Nave San Rocco","01-01-2016 15:00","7.8","51.8","0.0","0.0","0.6","0.31"
"46","71","Nave San Rocco","01-01-2016 16:00","4.9","61.0","0.0","0.0","0.3","0.07"
"46","71","Nave San Rocco","01-01-2016 17:00","2.4","75.7","0.0","0.0","0.0","0.02"
"46","71","Nave San Rocco","01-01-2016 18:00","2.2","81.1","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 19:00","1.3","87.3","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 20:00","-1.7","100.0","0.0","0.0","0.2","0.0"
"46","71","Nave San Rocco","01-01-2016 21:00","-2.7","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 22:00","-3.6","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","01-01-2016 23:00","-4.2","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 00:00","-4.3","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 01:00","-4.5","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 02:00","-5.1","100.0","0.0","0.0","0.0","0.0"
"46","71","Nave San Rocco","02-01-2016 03:00","-4.1","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 04:00","-4.0","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 05:00","-4.2","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 06:00","-4.6","100.0","0.0","0.0","0.0","0.0"
"46","71","Nave San Rocco","02-01-2016 07:00","-4.8","100.0","0.0","0.0","0.0","0.0"
"46","71","Nave San Rocco","02-01-2016 08:00","-4.8","100.0","0.0","0.0","0.1","0.0"
"46","71","Nave San Rocco","02-01-2016 09:00","-4.2","100.0","0.0","0.0","0.0","0.05"
"46","71","Nave San Rocco","02-01-2016 10:00","-2.6","100.0","0.0","0.0","0.0","0.1"
"46","71","Nave San Rocco","02-01-2016 11:00","-1.4","100.0","0.0","0.0","0.1","0.24"
"46","71","Nave San Rocco","02-01-2016 12:00","-0.2","100.0","0.0","57.0","0.3","0.38"
"46","71","Nave San Rocco","02-01-2016 13:00","2.0","99.0","0.0","40.0","0.3","0.53"
"46","71","Nave San Rocco","02-01-2016 14:00","2.2","92.9","0.0","0.0","0.2","0.36"
"46","71","Nave San Rocco","02-01-2016 15:00","2.2","91.0","0.0","0.0","0.1","0.18"
"46","71","Nave San Rocco","02-01-2016 16:00","2.0","91.2","0.0","0.0","0.2","0.1"
"46","71","Nave San Rocco","02-01-2016 17:00","1.6","94.1","0.0","0.0","0.0","0.02"
"46","71","Nave San Rocco","02-01-2016 18:00","1.1","99.0","0.0","0.0","0.0","0.0"
"46","71","Nave San Rocco","02-01-2016 19:00","0.7","100.0","0.0","0.0","0.0","0.0"
"46","71","Nave San Rocco","02-01-2016 20:00","0.6","100.0","0.0","0.0","0.0","0.0"
