"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"47","60","Nomi","01-01-2015 00:00","-3.5","89.2","0.0","0.0","0.1","0.0"
"47","60","Nomi","01-01-2015 01:00","-4.9","94.9","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2015 02:00","-5.5","96.8","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2015 03:00","-5.1","96.2","0.0","0.0","0.1","0.0"
"47","60","Nomi","01-01-2015 04:00","-5.8","95.8","0.0","0.0","0.2","0.0"
"47","60","Nomi","01-01-2015 05:00","-4.7","94.1","0.0","0.0","1.2","0.0"
"47","60","Nomi","01-01-2015 06:00","-4.1","92.2","0.0","0.0","1.3","0.0"
"47","60","Nomi","01-01-2015 07:00","-3.1","88.4","0.0","0.0","2.1","0.0"
"47","60","Nomi","01-01-2015 08:00","-3.5","88.6","0.0","0.0","0.9","0.0"
"47","60","Nomi","01-01-2015 09:00","-3.2","88.8","0.0","0.0","1.7","0.06"
"47","60","Nomi","01-01-2015 10:00","-2.5","85.5","0.0","0.0","2.0","0.35"
"47","60","Nomi","01-01-2015 11:00","-0.9","79.1","0.0","0.0","2.6","0.84"
"47","60","Nomi","01-01-2015 12:00","0.4","72.6","0.0","0.0","1.8","1.06"
"47","60","Nomi","01-01-2015 13:00","2.0","66.1","0.0","0.0","1.1","1.11"
"47","60","Nomi","01-01-2015 14:00","3.0","61.4","0.0","0.0","0.1","0.97"
"47","60","Nomi","01-01-2015 15:00","3.1","61.0","0.0","0.0","0.5","0.64"
"47","60","Nomi","01-01-2015 16:00","1.6","68.7","0.0","0.0","0.0","0.1"
"47","60","Nomi","01-01-2015 17:00","0.0","77.7","0.0","0.0","0.0","0.03"
"47","60","Nomi","01-01-2015 18:00","-0.7","79.8","0.0","0.0","0.6","0.0"
"47","60","Nomi","01-01-2015 19:00","-0.5","79.5","0.0","0.0","1.4","0.0"
"47","60","Nomi","01-01-2015 20:00","-0.3","78.9","0.0","0.0","1.0","0.0"
"47","60","Nomi","01-01-2015 21:00","-1.2","82.8","0.0","0.0","1.0","0.0"
"47","60","Nomi","01-01-2015 22:00","-1.4","83.5","0.0","0.0","1.8","0.0"
"47","60","Nomi","01-01-2015 23:00","-1.3","83.5","0.0","0.0","1.6","0.0"
"47","60","Nomi","02-01-2015 00:00","-1.0","82.5","0.0","0.0","2.2","0.0"
"47","60","Nomi","02-01-2015 01:00","-1.4","84.0","0.0","0.0","2.8","0.0"
"47","60","Nomi","02-01-2015 02:00","-1.4","83.7","0.0","0.0","2.5","0.0"
