"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"48","68","Ospedaletto","01-01-2016 00:00","-0.8","87.8","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 01:00","-0.9","89.7","0.0","0.0","0.1","0.0"
"48","68","Ospedaletto","01-01-2016 02:00","-0.8","89.7","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 03:00","-1.4","91.0","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 04:00","-1.0","89.0","0.0","0.0","0.7","0.0"
"48","68","Ospedaletto","01-01-2016 05:00","-1.4","90.7","0.0","0.0","0.3","0.0"
"48","68","Ospedaletto","01-01-2016 06:00","-1.7","91.4","0.0","0.0","0.5","0.0"
"48","68","Ospedaletto","01-01-2016 07:00","-1.5","90.4","0.0","0.0","0.9","0.0"
"48","68","Ospedaletto","01-01-2016 08:00","-1.9","91.0","0.0","0.0","1.6","0.0"
"48","68","Ospedaletto","01-01-2016 09:00","-1.3","88.1","0.0","0.0","1.5","0.05"
"48","68","Ospedaletto","01-01-2016 10:00","-0.6","85.4","0.0","0.0","1.4","0.31"
"48","68","Ospedaletto","01-01-2016 11:00","1.2","78.1","0.0","0.0","1.6","0.78"
"48","68","Ospedaletto","01-01-2016 12:00","3.3","67.7","0.0","0.0","1.6","1.03"
"48","68","Ospedaletto","01-01-2016 13:00","4.9","60.4","0.0","0.0","1.0","1.07"
"48","68","Ospedaletto","01-01-2016 14:00","6.0","55.3","0.0","0.0","0.3","0.91"
"48","68","Ospedaletto","01-01-2016 15:00","6.6","53.1","0.0","0.0","2.1","0.61"
"48","68","Ospedaletto","01-01-2016 16:00","6.3","55.4","0.0","0.0","3.5","0.09"
"48","68","Ospedaletto","01-01-2016 17:00","4.4","64.2","0.0","0.0","1.6","0.02"
"48","68","Ospedaletto","01-01-2016 18:00","3.1","73.8","0.0","0.0","1.7","0.0"
"48","68","Ospedaletto","01-01-2016 19:00","1.8","78.4","0.0","0.0","0.8","0.0"
"48","68","Ospedaletto","01-01-2016 20:00","-1.0","89.2","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 21:00","-2.6","95.4","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 22:00","-4.0","98.2","0.0","0.0","0.0","0.0"
"48","68","Ospedaletto","01-01-2016 23:00","-4.3","99.4","0.0","0.0","0.0","0.0"
