"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"49","8","Paneveggio","01-01-2015 00:00","-3.8","79.9","0.0","0.0","0.8","0.0"
"49","8","Paneveggio","01-01-2015 01:00","-3.8","79.4","0.0","0.0","1.4","0.0"
"49","8","Paneveggio","01-01-2015 02:00","-3.6","78.8","0.0","0.0","1.3","0.0"
"49","8","Paneveggio","01-01-2015 03:00","-3.7","79.6","0.0","0.0","1.3","0.0"
"49","8","Paneveggio","01-01-2015 04:00","-3.8","80.6","0.0","0.0","1.3","0.0"
"49","8","Paneveggio","01-01-2015 05:00","-4.1","82.2","0.0","0.0","1.0","0.0"
"49","8","Paneveggio","01-01-2015 06:00","-4.6","82.9","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","01-01-2015 07:00","-6.1","87.8","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","01-01-2015 08:00","-6.9","89.7","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","01-01-2015 09:00","-6.1","89.8","0.0","0.0","0.6","0.06"
"49","8","Paneveggio","01-01-2015 10:00","-3.2","80.7","0.0","0.0","1.3","0.37"
"49","8","Paneveggio","01-01-2015 11:00","-0.9","69.6","0.0","0.0","0.1","0.74"
"49","8","Paneveggio","01-01-2015 12:00","-3.6","82.4","0.0","0.0","0.1","0.15"
"49","8","Paneveggio","01-01-2015 13:00","-3.8","84.3","0.0","0.0","0.0","0.12"
"49","8","Paneveggio","01-01-2015 14:00","-3.8","84.8","0.0","0.0","0.2","0.1"
"49","8","Paneveggio","01-01-2015 15:00","-3.9","84.8","0.0","0.0","0.0","0.08"
"49","8","Paneveggio","01-01-2015 16:00","-3.8","84.9","0.0","0.0","0.1","0.05"
"49","8","Paneveggio","01-01-2015 17:00","-4.4","87.1","0.0","0.0","0.0","0.02"
"49","8","Paneveggio","01-01-2015 18:00","-4.6","88.2","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","01-01-2015 19:00","-4.3","87.5","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","01-01-2015 20:00","-4.3","87.6","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","01-01-2015 21:00","-4.4","88.6","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","01-01-2015 22:00","-4.5","88.7","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","01-01-2015 23:00","-3.2","86.7","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","02-01-2015 00:00","-1.9","81.7","0.0","0.0","1.1","0.0"
"49","8","Paneveggio","02-01-2015 01:00","-1.4","79.5","0.0","0.0","0.7","0.0"
"49","8","Paneveggio","02-01-2015 02:00","-2.3","82.8","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","02-01-2015 03:00","-2.5","84.0","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","02-01-2015 04:00","-2.2","82.9","0.0","0.0","0.6","0.0"
"49","8","Paneveggio","02-01-2015 05:00","-2.5","84.5","0.0","0.0","0.7","0.0"
"49","8","Paneveggio","02-01-2015 06:00","-2.2","83.7","0.0","0.0","0.7","0.0"
"49","8","Paneveggio","02-01-2015 07:00","-2.1","83.7","0.0","0.0","0.8","0.0"
"49","8","Paneveggio","02-01-2015 08:00","-2.5","84.7","0.0","0.0","0.5","0.0"
"49","8","Paneveggio","02-01-2015 09:00","-2.5","84.7","0.0","0.0","0.5","0.06"
"49","8","Paneveggio","02-01-2015 10:00","-1.1","79.5","0.0","0.0","0.1","0.43"
"49","8","Paneveggio","02-01-2015 11:00","1.6","68.3","0.0","0.0","0.2","0.8"
"49","8","Paneveggio","02-01-2015 12:00","0.0","76.5","0.0","0.0","0.1","0.4"
"49","8","Paneveggio","02-01-2015 13:00","0.7","75.8","0.0","0.0","0.0","0.38"
"49","8","Paneveggio","02-01-2015 14:00","1.3","75.8","0.0","0.0","0.0","0.42"
"49","8","Paneveggio","02-01-2015 15:00","2.2","73.8","0.0","0.0","0.1","0.42"
"49","8","Paneveggio","02-01-2015 16:00","2.1","75.2","0.0","0.0","0.0","0.18"
"49","8","Paneveggio","02-01-2015 17:00","1.4","79.8","0.0","0.0","0.0","0.02"
"49","8","Paneveggio","02-01-2015 18:00","1.1","82.1","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","02-01-2015 19:00","0.8","84.3","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","02-01-2015 20:00","0.7","86.0","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","02-01-2015 21:00","0.5","85.8","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","02-01-2015 22:00","0.2","87.2","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","02-01-2015 23:00","-0.2","87.9","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","03-01-2015 00:00","0.0","86.9","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","03-01-2015 01:00","0.5","84.5","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","03-01-2015 02:00","-0.4","86.2","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","03-01-2015 03:00","-1.5","89.8","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","03-01-2015 04:00","-2.2","91.9","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","03-01-2015 05:00","-2.0","92.5","0.0","0.0","0.4","0.0"
"49","8","Paneveggio","03-01-2015 06:00","-1.8","90.6","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","03-01-2015 07:00","-2.6","91.7","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","03-01-2015 08:00","-3.1","92.7","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","03-01-2015 09:00","-3.2","92.9","0.0","0.0","0.0","0.1"
"49","8","Paneveggio","03-01-2015 10:00","-2.1","91.2","0.0","1.0","0.1","0.35"
"49","8","Paneveggio","03-01-2015 11:00","1.0","80.6","0.0","38.0","0.1","0.63"
"49","8","Paneveggio","03-01-2015 12:00","-0.3","85.6","0.0","0.0","0.1","0.18"
"49","8","Paneveggio","03-01-2015 13:00","-0.2","87.3","0.0","0.0","0.1","0.21"
"49","8","Paneveggio","03-01-2015 14:00","0.6","85.1","0.0","0.0","0.2","0.28"
"49","8","Paneveggio","03-01-2015 15:00","0.4","85.2","0.0","0.0","0.1","0.15"
"49","8","Paneveggio","03-01-2015 16:00","-0.3","88.0","0.0","0.0","0.1","0.08"
"49","8","Paneveggio","03-01-2015 17:00","-0.7","89.9","0.0","0.0","0.2","0.02"
"49","8","Paneveggio","03-01-2015 18:00","-1.5","91.2","0.0","0.0","0.0","0.0"
"49","8","Paneveggio","03-01-2015 19:00","-1.8","92.4","0.0","0.0","0.1","0.0"
"49","8","Paneveggio","03-01-2015 20:00","-1.5","92.4","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","03-01-2015 21:00","-1.0","90.8","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","03-01-2015 22:00","-1.2","90.2","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","03-01-2015 23:00","-1.7","90.6","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","04-01-2015 00:00","-2.6","92.2","0.0","0.0","0.2","0.0"
"49","8","Paneveggio","04-01-2015 01:00","-2.5","93.1","0.0","0.0","0.3","0.0"
"49","8","Paneveggio","04-01-2015 02:00","-1.3","91.0","0.0","0.0","1.0","0.0"
"49","8","Paneveggio","04-01-2015 03:00","0.8","84.1","0.0","7.0","2.4","0.0"
"49","8","Paneveggio","04-01-2015 04:00","2.1","80.0","0.0","31.0","2.0","0.0"
"49","8","Paneveggio","04-01-2015 05:00","2.0","80.2","0.0","0.0","1.4","0.0"
"49","8","Paneveggio","04-01-2015 06:00","2.3","83.3","0.2","51.0","1.1","0.0"
"49","8","Paneveggio","04-01-2015 07:00","0.8","90.3","0.0","60.0","0.3","0.0"
"49","8","Paneveggio","04-01-2015 08:00","0.1","90.6","0.0","37.0","0.4","0.0"
"49","8","Paneveggio","04-01-2015 09:00","-0.5","90.5","0.0","0.0","0.2","0.04"
"49","8","Paneveggio","04-01-2015 10:00","1.0","86.3","0.0","29.0","0.4","0.4"
"49","8","Paneveggio","04-01-2015 11:00","3.6","73.6","0.0","60.0","0.4","0.94"
"49","8","Paneveggio","04-01-2015 12:00","1.1","83.6","0.0","60.0","0.5","0.12"
"49","8","Paneveggio","04-01-2015 13:00","10.4","26.2","0.0","23.0","3.0","0.12"
"49","8","Paneveggio","04-01-2015 14:00","11.2","21.8","0.0","0.0","3.3","0.1"
"49","8","Paneveggio","04-01-2015 15:00","11.2","20.1","0.0","0.0","2.9","0.12"
"49","8","Paneveggio","04-01-2015 16:00","11.0","19.7","0.0","0.0","2.6","0.12"
"49","8","Paneveggio","04-01-2015 17:00","9.9","21.6","0.0","0.0","2.3","0.02"
"49","8","Paneveggio","04-01-2015 18:00","9.0","24.0","0.0","0.0","1.8","0.0"
"49","8","Paneveggio","04-01-2015 19:00","7.9","27.0","0.0","0.0","1.9","0.0"
"49","8","Paneveggio","04-01-2015 20:00","7.0","28.5","0.0","0.0","1.7","0.0"
"49","8","Paneveggio","04-01-2015 21:00","5.8","30.5","0.0","0.0","2.0","0.0"
"49","8","Paneveggio","04-01-2015 22:00","5.7","29.2","0.0","0.0","2.2","0.0"
"49","8","Paneveggio","04-01-2015 23:00","5.3","30.6","0.0","0.0","2.2","0.0"
"49","8","Paneveggio","05-01-2015 00:00","4.4","33.6","0.0","0.0","1.8","0.0"
"49","8","Paneveggio","05-01-2015 01:00","3.0","39.4","0.0","0.0","0.9","0.0"
"49","8","Paneveggio","05-01-2015 02:00","1.2","47.0","0.0","0.0","0.5","0.0"
