"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"50","12","Passo Vezzena","01-01-2016 00:00","-2.9","67.9","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","01-01-2016 01:00","-2.7","63.5","0.0","--","0.1","0.0"
"50","12","Passo Vezzena","01-01-2016 02:00","-2.0","57.8","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","01-01-2016 03:00","-2.8","57.4","0.0","--","0.3","0.0"
"50","12","Passo Vezzena","01-01-2016 04:00","-2.8","57.2","0.0","--","0.6","0.0"
"50","12","Passo Vezzena","01-01-2016 05:00","-2.3","49.2","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","01-01-2016 06:00","-2.7","43.8","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","01-01-2016 07:00","-2.8","41.8","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","01-01-2016 08:00","-2.6","38.1","0.0","--","1.0","0.0"
"50","12","Passo Vezzena","01-01-2016 09:00","-2.6","39.0","0.0","--","1.0","0.05"
"50","12","Passo Vezzena","01-01-2016 10:00","-1.7","40.9","0.0","--","0.8","0.08"
"50","12","Passo Vezzena","01-01-2016 11:00","2.6","34.7","0.0","--","0.2","0.82"
"50","12","Passo Vezzena","01-01-2016 12:00","5.9","29.4","0.0","--","0.2","1.14"
"50","12","Passo Vezzena","01-01-2016 13:00","7.1","22.5","0.0","--","0.8","1.23"
"50","12","Passo Vezzena","01-01-2016 14:00","7.3","30.2","0.0","--","0.5","1.12"
"50","12","Passo Vezzena","01-01-2016 15:00","7.5","27.8","0.0","--","0.0","0.83"
"50","12","Passo Vezzena","01-01-2016 16:00","3.1","37.6","0.0","--","0.1","0.34"
"50","12","Passo Vezzena","01-01-2016 17:00","-0.6","42.4","0.0","--","0.1","0.02"
"50","12","Passo Vezzena","01-01-2016 18:00","-1.8","44.3","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","01-01-2016 19:00","-3.1","48.1","0.0","--","0.4","0.0"
"50","12","Passo Vezzena","01-01-2016 20:00","-3.3","47.0","0.0","--","0.6","0.0"
"50","12","Passo Vezzena","01-01-2016 21:00","-3.4","45.9","0.0","--","0.9","0.0"
"50","12","Passo Vezzena","01-01-2016 22:00","-4.1","50.5","0.0","--","0.7","0.0"
"50","12","Passo Vezzena","01-01-2016 23:00","-4.5","49.9","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","02-01-2016 00:00","-5.0","48.7","0.0","--","0.7","0.0"
"50","12","Passo Vezzena","02-01-2016 01:00","-5.4","48.3","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","02-01-2016 02:00","-5.5","50.5","0.0","--","0.7","0.0"
"50","12","Passo Vezzena","02-01-2016 03:00","-4.8","47.3","0.0","--","0.6","0.0"
"50","12","Passo Vezzena","02-01-2016 04:00","-4.6","46.4","0.0","--","0.6","0.0"
"50","12","Passo Vezzena","02-01-2016 05:00","-5.1","44.5","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","02-01-2016 06:00","-5.2","42.2","0.0","--","0.8","0.0"
"50","12","Passo Vezzena","02-01-2016 07:00","-5.6","43.7","0.0","--","0.6","0.0"
"50","12","Passo Vezzena","02-01-2016 08:00","-5.2","40.5","0.0","--","0.7","0.0"
"50","12","Passo Vezzena","02-01-2016 09:00","-4.1","39.8","0.0","--","0.5","0.05"
"50","12","Passo Vezzena","02-01-2016 10:00","-2.5","39.2","0.0","--","0.1","0.13"
"50","12","Passo Vezzena","02-01-2016 11:00","-1.3","38.6","0.0","--","0.1","0.3"
"50","12","Passo Vezzena","02-01-2016 12:00","-0.8","41.1","0.0","--","0.2","0.3"
"50","12","Passo Vezzena","02-01-2016 13:00","-1.3","52.2","0.0","--","0.3","0.38"
"50","12","Passo Vezzena","02-01-2016 14:00","-2.8","70.8","0.0","--","0.3","0.22"
"50","12","Passo Vezzena","02-01-2016 15:00","-2.8","76.0","0.0","--","0.1","0.12"
"50","12","Passo Vezzena","02-01-2016 16:00","-2.8","85.4","0.8","--","0.0","0.08"
"50","12","Passo Vezzena","02-01-2016 17:00","-2.3","87.4","0.8","--","0.0","0.02"
"50","12","Passo Vezzena","02-01-2016 18:00","-1.9","89.0","0.8","--","0.0","0.0"
"50","12","Passo Vezzena","02-01-2016 19:00","-1.6","89.9","0.4","--","0.0","0.0"
"50","12","Passo Vezzena","02-01-2016 20:00","-1.5","90.2","0.4","--","0.0","0.0"
"50","12","Passo Vezzena","02-01-2016 21:00","-1.3","90.6","0.6","--","0.0","0.0"
"50","12","Passo Vezzena","02-01-2016 22:00","-1.2","91.0","0.2","--","0.0","0.0"
"50","12","Passo Vezzena","02-01-2016 23:00","-1.4","91.1","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 00:00","-1.7","91.2","0.2","--","0.1","0.0"
"50","12","Passo Vezzena","03-01-2016 01:00","-2.2","91.3","0.2","--","0.4","0.0"
"50","12","Passo Vezzena","03-01-2016 02:00","-2.1","91.6","0.4","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 03:00","-1.8","91.5","0.8","--","0.1","0.0"
"50","12","Passo Vezzena","03-01-2016 04:00","-1.6","91.8","1.2","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 05:00","-1.2","92.3","0.8","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 06:00","-1.2","92.3","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 07:00","-1.4","92.1","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 08:00","-1.6","91.8","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 09:00","-1.7","91.1","0.0","--","0.0","0.03"
"50","12","Passo Vezzena","03-01-2016 10:00","-1.3","89.8","0.0","--","0.0","0.08"
"50","12","Passo Vezzena","03-01-2016 11:00","0.4","83.4","0.0","--","0.0","0.51"
"50","12","Passo Vezzena","03-01-2016 12:00","1.7","72.5","0.0","--","0.1","1.02"
"50","12","Passo Vezzena","03-01-2016 13:00","0.9","75.2","0.0","--","0.6","1.09"
"50","12","Passo Vezzena","03-01-2016 14:00","-0.4","81.1","0.0","--","1.1","0.46"
"50","12","Passo Vezzena","03-01-2016 15:00","-1.0","83.7","0.0","--","0.9","0.34"
"50","12","Passo Vezzena","03-01-2016 16:00","-1.2","83.0","0.0","--","0.4","0.28"
"50","12","Passo Vezzena","03-01-2016 17:00","-2.5","86.4","0.0","--","0.1","0.03"
"50","12","Passo Vezzena","03-01-2016 18:00","-3.8","88.8","0.0","--","0.0","0.0"
"50","12","Passo Vezzena","03-01-2016 19:00","-3.4","90.1","0.0","--","0.2","0.0"
"50","12","Passo Vezzena","03-01-2016 20:00","-2.8","90.0","0.0","--","0.4","0.0"
"50","12","Passo Vezzena","03-01-2016 21:00","-3.2","89.5","0.0","--","0.4","0.0"
"50","12","Passo Vezzena","03-01-2016 22:00","-2.6","89.2","0.0","--","0.3","0.0"
"50","12","Passo Vezzena","03-01-2016 23:00","-2.3","88.0","0.0","--","0.1","0.0"
