"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"53","67","Pergine","01-01-2017 00:00","-4.8","86.6","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 01:00","-5.1","87.3","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 02:00","-5.5","88.2","0.0","0.0","0.1","0.0"
"53","67","Pergine","01-01-2017 03:00","-5.9","88.5","0.0","0.0","0.1","0.0"
"53","67","Pergine","01-01-2017 04:00","-6.1","89.9","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 05:00","-6.3","90.4","0.0","0.0","0.1","0.0"
"53","67","Pergine","01-01-2017 06:00","-6.8","90.3","0.0","0.0","0.1","0.0"
"53","67","Pergine","01-01-2017 07:00","-6.6","90.7","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 08:00","-6.9","91.6","0.0","0.0","0.1","0.0"
"53","67","Pergine","01-01-2017 09:00","-6.9","90.9","0.0","0.0","0.1","0.05"
"53","67","Pergine","01-01-2017 10:00","-3.5","83.1","0.0","0.0","0.0","0.27"
"53","67","Pergine","01-01-2017 11:00","2.4","55.3","0.0","15.0","0.2","0.79"
"53","67","Pergine","01-01-2017 12:00","4.8","49.1","0.0","9.0","0.4","1.06"
"53","67","Pergine","01-01-2017 13:00","7.1","39.3","0.0","0.0","0.5","1.13"
"53","67","Pergine","01-01-2017 14:00","7.5","39.1","0.0","0.0","0.8","1.02"
"53","67","Pergine","01-01-2017 15:00","7.8","35.7","0.0","0.0","0.6","0.73"
"53","67","Pergine","01-01-2017 16:00","5.8","40.1","0.0","0.0","0.2","0.19"
"53","67","Pergine","01-01-2017 17:00","1.0","58.4","0.0","0.0","0.0","0.02"
"53","67","Pergine","01-01-2017 18:00","-1.4","71.5","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 19:00","-2.0","74.4","0.0","0.0","0.0","0.0"
"53","67","Pergine","01-01-2017 20:00","-3.4","79.8","0.0","0.0","0.0","0.0"
