"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"55","11","Pinzolo Pra Rodont","01-01-2015 00:00","-4.6","76.0","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 01:00","-4.5","72.1","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 02:00","-4.2","71.1","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 03:00","-3.6","68.7","0.0","--","0.7","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 04:00","-3.7","70.6","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 05:00","-3.4","67.4","0.0","--","0.7","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 06:00","-3.4","66.6","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 07:00","-3.6","68.4","0.0","--","0.6","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 08:00","-3.2","65.9","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 09:00","-2.9","67.2","0.0","--","0.6","0.02"
"55","11","Pinzolo Pra Rodont","01-01-2015 10:00","-1.8","64.7","0.0","--","0.7","0.13"
"55","11","Pinzolo Pra Rodont","01-01-2015 11:00","3.5","47.1","0.0","--","0.8","0.84"
"55","11","Pinzolo Pra Rodont","01-01-2015 12:00","6.4","39.5","0.0","--","0.8","1.11"
"55","11","Pinzolo Pra Rodont","01-01-2015 13:00","6.0","40.8","0.0","--","0.9","1.2"
"55","11","Pinzolo Pra Rodont","01-01-2015 14:00","4.4","45.8","0.0","--","0.7","0.74"
"55","11","Pinzolo Pra Rodont","01-01-2015 15:00","3.5","49.7","0.0","--","0.6","0.19"
"55","11","Pinzolo Pra Rodont","01-01-2015 16:00","1.7","55.4","0.0","--","0.5","0.06"
"55","11","Pinzolo Pra Rodont","01-01-2015 17:00","1.6","57.0","0.0","--","0.8","0.01"
"55","11","Pinzolo Pra Rodont","01-01-2015 18:00","2.6","52.9","0.0","--","1.2","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 19:00","2.9","50.9","0.0","--","0.6","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 20:00","1.8","54.7","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 21:00","1.9","54.9","0.0","--","1.0","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 22:00","2.7","52.0","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","01-01-2015 23:00","2.8","51.4","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 00:00","3.0","50.4","0.0","--","1.1","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 01:00","3.1","50.1","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 02:00","2.9","50.8","0.0","--","0.7","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 03:00","2.9","51.2","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 04:00","2.6","51.5","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 05:00","2.9","51.3","0.0","--","0.7","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 06:00","2.9","51.1","0.0","--","0.5","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 07:00","3.2","49.8","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 08:00","3.2","48.8","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 09:00","3.7","47.1","0.0","--","0.6","0.05"
"55","11","Pinzolo Pra Rodont","02-01-2015 10:00","4.7","44.5","0.0","--","0.6","0.15"
"55","11","Pinzolo Pra Rodont","02-01-2015 11:00","9.3","34.7","0.0","--","0.5","0.73"
"55","11","Pinzolo Pra Rodont","02-01-2015 12:00","9.6","34.4","0.0","--","0.5","0.68"
"55","11","Pinzolo Pra Rodont","02-01-2015 13:00","11.1","30.9","0.0","--","0.7","1.08"
"55","11","Pinzolo Pra Rodont","02-01-2015 14:00","10.6","33.6","0.0","--","0.6","0.74"
"55","11","Pinzolo Pra Rodont","02-01-2015 15:00","8.3","39.8","0.0","--","0.5","0.34"
"55","11","Pinzolo Pra Rodont","02-01-2015 16:00","8.0","40.3","0.0","--","0.9","0.16"
"55","11","Pinzolo Pra Rodont","02-01-2015 17:00","7.8","36.6","0.0","--","0.7","0.01"
"55","11","Pinzolo Pra Rodont","02-01-2015 18:00","7.5","36.9","0.0","--","0.6","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 19:00","7.7","36.1","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 20:00","7.9","34.8","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 21:00","7.9","34.7","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 22:00","7.8","37.4","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","02-01-2015 23:00","7.3","40.2","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 00:00","6.0","45.4","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 01:00","5.9","46.6","0.0","--","1.0","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 02:00","6.0","42.2","0.0","--","1.1","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 03:00","6.0","36.1","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 04:00","5.5","40.9","0.0","--","1.4","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 05:00","5.2","47.7","0.0","--","1.1","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 06:00","5.3","43.3","0.0","--","1.1","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 07:00","5.1","41.3","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 08:00","5.2","41.6","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 09:00","4.9","40.8","0.0","--","0.8","0.06"
"55","11","Pinzolo Pra Rodont","03-01-2015 10:00","5.5","41.6","0.0","--","0.8","0.25"
"55","11","Pinzolo Pra Rodont","03-01-2015 11:00","8.8","32.2","0.0","--","0.8","0.72"
"55","11","Pinzolo Pra Rodont","03-01-2015 12:00","11.3","26.2","0.0","--","1.2","1.11"
"55","11","Pinzolo Pra Rodont","03-01-2015 13:00","11.8","26.8","0.0","--","1.0","1.13"
"55","11","Pinzolo Pra Rodont","03-01-2015 14:00","9.3","33.8","0.0","--","1.0","0.7"
"55","11","Pinzolo Pra Rodont","03-01-2015 15:00","7.1","40.4","0.0","--","1.2","0.23"
"55","11","Pinzolo Pra Rodont","03-01-2015 16:00","5.2","47.0","0.0","--","0.7","0.1"
"55","11","Pinzolo Pra Rodont","03-01-2015 17:00","3.6","52.7","0.0","--","0.8","0.02"
"55","11","Pinzolo Pra Rodont","03-01-2015 18:00","1.9","59.8","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 19:00","1.0","63.9","0.0","--","0.8","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 20:00","1.1","64.0","0.0","--","1.1","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 21:00","0.7","67.5","0.0","--","1.2","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 22:00","1.2","65.4","0.0","--","1.7","0.0"
"55","11","Pinzolo Pra Rodont","03-01-2015 23:00","2.5","60.9","0.0","--","1.8","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 00:00","5.0","47.6","0.0","--","1.9","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 01:00","7.0","37.3","0.0","--","1.5","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 02:00","7.5","40.1","0.0","--","1.2","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 03:00","6.6","48.9","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 04:00","5.9","54.4","0.0","--","1.5","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 05:00","4.3","65.6","0.0","--","0.9","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 06:00","3.6","67.5","0.0","--","0.7","0.0"
"55","11","Pinzolo Pra Rodont","04-01-2015 07:00","4.1","57.6","0.0","--","1.8","0.0"
