"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"57","87","Predazzo","01-01-2016 00:00","-1.0","72.0","0.0","--","0.8","0.0"
"57","87","Predazzo","01-01-2016 01:00","-1.5","76.2","0.0","--","0.1","0.0"
"57","87","Predazzo","01-01-2016 02:00","-1.4","74.5","0.0","--","0.6","0.0"
"57","87","Predazzo","01-01-2016 03:00","-2.0","76.8","0.0","--","0.2","0.0"
"57","87","Predazzo","01-01-2016 04:00","-2.2","76.5","0.0","--","0.4","0.0"
"57","87","Predazzo","01-01-2016 05:00","-2.6","78.1","0.0","--","0.2","0.0"
"57","87","Predazzo","01-01-2016 06:00","-2.1","76.2","0.0","--","0.4","0.0"
"57","87","Predazzo","01-01-2016 07:00","-2.1","74.9","0.0","--","0.2","0.0"
"57","87","Predazzo","01-01-2016 08:00","-3.0","78.2","0.0","--","0.2","0.0"
"57","87","Predazzo","01-01-2016 09:00","-2.6","76.5","0.0","--","0.4","0.06"
"57","87","Predazzo","01-01-2016 10:00","-2.8","77.5","0.0","--","0.2","0.1"
"57","87","Predazzo","01-01-2016 11:00","-1.7","73.8","0.0","--","0.4","0.31"
"57","87","Predazzo","01-01-2016 12:00","2.9","53.9","0.0","--","0.5","1.25"
"57","87","Predazzo","01-01-2016 13:00","4.3","47.1","0.0","--","0.8","1.36"
"57","87","Predazzo","01-01-2016 14:00","5.5","42.1","0.0","--","0.9","1.25"
"57","87","Predazzo","01-01-2016 15:00","6.2","41.9","0.0","--","0.6","0.94"
"57","87","Predazzo","01-01-2016 16:00","3.8","50.6","0.0","--","0.7","0.24"
"57","87","Predazzo","01-01-2016 17:00","1.5","58.0","0.0","--","0.5","0.02"
"57","87","Predazzo","01-01-2016 18:00","0.1","61.3","0.0","--","0.5","0.0"
"57","87","Predazzo","01-01-2016 19:00","-0.7","63.1","0.0","--","0.4","0.0"
"57","87","Predazzo","01-01-2016 20:00","-1.2","65.9","0.0","--","0.3","0.0"
"57","87","Predazzo","01-01-2016 21:00","-1.8","68.3","0.0","--","0.5","0.0"
"57","87","Predazzo","01-01-2016 22:00","-2.0","69.8","0.0","--","0.4","0.0"
"57","87","Predazzo","01-01-2016 23:00","-2.8","73.8","0.0","--","0.1","0.0"
"57","87","Predazzo","02-01-2016 00:00","-2.9","74.6","0.0","--","0.0","0.0"
"57","87","Predazzo","02-01-2016 01:00","-3.2","75.7","0.0","--","0.1","0.0"
"57","87","Predazzo","02-01-2016 02:00","-3.1","76.1","0.0","--","0.2","0.0"
"57","87","Predazzo","02-01-2016 03:00","-3.3","76.8","0.0","--","0.2","0.0"
"57","87","Predazzo","02-01-2016 04:00","-3.5","78.2","0.0","--","0.1","0.0"
"57","87","Predazzo","02-01-2016 05:00","-3.8","79.7","0.0","--","0.1","0.0"
"57","87","Predazzo","02-01-2016 06:00","-3.8","79.2","0.0","--","0.5","0.0"
"57","87","Predazzo","02-01-2016 07:00","-3.5","78.4","0.0","--","0.4","0.0"
"57","87","Predazzo","02-01-2016 08:00","-3.6","78.8","0.0","--","0.3","0.0"
