"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"58","96","Pressano","01-01-2015 00:00","-5.9","89.2","0.0","--","0.4","0.0"
"58","96","Pressano","01-01-2015 01:00","-5.8","87.6","0.0","--","0.4","0.0"
"58","96","Pressano","01-01-2015 02:00","-6.3","90.5","0.0","--","0.2","0.0"
"58","96","Pressano","01-01-2015 03:00","-6.5","91.9","0.0","--","0.0","0.0"
"58","96","Pressano","01-01-2015 04:00","-6.6","91.4","0.0","--","0.1","0.0"
"58","96","Pressano","01-01-2015 05:00","-5.8","87.9","0.0","--","0.5","0.0"
"58","96","Pressano","01-01-2015 06:00","-5.0","83.5","0.0","--","0.7","0.0"
"58","96","Pressano","01-01-2015 07:00","-4.6","82.0","0.0","--","0.4","0.0"
"58","96","Pressano","01-01-2015 08:00","-3.9","78.6","0.0","--","1.6","0.0"
"58","96","Pressano","01-01-2015 09:00","-4.0","79.8","0.0","--","0.8","0.05"
"58","96","Pressano","01-01-2015 10:00","-4.8","84.9","0.0","--","0.4","0.11"
"58","96","Pressano","01-01-2015 11:00","-3.0","80.7","0.0","--","0.6","0.38"
"58","96","Pressano","01-01-2015 12:00","0.2","70.0","0.0","--","0.6","1.51"
"58","96","Pressano","01-01-2015 13:00","1.7","64.4","0.0","--","0.4","1.46"
"58","96","Pressano","01-01-2015 14:00","3.3","60.6","0.0","--","0.1","1.19"
"58","96","Pressano","01-01-2015 15:00","3.1","58.7","0.0","--","0.8","0.87"
"58","96","Pressano","01-01-2015 16:00","1.9","63.3","0.0","--","0.1","0.24"
"58","96","Pressano","01-01-2015 17:00","-0.2","72.4","0.0","--","0.4","0.02"
"58","96","Pressano","01-01-2015 18:00","-1.0","77.3","0.0","--","0.3","0.0"
"58","96","Pressano","01-01-2015 19:00","-1.5","79.5","0.0","--","0.5","0.0"
"58","96","Pressano","01-01-2015 20:00","-1.8","81.4","0.0","--","0.4","0.0"
"58","96","Pressano","01-01-2015 21:00","-2.3","84.3","0.0","--","0.2","0.0"
"58","96","Pressano","01-01-2015 22:00","-2.5","85.7","0.0","--","0.3","0.0"
"58","96","Pressano","01-01-2015 23:00","-1.6","82.9","0.0","--","0.9","0.0"
"58","96","Pressano","02-01-2015 00:00","-1.4","81.7","0.0","--","0.5","0.0"
"58","96","Pressano","02-01-2015 01:00","-1.8","85.2","0.0","--","0.4","0.0"
"58","96","Pressano","02-01-2015 02:00","-1.5","84.5","0.0","--","0.3","0.0"
"58","96","Pressano","02-01-2015 03:00","-1.2","83.9","0.0","--","0.3","0.0"
"58","96","Pressano","02-01-2015 04:00","-1.0","83.6","0.0","--","0.5","0.0"
"58","96","Pressano","02-01-2015 05:00","-0.7","82.8","0.0","--","0.6","0.0"
"58","96","Pressano","02-01-2015 06:00","-1.4","86.4","0.0","--","0.2","0.0"
"58","96","Pressano","02-01-2015 07:00","-1.0","84.2","0.0","--","0.5","0.0"
"58","96","Pressano","02-01-2015 08:00","-0.6","82.9","0.0","--","0.9","0.0"
"58","96","Pressano","02-01-2015 09:00","0.1","78.8","0.0","--","1.0","0.07"
"58","96","Pressano","02-01-2015 10:00","0.5","77.7","0.0","--","1.1","0.17"
"58","96","Pressano","02-01-2015 11:00","0.9","78.3","0.0","--","0.3","0.36"
"58","96","Pressano","02-01-2015 12:00","2.9","71.7","0.0","--","0.6","0.86"
"58","96","Pressano","02-01-2015 13:00","3.6","69.3","0.0","--","0.4","0.49"
"58","96","Pressano","02-01-2015 14:00","4.1","69.4","0.0","--","0.5","0.51"
"58","96","Pressano","02-01-2015 15:00","5.3","65.7","0.0","--","0.5","0.43"
"58","96","Pressano","02-01-2015 16:00","4.6","67.3","0.0","--","0.4","0.22"
"58","96","Pressano","02-01-2015 17:00","3.9","69.4","0.0","--","0.3","0.03"
"58","96","Pressano","02-01-2015 18:00","3.4","69.1","0.0","--","0.7","0.0"
"58","96","Pressano","02-01-2015 19:00","3.7","64.8","0.0","--","0.6","0.0"
"58","96","Pressano","02-01-2015 20:00","4.0","62.1","0.0","--","1.0","0.0"
"58","96","Pressano","02-01-2015 21:00","4.0","61.6","0.0","--","1.0","0.0"
"58","96","Pressano","02-01-2015 22:00","3.5","65.0","0.0","--","0.8","0.0"
"58","96","Pressano","02-01-2015 23:00","2.2","70.9","0.0","--","0.7","0.0"
"58","96","Pressano","03-01-2015 00:00","2.0","72.8","0.0","--","0.6","0.0"
"58","96","Pressano","03-01-2015 01:00","2.0","72.1","0.0","--","0.5","0.0"
"58","96","Pressano","03-01-2015 02:00","2.2","70.7","0.0","--","0.9","0.0"
"58","96","Pressano","03-01-2015 03:00","2.2","69.3","0.0","--","1.0","0.0"
"58","96","Pressano","03-01-2015 04:00","1.5","72.4","0.0","--","0.7","0.0"
"58","96","Pressano","03-01-2015 05:00","1.2","72.6","0.0","--","0.8","0.0"
"58","96","Pressano","03-01-2015 06:00","1.3","69.0","0.0","--","1.3","0.0"
"58","96","Pressano","03-01-2015 07:00","1.5","65.9","0.0","--","1.3","0.0"
"58","96","Pressano","03-01-2015 08:00","1.3","64.9","0.0","--","1.5","0.0"
"58","96","Pressano","03-01-2015 09:00","1.4","63.2","0.0","--","1.7","0.1"
"58","96","Pressano","03-01-2015 10:00","2.6","57.9","0.0","--","2.2","0.26"
"58","96","Pressano","03-01-2015 11:00","4.1","53.9","0.0","--","1.5","0.44"
"58","96","Pressano","03-01-2015 12:00","5.7","50.7","0.0","--","1.3","1.19"
"58","96","Pressano","03-01-2015 13:00","6.7","46.0","0.0","--","0.6","1.25"
"58","96","Pressano","03-01-2015 14:00","7.5","42.1","0.0","--","0.7","1.0"
"58","96","Pressano","03-01-2015 15:00","8.2","40.7","0.0","--","0.7","0.9"
"58","96","Pressano","03-01-2015 16:00","6.5","46.0","0.0","--","1.2","0.38"
"58","96","Pressano","03-01-2015 17:00","4.6","52.2","0.0","--","0.8","0.04"
"58","96","Pressano","03-01-2015 18:00","2.8","58.0","0.0","--","0.6","0.0"
"58","96","Pressano","03-01-2015 19:00","1.8","61.0","0.0","--","0.7","0.0"
"58","96","Pressano","03-01-2015 20:00","0.4","69.0","0.0","--","0.4","0.0"
"58","96","Pressano","03-01-2015 21:00","0.1","71.5","0.0","--","0.8","0.0"
"58","96","Pressano","03-01-2015 22:00","-0.4","74.9","0.0","--","0.8","0.0"
"58","96","Pressano","03-01-2015 23:00","-1.1","79.1","0.0","--","0.5","0.0"
"58","96","Pressano","04-01-2015 00:00","-1.3","80.7","0.0","--","0.4","0.0"
"58","96","Pressano","04-01-2015 01:00","-1.3","82.1","0.0","--","0.8","0.0"
"58","96","Pressano","04-01-2015 02:00","-0.9","80.9","0.0","--","0.7","0.0"
"58","96","Pressano","04-01-2015 03:00","-0.1","83.0","0.2","--","0.8","0.0"
"58","96","Pressano","04-01-2015 04:00","0.9","92.4","0.2","--","0.5","0.0"
"58","96","Pressano","04-01-2015 05:00","1.8","96.0","0.2","--","0.4","0.0"
"58","96","Pressano","04-01-2015 06:00","2.0","96.9","0.0","--","0.7","0.0"
"58","96","Pressano","04-01-2015 07:00","1.8","97.5","0.0","--","0.6","0.0"
"58","96","Pressano","04-01-2015 08:00","1.7","97.8","0.0","--","1.1","0.0"
"58","96","Pressano","04-01-2015 09:00","0.9","97.0","0.0","--","0.6","0.06"
"58","96","Pressano","04-01-2015 10:00","-0.1","96.3","0.0","--","1.0","0.1"
"58","96","Pressano","04-01-2015 11:00","0.8","79.3","0.0","--","1.5","0.35"
"58","96","Pressano","04-01-2015 12:00","4.8","41.4","0.0","--","1.9","1.29"
"58","96","Pressano","04-01-2015 13:00","6.8","27.7","0.0","--","2.5","1.38"
"58","96","Pressano","04-01-2015 14:00","6.9","24.2","0.0","--","2.5","1.33"
"58","96","Pressano","04-01-2015 15:00","6.1","22.9","0.0","--","3.4","0.74"
"58","96","Pressano","04-01-2015 16:00","5.1","23.1","0.0","--","3.3","0.28"
"58","96","Pressano","04-01-2015 17:00","3.6","26.9","0.0","--","2.3","0.03"
"58","96","Pressano","04-01-2015 18:00","1.8","37.1","0.0","--","1.5","0.0"
"58","96","Pressano","04-01-2015 19:00","0.3","40.2","0.0","--","1.7","0.0"
"58","96","Pressano","04-01-2015 20:00","-0.1","36.9","0.0","--","1.3","0.0"
"58","96","Pressano","04-01-2015 21:00","-0.6","37.9","0.0","--","1.3","0.0"
"58","96","Pressano","04-01-2015 22:00","-1.6","43.0","0.0","--","1.3","0.0"
"58","96","Pressano","04-01-2015 23:00","-1.4","41.5","0.0","--","1.2","0.0"
"58","96","Pressano","05-01-2015 00:00","-0.6","35.9","0.0","--","1.2","0.0"
"58","96","Pressano","05-01-2015 01:00","-1.3","40.5","0.0","--","1.4","0.0"
"58","96","Pressano","05-01-2015 02:00","-1.5","41.6","0.0","--","2.0","0.0"
"58","96","Pressano","05-01-2015 03:00","-2.2","46.6","0.0","--","1.2","0.0"
"58","96","Pressano","05-01-2015 04:00","-2.5","48.2","0.0","--","1.0","0.0"
"58","96","Pressano","05-01-2015 05:00","-2.2","47.5","0.0","--","2.1","0.0"
"58","96","Pressano","05-01-2015 06:00","-1.6","44.2","0.0","--","1.2","0.0"
"58","96","Pressano","05-01-2015 07:00","-3.1","53.7","0.0","--","0.9","0.0"
"58","96","Pressano","05-01-2015 08:00","-3.5","55.4","0.0","--","0.8","0.0"
"58","96","Pressano","05-01-2015 09:00","-3.9","60.1","0.0","--","1.0","0.05"
"58","96","Pressano","05-01-2015 10:00","-3.2","57.9","0.0","--","1.1","0.1"
"58","96","Pressano","05-01-2015 11:00","-1.2","50.6","0.0","--","1.4","0.36"
"58","96","Pressano","05-01-2015 12:00","2.4","38.0","0.0","--","2.6","1.29"
"58","96","Pressano","05-01-2015 13:00","4.8","30.1","0.0","--","2.3","1.39"
"58","96","Pressano","05-01-2015 14:00","6.0","28.2","0.0","--","1.9","1.25"
"58","96","Pressano","05-01-2015 15:00","6.3","29.4","0.0","--","1.8","0.94"
"58","96","Pressano","05-01-2015 16:00","5.5","31.1","0.0","--","2.1","0.32"
"58","96","Pressano","05-01-2015 17:00","3.6","38.7","0.0","--","2.0","0.02"
"58","96","Pressano","05-01-2015 18:00","3.2","40.0","0.0","--","1.9","0.0"
"58","96","Pressano","05-01-2015 19:00","3.9","35.8","0.0","--","2.1","0.0"
"58","96","Pressano","05-01-2015 20:00","2.7","39.6","0.0","--","2.1","0.0"
