"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"60","41","Revo","01-01-2017 00:00","1.5","32.2","0.0","--","1.0","0.0"
"60","41","Revo","01-01-2017 01:00","1.3","32.4","0.0","--","0.8","0.0"
"60","41","Revo","01-01-2017 02:00","1.1","32.9","0.0","--","1.1","0.0"
"60","41","Revo","01-01-2017 03:00","0.9","33.5","0.0","--","1.0","0.0"
"60","41","Revo","01-01-2017 04:00","0.5","34.1","0.0","--","0.8","0.0"
"60","41","Revo","01-01-2017 05:00","0.3","34.4","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 06:00","0.2","34.5","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 07:00","0.0","34.8","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 08:00","-0.2","35.6","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 09:00","0.1","34.8","0.0","--","1.0","0.03"
"60","41","Revo","01-01-2017 10:00","1.0","32.6","0.0","--","2.3","0.07"
"60","41","Revo","01-01-2017 11:00","0.9","32.2","0.0","--","0.5","0.08"
"60","41","Revo","01-01-2017 12:00","1.5","30.6","0.0","--","0.3","0.08"
"60","41","Revo","01-01-2017 13:00","2.1","30.0","0.0","--","0.8","0.08"
"60","41","Revo","01-01-2017 14:00","2.2","30.1","0.0","--","1.0","0.08"
"60","41","Revo","01-01-2017 15:00","1.9","30.8","0.0","--","0.3","0.08"
"60","41","Revo","01-01-2017 16:00","1.7","32.4","0.0","--","1.2","0.05"
"60","41","Revo","01-01-2017 17:00","1.5","32.5","0.0","--","1.2","0.02"
"60","41","Revo","01-01-2017 18:00","0.7","34.3","0.0","--","1.0","0.0"
"60","41","Revo","01-01-2017 19:00","0.1","35.9","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 20:00","-0.4","37.0","0.0","--","0.9","0.0"
"60","41","Revo","01-01-2017 21:00","-1.0","38.2","0.0","--","0.6","0.0"
"60","41","Revo","01-01-2017 22:00","-1.3","39.3","0.0","--","0.7","0.0"
"60","41","Revo","01-01-2017 23:00","-1.4","39.9","0.0","--","1.0","0.0"
"60","41","Revo","02-01-2017 00:00","-1.7","40.6","0.0","--","0.8","0.0"
"60","41","Revo","02-01-2017 01:00","-1.8","41.1","0.0","--","0.9","0.0"
"60","41","Revo","02-01-2017 02:00","-1.9","41.1","0.0","--","1.3","0.0"
"60","41","Revo","02-01-2017 03:00","-2.1","41.3","0.0","--","1.1","0.0"
"60","41","Revo","02-01-2017 04:00","-2.2","40.4","0.0","--","0.9","0.0"
"60","41","Revo","02-01-2017 05:00","-2.3","40.3","0.0","--","1.1","0.0"
"60","41","Revo","02-01-2017 06:00","-2.6","40.5","0.0","--","0.9","0.0"
"60","41","Revo","02-01-2017 07:00","-2.7","40.0","0.0","--","0.9","0.0"
"60","41","Revo","02-01-2017 08:00","-2.9","39.6","0.0","--","0.9","0.0"
"60","41","Revo","02-01-2017 09:00","-2.8","39.6","0.0","--","0.9","0.03"
"60","41","Revo","02-01-2017 10:00","-2.4","38.2","0.0","--","1.3","0.07"
"60","41","Revo","02-01-2017 11:00","-2.0","36.7","0.0","--","0.9","0.08"
"60","41","Revo","02-01-2017 12:00","-1.1","35.4","0.0","--","0.8","0.08"
"60","41","Revo","02-01-2017 13:00","-1.0","36.4","0.0","--","1.1","0.13"
"60","41","Revo","02-01-2017 14:00","-0.1","36.6","0.0","--","0.8","0.2"
"60","41","Revo","02-01-2017 15:00","0.8","34.6","0.0","--","1.0","0.3"
"60","41","Revo","02-01-2017 16:00","0.6","35.8","0.0","--","1.0","0.23"
"60","41","Revo","02-01-2017 17:00","-0.6","38.9","0.0","--","1.2","0.03"
"60","41","Revo","02-01-2017 18:00","-0.8","40.8","0.0","--","1.3","0.0"
"60","41","Revo","02-01-2017 19:00","-0.7","40.9","0.0","--","1.5","0.0"
"60","41","Revo","02-01-2017 20:00","-0.4","42.1","0.0","--","1.6","0.0"
"60","41","Revo","02-01-2017 21:00","-1.0","47.3","0.0","--","1.3","0.0"
"60","41","Revo","02-01-2017 22:00","-1.2","48.7","0.0","--","1.3","0.0"
"60","41","Revo","02-01-2017 23:00","0.5","37.3","0.0","--","2.5","0.0"
"60","41","Revo","03-01-2017 00:00","0.7","34.2","0.0","--","2.5","0.0"
"60","41","Revo","03-01-2017 01:00","1.1","29.8","0.0","--","2.7","0.0"
"60","41","Revo","03-01-2017 02:00","1.2","29.0","0.0","--","3.0","0.0"
"60","41","Revo","03-01-2017 03:00","0.8","29.4","0.0","--","1.8","0.0"
"60","41","Revo","03-01-2017 04:00","0.2","28.2","0.0","--","1.9","0.0"
"60","41","Revo","03-01-2017 05:00","-0.5","27.8","0.0","--","3.3","0.0"
"60","41","Revo","03-01-2017 06:00","-1.3","23.7","0.0","--","2.6","0.0"
"60","41","Revo","03-01-2017 07:00","-3.1","32.2","0.0","--","1.4","0.0"
"60","41","Revo","03-01-2017 08:00","-4.0","36.2","0.0","--","1.9","0.0"
"60","41","Revo","03-01-2017 09:00","-4.6","36.9","0.0","--","1.4","0.03"
"60","41","Revo","03-01-2017 10:00","-4.9","38.2","0.0","--","1.4","0.07"
"60","41","Revo","03-01-2017 11:00","-4.4","36.1","0.0","--","1.7","0.08"
"60","41","Revo","03-01-2017 12:00","-3.5","31.7","0.0","--","2.0","0.08"
"60","41","Revo","03-01-2017 13:00","-3.3","32.0","0.0","--","0.8","0.08"
"60","41","Revo","03-01-2017 14:00","-3.0","30.5","0.0","--","0.7","0.08"
"60","41","Revo","03-01-2017 15:00","-2.6","29.4","0.0","--","1.3","0.08"
"60","41","Revo","03-01-2017 16:00","-2.6","30.1","0.0","--","2.0","0.06"
"60","41","Revo","03-01-2017 17:00","-2.9","30.8","0.0","--","2.4","0.02"
"60","41","Revo","03-01-2017 18:00","-2.8","30.4","0.0","--","2.6","0.0"
"60","41","Revo","03-01-2017 19:00","-3.2","31.4","0.0","--","2.5","0.0"
"60","41","Revo","03-01-2017 20:00","-3.8","33.0","0.0","--","1.3","0.0"
"60","41","Revo","03-01-2017 21:00","-4.1","34.0","0.0","--","1.6","0.0"
"60","41","Revo","03-01-2017 22:00","-4.2","34.1","0.0","--","1.4","0.0"
"60","41","Revo","03-01-2017 23:00","-4.4","34.9","0.0","--","1.2","0.0"
"60","41","Revo","04-01-2017 00:00","-4.1","35.5","0.0","--","1.6","0.0"
"60","41","Revo","04-01-2017 01:00","-4.4","35.5","0.0","--","1.4","0.0"
"60","41","Revo","04-01-2017 02:00","-4.4","35.5","0.0","--","1.6","0.0"
"60","41","Revo","04-01-2017 03:00","-4.4","34.4","0.0","--","1.5","0.0"
"60","41","Revo","04-01-2017 04:00","-4.4","34.3","0.0","--","1.3","0.0"
"60","41","Revo","04-01-2017 05:00","-3.3","32.8","0.0","--","1.2","0.0"
"60","41","Revo","04-01-2017 06:00","-3.4","35.2","0.0","--","1.3","0.0"
"60","41","Revo","04-01-2017 07:00","-4.0","37.1","0.0","--","1.4","0.0"
"60","41","Revo","04-01-2017 08:00","-4.4","37.3","0.0","--","1.5","0.0"
"60","41","Revo","04-01-2017 09:00","-3.7","34.2","0.0","--","1.1","0.06"
"60","41","Revo","04-01-2017 10:00","-2.8","32.9","0.0","--","2.0","0.12"
"60","41","Revo","04-01-2017 11:00","-1.3","32.8","0.0","--","1.8","0.24"
"60","41","Revo","04-01-2017 12:00","3.2","30.7","0.0","--","2.6","0.31"
"60","41","Revo","04-01-2017 13:00","6.6","26.4","0.0","--","5.3","0.29"
"60","41","Revo","04-01-2017 14:00","6.4","19.7","0.0","--","6.3","0.27"
"60","41","Revo","04-01-2017 15:00","6.2","21.2","0.0","--","7.5","0.5"
"60","41","Revo","04-01-2017 16:00","5.6","22.2","0.0","--","4.9","0.28"
