"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"61","15","Riva del Garda","01-01-2017 00:00","2.5","59.1","0.0","--","2.2","0.0"
"61","15","Riva del Garda","01-01-2017 01:00","2.1","60.7","0.0","--","2.0","0.0"
"61","15","Riva del Garda","01-01-2017 02:00","2.7","57.7","0.0","--","1.8","0.0"
"61","15","Riva del Garda","01-01-2017 03:00","2.5","57.9","0.0","--","1.9","0.0"
"61","15","Riva del Garda","01-01-2017 04:00","2.1","59.7","0.0","--","1.8","0.0"
"61","15","Riva del Garda","01-01-2017 05:00","2.2","59.1","0.0","--","2.1","0.0"
"61","15","Riva del Garda","01-01-2017 06:00","1.9","59.6","0.0","--","2.0","0.0"
"61","15","Riva del Garda","01-01-2017 07:00","1.6","60.9","0.0","--","1.7","0.0"
"61","15","Riva del Garda","01-01-2017 08:00","1.2","62.4","0.0","--","2.1","0.0"
"61","15","Riva del Garda","01-01-2017 09:00","1.2","61.8","0.0","--","2.0","0.04"
"61","15","Riva del Garda","01-01-2017 10:00","2.9","56.2","0.0","--","2.0","0.18"
"61","15","Riva del Garda","01-01-2017 11:00","6.1","47.1","0.0","--","1.9","0.93"
"61","15","Riva del Garda","01-01-2017 12:00","8.7","37.9","0.0","--","1.7","1.18"
"61","15","Riva del Garda","01-01-2017 13:00","10.5","31.4","0.0","--","1.9","1.19"
"61","15","Riva del Garda","01-01-2017 14:00","11.1","30.8","0.0","--","1.2","1.01"
"61","15","Riva del Garda","01-01-2017 15:00","11.6","31.4","0.0","--","1.4","0.76"
"61","15","Riva del Garda","01-01-2017 16:00","10.0","37.0","0.0","--","0.7","0.24"
"61","15","Riva del Garda","01-01-2017 17:00","5.9","53.2","0.0","--","0.7","0.03"
"61","15","Riva del Garda","01-01-2017 18:00","3.7","59.6","0.0","--","1.2","0.0"
"61","15","Riva del Garda","01-01-2017 19:00","2.3","66.0","0.0","--","1.3","0.0"
"61","15","Riva del Garda","01-01-2017 20:00","1.8","67.9","0.0","--","1.3","0.0"
"61","15","Riva del Garda","01-01-2017 21:00","2.6","63.1","0.0","--","1.3","0.0"
"61","15","Riva del Garda","01-01-2017 22:00","3.0","57.1","0.0","--","1.1","0.0"
"61","15","Riva del Garda","01-01-2017 23:00","2.7","56.1","0.0","--","1.3","0.0"
"61","15","Riva del Garda","02-01-2017 00:00","2.2","56.9","0.0","--","1.3","0.0"
"61","15","Riva del Garda","02-01-2017 01:00","1.9","57.9","0.0","--","1.7","0.0"
"61","15","Riva del Garda","02-01-2017 02:00","1.6","58.0","0.0","--","2.0","0.0"
"61","15","Riva del Garda","02-01-2017 03:00","1.6","58.1","0.0","--","1.6","0.0"
"61","15","Riva del Garda","02-01-2017 04:00","1.3","59.4","0.0","--","1.6","0.0"
"61","15","Riva del Garda","02-01-2017 05:00","1.1","59.5","0.0","--","1.6","0.0"
"61","15","Riva del Garda","02-01-2017 06:00","0.9","60.2","0.0","--","1.7","0.0"
"61","15","Riva del Garda","02-01-2017 07:00","1.0","60.0","0.0","--","1.5","0.0"
"61","15","Riva del Garda","02-01-2017 08:00","0.7","60.5","0.0","--","1.5","0.0"
"61","15","Riva del Garda","02-01-2017 09:00","0.7","61.4","0.0","--","1.5","0.05"
"61","15","Riva del Garda","02-01-2017 10:00","1.4","59.9","0.0","--","1.5","0.19"
