"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"63","74","Romeno","01-01-2017 00:00","-4.3","91.7","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 01:00","-3.9","91.5","0.0","0.0","0.2","0.0"
"63","74","Romeno","01-01-2017 02:00","-3.4","86.5","0.0","0.0","0.2","0.0"
"63","74","Romeno","01-01-2017 03:00","-3.4","86.8","0.0","0.0","0.2","0.0"
"63","74","Romeno","01-01-2017 04:00","-3.7","86.9","0.0","0.0","0.2","0.0"
"63","74","Romeno","01-01-2017 05:00","-4.0","87.2","0.0","0.0","0.2","0.0"
"63","74","Romeno","01-01-2017 06:00","-5.5","92.8","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 07:00","-6.4","95.9","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 08:00","-5.7","93.7","0.0","0.0","0.1","0.0"
"63","74","Romeno","01-01-2017 09:00","-6.4","94.5","0.0","0.0","0.0","0.05"
"63","74","Romeno","01-01-2017 10:00","-5.0","90.7","0.0","0.0","0.1","0.08"
"63","74","Romeno","01-01-2017 11:00","-1.7","79.4","0.0","0.0","0.4","0.57"
"63","74","Romeno","01-01-2017 12:00","3.0","57.7","0.0","0.0","1.2","1.08"
"63","74","Romeno","01-01-2017 13:00","4.9","48.2","0.0","0.0","1.2","1.2"
"63","74","Romeno","01-01-2017 14:00","6.6","42.0","0.0","0.0","0.6","1.09"
"63","74","Romeno","01-01-2017 15:00","7.9","38.8","0.0","0.0","0.3","0.76"
"63","74","Romeno","01-01-2017 16:00","4.7","47.6","0.0","0.0","0.1","0.17"
"63","74","Romeno","01-01-2017 17:00","0.8","62.5","0.0","0.0","0.0","0.03"
"63","74","Romeno","01-01-2017 18:00","-1.0","72.6","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 19:00","-2.3","78.5","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 20:00","-3.5","84.3","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 21:00","-4.4","89.1","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 22:00","-5.0","91.6","0.0","0.0","0.0","0.0"
"63","74","Romeno","01-01-2017 23:00","-5.6","93.0","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 00:00","-5.7","95.4","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 01:00","-6.3","94.7","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 02:00","-6.5","93.1","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 03:00","-6.1","93.8","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 04:00","-5.0","89.4","0.0","0.0","0.1","0.0"
"63","74","Romeno","02-01-2017 05:00","-4.6","88.5","0.0","0.0","0.4","0.0"
"63","74","Romeno","02-01-2017 06:00","-4.1","85.0","0.0","0.0","0.6","0.0"
"63","74","Romeno","02-01-2017 07:00","-4.1","84.4","0.0","0.0","0.5","0.0"
"63","74","Romeno","02-01-2017 08:00","-4.2","84.5","0.0","0.0","0.3","0.0"
"63","74","Romeno","02-01-2017 09:00","-4.6","85.7","0.0","0.0","0.1","0.05"
"63","74","Romeno","02-01-2017 10:00","-4.0","84.1","0.0","0.0","0.2","0.08"
"63","74","Romeno","02-01-2017 11:00","-1.1","72.2","0.0","0.0","0.7","0.62"
"63","74","Romeno","02-01-2017 12:00","2.1","57.8","0.0","0.0","1.3","1.16"
"63","74","Romeno","02-01-2017 13:00","4.0","49.3","0.0","0.0","1.2","1.18"
"63","74","Romeno","02-01-2017 14:00","5.6","43.5","0.0","0.0","0.5","1.02"
"63","74","Romeno","02-01-2017 15:00","5.9","42.2","0.0","0.0","0.3","0.59"
"63","74","Romeno","02-01-2017 16:00","4.5","48.2","0.0","0.0","0.1","0.25"
"63","74","Romeno","02-01-2017 17:00","1.9","59.4","0.0","0.0","0.0","0.03"
"63","74","Romeno","02-01-2017 18:00","0.0","69.4","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 19:00","-0.4","71.6","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 20:00","-0.3","73.7","0.0","0.0","0.0","0.0"
"63","74","Romeno","02-01-2017 21:00","0.7","70.2","0.0","0.0","0.4","0.0"
"63","74","Romeno","02-01-2017 22:00","1.0","66.4","0.0","0.0","0.4","0.0"
"63","74","Romeno","02-01-2017 23:00","0.5","69.9","0.0","0.0","0.1","0.0"
"63","74","Romeno","03-01-2017 00:00","0.3","70.6","0.0","0.0","0.3","0.0"
"63","74","Romeno","03-01-2017 01:00","0.0","72.9","0.0","0.0","0.1","0.0"
"63","74","Romeno","03-01-2017 02:00","0.4","69.8","0.0","0.0","0.3","0.0"
"63","74","Romeno","03-01-2017 03:00","0.6","69.4","0.0","0.0","0.2","0.0"
"63","74","Romeno","03-01-2017 04:00","1.1","64.1","0.0","0.0","0.3","0.0"
"63","74","Romeno","03-01-2017 05:00","1.0","63.7","0.0","0.0","0.4","0.0"
"63","74","Romeno","03-01-2017 06:00","1.0","63.2","0.0","0.0","0.7","0.0"
"63","74","Romeno","03-01-2017 07:00","4.1","45.8","0.0","0.0","1.4","0.0"
"63","74","Romeno","03-01-2017 08:00","4.7","37.9","0.0","0.0","1.3","0.0"
"63","74","Romeno","03-01-2017 09:00","4.5","35.9","0.0","0.0","1.3","0.05"
"63","74","Romeno","03-01-2017 10:00","5.0","32.6","0.0","0.0","1.6","0.08"
"63","74","Romeno","03-01-2017 11:00","7.2","26.9","0.0","0.0","1.8","0.69"
"63","74","Romeno","03-01-2017 12:00","9.7","20.4","0.0","0.0","3.4","1.25"
"63","74","Romeno","03-01-2017 13:00","10.5","18.9","0.0","0.0","2.8","1.31"
"63","74","Romeno","03-01-2017 14:00","11.1","16.6","0.0","0.0","2.4","1.17"
"63","74","Romeno","03-01-2017 15:00","11.3","15.6","0.0","0.0","2.1","0.83"
"63","74","Romeno","03-01-2017 16:00","9.4","18.0","0.0","0.0","1.0","0.19"
"63","74","Romeno","03-01-2017 17:00","6.7","25.6","0.0","0.0","0.5","0.03"
"63","74","Romeno","03-01-2017 18:00","5.1","35.8","0.0","0.0","0.4","0.0"
"63","74","Romeno","03-01-2017 19:00","1.4","48.4","0.0","0.0","0.1","0.0"
"63","74","Romeno","03-01-2017 20:00","-0.3","60.0","0.0","0.0","0.1","0.0"
"63","74","Romeno","03-01-2017 21:00","-1.8","69.8","0.0","0.0","0.0","0.0"
"63","74","Romeno","03-01-2017 22:00","-2.9","77.7","0.0","0.0","0.0","0.0"
"63","74","Romeno","03-01-2017 23:00","-3.9","83.2","0.0","0.0","0.1","0.0"
"63","74","Romeno","04-01-2017 00:00","-4.4","87.2","0.0","0.0","0.0","0.0"
"63","74","Romeno","04-01-2017 01:00","-4.7","89.4","0.0","0.0","0.1","0.0"
"63","74","Romeno","04-01-2017 02:00","-5.4","92.1","0.0","0.0","0.0","0.0"
"63","74","Romeno","04-01-2017 03:00","-5.7","92.1","0.0","0.0","0.0","0.0"
"63","74","Romeno","04-01-2017 04:00","-4.9","85.8","0.0","0.0","0.2","0.0"
"63","74","Romeno","04-01-2017 05:00","-4.3","75.3","0.0","0.0","0.2","0.0"
"63","74","Romeno","04-01-2017 06:00","-4.4","76.2","0.0","0.0","0.2","0.0"
"63","74","Romeno","04-01-2017 07:00","-4.4","76.5","0.0","0.0","0.1","0.0"
"63","74","Romeno","04-01-2017 08:00","-3.3","66.4","0.0","0.0","1.0","0.0"
