"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"64","21","Ronzo Chienis","01-01-2016 00:00","-1.6","84.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 01:00","-1.6","84.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 02:00","-1.9","84.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 03:00","-2.5","86.3","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 04:00","-2.5","86.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 05:00","-1.6","82.7","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 06:00","-2.0","82.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 07:00","-3.2","85.5","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 08:00","-3.5","86.6","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 09:00","-3.2","84.9","0.0","0.0","0.1","0.05"
"64","21","Ronzo Chienis","01-01-2016 10:00","1.9","67.2","0.0","0.0","0.1","0.57"
"64","21","Ronzo Chienis","01-01-2016 11:00","5.6","51.4","0.0","0.0","0.4","1.07"
"64","21","Ronzo Chienis","01-01-2016 12:00","6.9","47.5","0.0","0.0","0.5","1.33"
"64","21","Ronzo Chienis","01-01-2016 13:00","7.3","44.9","0.0","0.0","0.7","1.38"
"64","21","Ronzo Chienis","01-01-2016 14:00","8.0","42.4","0.0","0.0","0.6","1.23"
"64","21","Ronzo Chienis","01-01-2016 15:00","7.6","43.8","0.0","0.0","0.5","0.85"
"64","21","Ronzo Chienis","01-01-2016 16:00","5.8","48.7","0.0","0.0","0.2","0.32"
"64","21","Ronzo Chienis","01-01-2016 17:00","2.2","62.0","0.0","0.0","0.0","0.02"
"64","21","Ronzo Chienis","01-01-2016 18:00","-0.4","74.1","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 19:00","-0.3","72.8","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 20:00","-0.7","71.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 21:00","-2.1","76.4","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2016 22:00","-1.5","73.9","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2016 23:00","-2.5","77.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 00:00","-3.6","82.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 01:00","-3.6","84.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 02:00","-4.0","86.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 03:00","-3.5","86.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 04:00","-3.4","85.7","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 05:00","-3.6","85.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 06:00","-4.0","86.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 07:00","-3.5","85.8","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 08:00","-3.5","85.8","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 09:00","-2.8","84.0","0.0","0.0","0.0","0.06"
"64","21","Ronzo Chienis","02-01-2016 10:00","-1.7","82.6","0.0","0.0","0.0","0.15"
"64","21","Ronzo Chienis","02-01-2016 11:00","-0.4","78.4","0.0","0.0","0.0","0.22"
"64","21","Ronzo Chienis","02-01-2016 12:00","-0.4","75.2","0.0","0.0","0.1","0.24"
"64","21","Ronzo Chienis","02-01-2016 13:00","1.2","67.5","0.0","0.0","0.0","0.67"
"64","21","Ronzo Chienis","02-01-2016 14:00","1.2","68.0","0.0","0.0","0.2","0.53"
"64","21","Ronzo Chienis","02-01-2016 15:00","1.3","68.5","0.0","0.0","0.1","0.34"
"64","21","Ronzo Chienis","02-01-2016 16:00","0.8","69.4","0.0","0.0","0.1","0.2"
"64","21","Ronzo Chienis","02-01-2016 17:00","0.0","73.1","0.0","0.0","0.0","0.02"
"64","21","Ronzo Chienis","02-01-2016 18:00","-1.2","79.3","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 19:00","-0.9","79.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 20:00","-0.8","78.9","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 21:00","-1.0","82.1","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2016 22:00","-1.0","90.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2016 23:00","-0.9","91.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 00:00","-0.9","93.5","0.4","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 01:00","-1.1","95.8","0.8","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 02:00","-1.2","96.7","0.2","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 03:00","-1.2","96.9","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 04:00","-1.5","97.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 05:00","-2.2","97.1","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 06:00","-3.1","97.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 07:00","-2.1","97.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 08:00","-1.4","97.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 09:00","-1.8","97.0","0.0","0.0","0.1","0.02"
"64","21","Ronzo Chienis","03-01-2016 10:00","1.0","88.6","0.0","20.0","0.0","0.43"
"64","21","Ronzo Chienis","03-01-2016 11:00","5.6","65.3","0.0","60.0","0.1","1.16"
"64","21","Ronzo Chienis","03-01-2016 12:00","6.2","62.2","0.0","60.0","0.3","1.44"
"64","21","Ronzo Chienis","03-01-2016 13:00","5.9","66.4","0.0","60.0","0.5","1.42"
"64","21","Ronzo Chienis","03-01-2016 14:00","5.8","68.1","0.0","60.0","0.8","1.22"
"64","21","Ronzo Chienis","03-01-2016 15:00","3.3","75.8","0.0","60.0","0.9","0.84"
"64","21","Ronzo Chienis","03-01-2016 16:00","1.0","87.3","0.0","60.0","0.2","0.21"
"64","21","Ronzo Chienis","03-01-2016 17:00","-0.2","96.1","0.0","60.0","0.0","0.02"
"64","21","Ronzo Chienis","03-01-2016 18:00","-0.3","97.3","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 19:00","-0.3","97.2","0.0","60.0","0.1","0.0"
"64","21","Ronzo Chienis","03-01-2016 20:00","-0.1","96.6","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 21:00","-0.2","97.2","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 22:00","-0.3","98.0","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2016 23:00","-0.3","98.4","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 00:00","-0.3","99.1","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 01:00","-0.4","99.4","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 02:00","-0.3","99.6","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 03:00","-0.3","99.5","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 04:00","-0.4","99.6","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 05:00","-0.5","99.7","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 06:00","-0.5","99.9","0.2","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 07:00","-0.7","99.9","0.0","60.0","0.1","0.0"
"64","21","Ronzo Chienis","04-01-2016 08:00","-0.8","100.0","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 09:00","-0.8","100.0","0.0","60.0","0.0","0.03"
"64","21","Ronzo Chienis","04-01-2016 10:00","-0.7","100.0","0.0","60.0","0.0","0.09"
"64","21","Ronzo Chienis","04-01-2016 11:00","-0.3","100.0","0.0","60.0","0.0","0.24"
"64","21","Ronzo Chienis","04-01-2016 12:00","0.0","99.5","0.0","60.0","0.3","0.3"
"64","21","Ronzo Chienis","04-01-2016 13:00","0.3","98.8","0.0","60.0","0.3","0.4"
"64","21","Ronzo Chienis","04-01-2016 14:00","0.2","98.2","0.0","60.0","0.2","0.29"
"64","21","Ronzo Chienis","04-01-2016 15:00","0.4","97.3","0.0","60.0","0.2","0.3"
"64","21","Ronzo Chienis","04-01-2016 16:00","0.3","97.0","0.0","60.0","0.1","0.15"
"64","21","Ronzo Chienis","04-01-2016 17:00","-0.4","96.7","0.0","60.0","0.0","0.03"
"64","21","Ronzo Chienis","04-01-2016 18:00","-0.8","97.5","0.0","60.0","0.1","0.0"
"64","21","Ronzo Chienis","04-01-2016 19:00","-1.2","98.3","0.0","52.0","0.0","0.0"
"64","21","Ronzo Chienis","04-01-2016 20:00","-1.6","99.2","0.0","0.0","0.3","0.0"
"64","21","Ronzo Chienis","04-01-2016 21:00","-1.8","99.9","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","04-01-2016 22:00","-2.1","100.0","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","04-01-2016 23:00","-2.8","99.9","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 00:00","-4.3","98.4","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 01:00","-4.3","97.9","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 02:00","-5.1","96.9","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 03:00","-4.6","96.4","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 04:00","-4.4","96.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 05:00","-4.9","96.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 06:00","-4.9","96.1","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 07:00","-4.0","97.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 08:00","-4.2","98.2","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 09:00","-4.4","97.9","0.0","0.0","0.1","0.07"
"64","21","Ronzo Chienis","05-01-2016 10:00","-3.3","96.1","0.0","0.0","0.1","0.27"
"64","21","Ronzo Chienis","05-01-2016 11:00","0.6","82.6","0.0","49.0","0.3","1.15"
"64","21","Ronzo Chienis","05-01-2016 12:00","1.5","78.1","0.0","60.0","0.7","1.08"
"64","21","Ronzo Chienis","05-01-2016 13:00","2.5","71.2","0.0","60.0","0.6","1.36"
"64","21","Ronzo Chienis","05-01-2016 14:00","4.9","57.5","0.0","60.0","0.5","1.27"
"64","21","Ronzo Chienis","05-01-2016 15:00","3.7","64.2","0.0","33.0","0.8","0.89"
"64","21","Ronzo Chienis","05-01-2016 16:00","2.2","71.1","0.0","0.0","0.5","0.37"
"64","21","Ronzo Chienis","05-01-2016 17:00","-0.3","82.8","0.0","0.0","0.0","0.04"
"64","21","Ronzo Chienis","05-01-2016 18:00","-2.1","89.6","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 19:00","-3.2","92.5","0.0","60.0","0.0","0.0"
"64","21","Ronzo Chienis","05-01-2016 20:00","-3.5","91.8","0.0","60.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 21:00","-3.2","87.3","0.0","60.0","0.2","0.0"
"64","21","Ronzo Chienis","05-01-2016 22:00","-3.5","88.2","0.0","47.0","0.1","0.0"
"64","21","Ronzo Chienis","05-01-2016 23:00","-3.1","84.5","0.0","45.0","0.3","0.0"
"64","21","Ronzo Chienis","06-01-2016 00:00","-4.1","90.2","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","06-01-2016 01:00","-5.0","92.1","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","06-01-2016 02:00","-4.1","91.2","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","06-01-2016 03:00","-3.2","89.5","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","06-01-2016 04:00","-3.1","89.0","0.0","0.0","0.4","0.0"
"64","21","Ronzo Chienis","06-01-2016 05:00","-4.2","90.4","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","06-01-2016 06:00","-4.4","90.8","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","06-01-2016 07:00","-5.1","90.8","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","06-01-2016 08:00","-5.1","90.4","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","06-01-2016 09:00","-5.1","89.9","0.0","0.0","0.0","0.06"
"64","21","Ronzo Chienis","06-01-2016 10:00","-3.2","85.1","0.0","0.0","0.0","0.21"
"64","21","Ronzo Chienis","06-01-2016 11:00","0.1","71.6","0.0","33.0","0.1","0.58"
"64","21","Ronzo Chienis","06-01-2016 12:00","1.4","67.0","0.0","60.0","0.4","0.91"
"64","21","Ronzo Chienis","06-01-2016 13:00","2.3","61.5","0.0","9.0","0.4","1.0"
"64","21","Ronzo Chienis","06-01-2016 14:00","4.3","53.3","0.0","0.0","0.3","1.2"
"64","21","Ronzo Chienis","06-01-2016 15:00","3.9","54.0","0.0","0.0","0.6","0.92"
"64","21","Ronzo Chienis","06-01-2016 16:00","2.7","58.1","0.0","0.0","0.3","0.37"
"64","21","Ronzo Chienis","06-01-2016 17:00","0.1","69.2","0.0","0.0","0.0","0.04"
"64","21","Ronzo Chienis","06-01-2016 18:00","-1.7","80.3","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","06-01-2016 19:00","-2.7","79.1","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","06-01-2016 20:00","-2.6","74.3","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","06-01-2016 21:00","-2.7","71.7","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","06-01-2016 22:00","-3.6","74.7","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","06-01-2016 23:00","-4.0","77.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","07-01-2016 00:00","-4.4","79.8","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","07-01-2016 01:00","-4.1","79.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","07-01-2016 02:00","-3.6","74.9","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","07-01-2016 03:00","-4.5","77.4","0.0","0.0","0.1","0.0"
