"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"65","57","Rovere della Luna","01-01-2016 00:00","-1.4","83.8","0.0","0.0","0.4","0.0"
"65","57","Rovere della Luna","01-01-2016 01:00","-1.4","83.6","0.0","0.0","0.3","0.0"
"65","57","Rovere della Luna","01-01-2016 02:00","-1.7","82.9","0.0","0.0","0.4","0.0"
"65","57","Rovere della Luna","01-01-2016 03:00","-2.5","81.2","0.0","0.0","0.9","0.0"
"65","57","Rovere della Luna","01-01-2016 04:00","-2.3","77.1","0.0","0.0","0.9","0.0"
"65","57","Rovere della Luna","01-01-2016 05:00","-2.5","76.3","0.0","0.0","0.5","0.0"
"65","57","Rovere della Luna","01-01-2016 06:00","-2.8","75.7","0.0","0.0","1.0","0.0"
"65","57","Rovere della Luna","01-01-2016 07:00","-2.4","74.0","0.0","0.0","0.6","0.0"
"65","57","Rovere della Luna","01-01-2016 08:00","-1.9","70.9","0.0","0.0","0.8","0.0"
"65","57","Rovere della Luna","01-01-2016 09:00","-1.9","69.9","0.0","0.0","0.9","0.0"
"65","57","Rovere della Luna","01-01-2016 10:00","0.8","60.1","0.0","0.0","1.1","0.28"
"65","57","Rovere della Luna","01-01-2016 11:00","5.7","43.7","0.0","0.0","0.7","0.86"
"65","57","Rovere della Luna","01-01-2016 12:00","7.6","40.4","0.0","0.0","0.8","1.1"
"65","57","Rovere della Luna","01-01-2016 13:00","7.3","41.6","0.0","0.0","1.2","1.17"
"65","57","Rovere della Luna","01-01-2016 14:00","7.4","41.5","0.0","0.0","0.9","1.04"
"65","57","Rovere della Luna","01-01-2016 15:00","7.4","46.3","0.0","0.0","0.7","0.72"
"65","57","Rovere della Luna","01-01-2016 16:00","5.6","54.6","0.0","0.0","0.4","0.26"
"65","57","Rovere della Luna","01-01-2016 17:00","2.4","45.9","0.0","0.0","0.7","0.0"
"65","57","Rovere della Luna","01-01-2016 18:00","0.1","31.8","0.0","0.0","0.7","0.0"
"65","57","Rovere della Luna","01-01-2016 19:00","-0.7","30.9","0.0","0.0","0.8","0.0"
"65","57","Rovere della Luna","01-01-2016 20:00","-1.2","32.8","0.0","0.0","0.9","0.0"
"65","57","Rovere della Luna","01-01-2016 21:00","-1.8","34.5","0.0","0.0","0.3","0.0"
"65","57","Rovere della Luna","01-01-2016 22:00","-2.4","45.3","0.0","0.0","0.4","0.0"
"65","57","Rovere della Luna","01-01-2016 23:00","-3.6","63.3","0.0","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 00:00","-3.9","64.5","0.0","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 01:00","-4.0","68.2","0.0","0.0","0.8","0.0"
"65","57","Rovere della Luna","02-01-2016 02:00","-3.9","77.4","0.0","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 03:00","-3.7","85.3","0.0","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 04:00","-4.1","86.8","0.0","0.0","0.1","0.0"
"65","57","Rovere della Luna","02-01-2016 05:00","-3.9","80.7","0.0","0.0","0.3","0.0"
"65","57","Rovere della Luna","02-01-2016 06:00","-3.9","73.3","0.0","0.0","0.5","0.0"
"65","57","Rovere della Luna","02-01-2016 07:00","-3.0","69.8","0.0","0.0","0.7","0.0"
"65","57","Rovere della Luna","02-01-2016 08:00","-2.0","65.6","0.0","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 09:00","-1.2","64.5","0.0","0.0","0.3","0.0"
"65","57","Rovere della Luna","02-01-2016 10:00","-0.6","65.6","0.0","0.0","0.0","0.0"
"65","57","Rovere della Luna","02-01-2016 11:00","-0.5","68.1","0.0","0.0","0.2","0.02"
"65","57","Rovere della Luna","02-01-2016 12:00","-0.4","69.7","0.0","0.0","0.4","0.11"
"65","57","Rovere della Luna","02-01-2016 13:00","-1.3","78.7","0.0","0.0","0.4","0.02"
"65","57","Rovere della Luna","02-01-2016 14:00","-1.9","87.8","0.8","0.0","0.5","0.0"
"65","57","Rovere della Luna","02-01-2016 15:00","-1.6","90.0","0.2","0.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 16:00","-1.5","90.4","1.2","0.0","0.1","0.0"
"65","57","Rovere della Luna","02-01-2016 17:00","-1.5","91.6","1.0","59.0","0.3","0.0"
"65","57","Rovere della Luna","02-01-2016 18:00","-1.6","92.4","0.8","60.0","0.0","0.0"
"65","57","Rovere della Luna","02-01-2016 19:00","-1.4","93.1","1.0","60.0","0.0","0.0"
"65","57","Rovere della Luna","02-01-2016 20:00","-1.7","93.5","0.8","60.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 21:00","-1.5","94.0","0.8","60.0","0.2","0.0"
"65","57","Rovere della Luna","02-01-2016 22:00","-1.0","94.5","0.2","60.0","0.6","0.0"
"65","57","Rovere della Luna","02-01-2016 23:00","-1.1","94.7","0.2","60.0","0.7","0.0"
"65","57","Rovere della Luna","03-01-2016 00:00","-1.2","94.8","0.2","60.0","0.3","0.0"
"65","57","Rovere della Luna","03-01-2016 01:00","-1.8","94.9","0.2","60.0","0.8","0.0"
"65","57","Rovere della Luna","03-01-2016 02:00","-1.8","95.1","0.6","60.0","0.1","0.0"
"65","57","Rovere della Luna","03-01-2016 03:00","-1.5","95.4","0.8","60.0","0.1","0.0"
"65","57","Rovere della Luna","03-01-2016 04:00","-1.2","95.5","0.6","60.0","0.2","0.0"
"65","57","Rovere della Luna","03-01-2016 05:00","-1.6","95.6","0.8","60.0","0.2","0.0"
"65","57","Rovere della Luna","03-01-2016 06:00","-2.0","95.9","0.0","60.0","0.1","0.0"
"65","57","Rovere della Luna","03-01-2016 07:00","-2.4","95.9","0.2","44.0","0.4","0.0"
"65","57","Rovere della Luna","03-01-2016 08:00","-3.5","95.9","0.0","0.0","0.5","0.0"
"65","57","Rovere della Luna","03-01-2016 09:00","-3.2","95.9","0.0","0.0","0.4","0.0"
"65","57","Rovere della Luna","03-01-2016 10:00","-2.8","96.1","0.2","15.0","0.3","0.0"
"65","57","Rovere della Luna","03-01-2016 11:00","3.5","85.0","0.4","60.0","0.5","0.0"
"65","57","Rovere della Luna","03-01-2016 12:00","6.2","61.1","0.0","60.0","0.5","0.0"
"65","57","Rovere della Luna","03-01-2016 13:00","4.9","67.6","0.0","60.0","0.9","0.13"
"65","57","Rovere della Luna","03-01-2016 14:00","2.8","79.5","0.0","60.0","0.6","0.2"
"65","57","Rovere della Luna","03-01-2016 15:00","3.8","76.7","0.0","60.0","0.8","0.75"
"65","57","Rovere della Luna","03-01-2016 16:00","1.0","84.3","0.0","60.0","1.0","0.13"
"65","57","Rovere della Luna","03-01-2016 17:00","-0.3","89.2","0.0","60.0","0.7","0.0"
"65","57","Rovere della Luna","03-01-2016 18:00","-0.4","88.3","0.0","60.0","0.6","0.0"
"65","57","Rovere della Luna","03-01-2016 19:00","-0.8","86.4","0.0","60.0","0.6","0.0"
"65","57","Rovere della Luna","03-01-2016 20:00","-1.2","86.8","0.0","60.0","0.8","0.0"
"65","57","Rovere della Luna","03-01-2016 21:00","-0.7","88.2","0.0","60.0","1.3","0.0"
"65","57","Rovere della Luna","03-01-2016 22:00","-0.3","89.5","0.0","60.0","0.9","0.0"
"65","57","Rovere della Luna","03-01-2016 23:00","-0.2","87.5","0.0","58.0","0.9","0.0"
"65","57","Rovere della Luna","04-01-2016 00:00","0.0","81.3","0.0","0.0","1.0","0.0"
"65","57","Rovere della Luna","04-01-2016 01:00","0.0","79.7","0.0","0.0","0.9","0.0"
"65","57","Rovere della Luna","04-01-2016 02:00","-0.4","83.2","0.0","0.0","0.3","0.0"
"65","57","Rovere della Luna","04-01-2016 03:00","-0.9","88.8","0.4","56.0","0.9","0.0"
"65","57","Rovere della Luna","04-01-2016 04:00","-1.0","91.8","0.6","60.0","0.5","0.0"
"65","57","Rovere della Luna","04-01-2016 05:00","-1.2","92.5","0.2","60.0","0.3","0.0"
"65","57","Rovere della Luna","04-01-2016 06:00","-1.3","93.0","0.4","60.0","1.1","0.0"
"65","57","Rovere della Luna","04-01-2016 07:00","-1.6","93.7","0.0","60.0","1.0","0.0"
"65","57","Rovere della Luna","04-01-2016 08:00","-1.8","94.3","0.0","60.0","1.0","0.0"
"65","57","Rovere della Luna","04-01-2016 09:00","-1.8","94.5","0.0","50.0","0.7","0.0"
"65","57","Rovere della Luna","04-01-2016 10:00","-1.4","94.2","0.0","60.0","0.3","0.0"
"65","57","Rovere della Luna","04-01-2016 11:00","-1.2","93.7","0.0","60.0","0.4","0.0"
"65","57","Rovere della Luna","04-01-2016 12:00","-1.4","93.8","0.0","60.0","0.5","0.0"
"65","57","Rovere della Luna","04-01-2016 13:00","-0.7","93.4","0.0","60.0","0.4","0.01"
"65","57","Rovere della Luna","04-01-2016 14:00","-0.6","92.4","0.0","60.0","0.5","0.0"
"65","57","Rovere della Luna","04-01-2016 15:00","-0.2","92.3","0.0","60.0","0.3","0.04"
"65","57","Rovere della Luna","04-01-2016 16:00","-0.4","91.6","0.0","55.0","0.4","0.0"
"65","57","Rovere della Luna","04-01-2016 17:00","-1.9","92.4","0.0","8.0","0.6","0.0"
"65","57","Rovere della Luna","04-01-2016 18:00","-3.4","93.6","0.0","0.0","0.7","0.0"
"65","57","Rovere della Luna","04-01-2016 19:00","-3.3","93.4","0.0","0.0","1.3","0.0"
"65","57","Rovere della Luna","04-01-2016 20:00","-3.6","92.2","0.0","0.0","1.5","0.0"
"65","57","Rovere della Luna","04-01-2016 21:00","-3.6","91.1","0.0","0.0","1.8","0.0"
"65","57","Rovere della Luna","04-01-2016 22:00","-3.6","90.0","0.0","0.0","1.4","0.0"
"65","57","Rovere della Luna","04-01-2016 23:00","-4.0","89.7","0.0","0.0","1.5","0.0"
