"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"67","27","S. Michele a/A","01-01-2015 00:00","-3.9","93.1","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","01-01-2015 01:00","-4.5","96.0","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","01-01-2015 02:00","-4.0","96.9","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","01-01-2015 03:00","-4.7","97.6","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","01-01-2015 04:00","-4.6","98.9","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","01-01-2015 05:00","-4.1","97.7","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","01-01-2015 06:00","-4.8","98.2","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","01-01-2015 07:00","-4.6","98.7","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","01-01-2015 08:00","-4.5","98.9","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","01-01-2015 09:00","-3.6","98.0","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","01-01-2015 10:00","-1.9","93.8","0.0","0.0","0.9","0.54"
"67","27","S. Michele a/A","01-01-2015 11:00","0.8","78.7","0.0","0.0","1.7","0.99"
"67","27","S. Michele a/A","01-01-2015 12:00","3.4","67.4","0.0","0.0","1.1","1.25"
"67","27","S. Michele a/A","01-01-2015 13:00","5.3","60.4","0.0","0.0","0.6","1.06"
"67","27","S. Michele a/A","01-01-2015 14:00","6.9","53.4","0.0","0.0","0.4","0.89"
"67","27","S. Michele a/A","01-01-2015 15:00","7.3","51.0","0.0","0.0","0.4","0.59"
"67","27","S. Michele a/A","01-01-2015 16:00","5.9","56.5","0.0","0.0","0.6","0.18"
"67","27","S. Michele a/A","01-01-2015 17:00","2.0","74.8","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","01-01-2015 18:00","0.0","85.7","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","01-01-2015 19:00","-0.6","89.2","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","01-01-2015 20:00","-1.8","91.3","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","01-01-2015 21:00","-0.9","89.3","0.0","0.0","1.0","0.0"
"67","27","S. Michele a/A","01-01-2015 22:00","-1.8","91.5","0.0","0.0","0.2","0.0"
"67","27","S. Michele a/A","01-01-2015 23:00","-1.2","90.8","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","02-01-2015 00:00","-1.7","90.5","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","02-01-2015 01:00","-0.2","84.2","0.0","0.0","1.2","0.0"
"67","27","S. Michele a/A","02-01-2015 02:00","0.1","82.3","0.0","0.0","1.5","0.0"
"67","27","S. Michele a/A","02-01-2015 03:00","-0.8","85.4","0.0","0.0","0.9","0.0"
"67","27","S. Michele a/A","02-01-2015 04:00","-1.1","88.1","0.0","0.0","0.8","0.0"
"67","27","S. Michele a/A","02-01-2015 05:00","-1.5","88.4","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","02-01-2015 06:00","-1.8","92.4","0.0","0.0","0.8","0.0"
"67","27","S. Michele a/A","02-01-2015 07:00","-1.9","90.9","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","02-01-2015 08:00","-1.5","91.6","0.0","0.0","1.2","0.0"
"67","27","S. Michele a/A","02-01-2015 09:00","-0.5","86.6","0.0","0.0","1.4","0.0"
"67","27","S. Michele a/A","02-01-2015 10:00","1.7","79.2","0.0","0.0","1.0","0.33"
"67","27","S. Michele a/A","02-01-2015 11:00","3.9","70.1","0.0","0.0","1.6","0.71"
"67","27","S. Michele a/A","02-01-2015 12:00","4.1","69.2","0.0","0.0","3.1","0.8"
"67","27","S. Michele a/A","02-01-2015 13:00","6.0","63.6","0.0","0.0","1.7","0.82"
"67","27","S. Michele a/A","02-01-2015 14:00","6.0","64.6","0.0","0.0","1.7","0.65"
"67","27","S. Michele a/A","02-01-2015 15:00","7.4","60.2","0.0","0.0","1.5","0.53"
"67","27","S. Michele a/A","02-01-2015 16:00","6.2","64.9","0.0","0.0","1.9","0.04"
"67","27","S. Michele a/A","02-01-2015 17:00","5.5","67.9","0.0","0.0","2.1","0.0"
"67","27","S. Michele a/A","02-01-2015 18:00","4.8","71.8","0.0","0.0","1.6","0.0"
"67","27","S. Michele a/A","02-01-2015 19:00","5.1","70.1","0.0","0.0","1.9","0.0"
"67","27","S. Michele a/A","02-01-2015 20:00","4.6","72.8","0.0","0.0","1.2","0.0"
"67","27","S. Michele a/A","02-01-2015 21:00","3.7","78.7","0.0","0.0","1.6","0.0"
"67","27","S. Michele a/A","02-01-2015 22:00","4.8","72.7","0.0","0.0","2.0","0.0"
"67","27","S. Michele a/A","02-01-2015 23:00","3.2","82.5","0.0","0.0","0.9","0.0"
"67","27","S. Michele a/A","03-01-2015 00:00","2.3","87.4","0.0","0.0","1.0","0.0"
"67","27","S. Michele a/A","03-01-2015 01:00","1.5","90.5","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","03-01-2015 02:00","1.3","92.7","0.0","0.0","0.9","0.0"
"67","27","S. Michele a/A","03-01-2015 03:00","1.1","90.4","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","03-01-2015 04:00","1.1","93.0","0.0","0.0","1.0","0.0"
"67","27","S. Michele a/A","03-01-2015 05:00","0.8","93.6","0.0","0.0","0.8","0.0"
"67","27","S. Michele a/A","03-01-2015 06:00","0.6","93.9","0.0","0.0","0.8","0.0"
"67","27","S. Michele a/A","03-01-2015 07:00","-0.4","96.4","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","03-01-2015 08:00","-1.2","98.9","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","03-01-2015 09:00","-1.2","100.0","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","03-01-2015 10:00","1.5","97.8","0.0","0.0","0.6","0.28"
"67","27","S. Michele a/A","03-01-2015 11:00","4.8","81.6","0.0","0.0","0.7","0.6"
"67","27","S. Michele a/A","03-01-2015 12:00","6.7","72.5","0.0","0.0","0.7","0.78"
"67","27","S. Michele a/A","03-01-2015 13:00","9.3","62.6","0.0","0.0","0.6","0.92"
"67","27","S. Michele a/A","03-01-2015 14:00","10.6","57.5","0.0","0.0","0.9","0.81"
"67","27","S. Michele a/A","03-01-2015 15:00","10.8","57.1","0.0","0.0","0.8","0.59"
"67","27","S. Michele a/A","03-01-2015 16:00","10.2","59.7","0.0","0.0","0.5","0.17"
"67","27","S. Michele a/A","03-01-2015 17:00","5.8","77.7","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","03-01-2015 18:00","3.9","87.3","0.0","0.0","0.8","0.0"
"67","27","S. Michele a/A","03-01-2015 19:00","3.3","88.1","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","03-01-2015 20:00","1.5","95.1","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","03-01-2015 21:00","1.2","96.5","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","03-01-2015 22:00","0.1","98.7","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","03-01-2015 23:00","-0.6","100.0","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","04-01-2015 00:00","0.1","100.0","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","04-01-2015 01:00","-0.4","100.0","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","04-01-2015 02:00","-0.5","100.0","0.0","0.0","0.9","0.0"
"67","27","S. Michele a/A","04-01-2015 03:00","-0.1","100.0","0.0","0.0","0.9","0.0"
"67","27","S. Michele a/A","04-01-2015 04:00","1.6","96.5","0.0","36.0","2.4","0.0"
"67","27","S. Michele a/A","04-01-2015 05:00","1.2","96.3","0.0","33.0","1.8","0.0"
"67","27","S. Michele a/A","04-01-2015 06:00","1.9","93.4","0.0","35.0","1.3","0.0"
"67","27","S. Michele a/A","04-01-2015 07:00","0.9","94.1","0.0","7.0","0.7","0.0"
"67","27","S. Michele a/A","04-01-2015 08:00","0.2","97.7","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","04-01-2015 09:00","-0.2","99.4","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","04-01-2015 10:00","2.7","96.3","0.0","37.0","1.0","0.39"
"67","27","S. Michele a/A","04-01-2015 11:00","8.2","76.0","0.0","35.0","1.3","0.84"
"67","27","S. Michele a/A","04-01-2015 12:00","11.2","59.6","0.0","0.0","2.8","1.1"
"67","27","S. Michele a/A","04-01-2015 13:00","13.1","47.6","0.0","0.0","2.3","1.15"
"67","27","S. Michele a/A","04-01-2015 14:00","15.2","32.3","0.0","0.0","2.3","1.05"
"67","27","S. Michele a/A","04-01-2015 15:00","16.0","19.6","0.0","0.0","3.0","0.75"
"67","27","S. Michele a/A","04-01-2015 16:00","15.0","16.4","0.0","0.0","3.9","0.3"
"67","27","S. Michele a/A","04-01-2015 17:00","12.4","18.5","0.0","0.0","3.2","0.0"
"67","27","S. Michele a/A","04-01-2015 18:00","10.8","22.5","0.0","0.0","2.6","0.0"
"67","27","S. Michele a/A","04-01-2015 19:00","9.9","25.2","0.0","0.0","2.0","0.0"
"67","27","S. Michele a/A","04-01-2015 20:00","9.5","27.5","0.0","0.0","3.6","0.0"
"67","27","S. Michele a/A","04-01-2015 21:00","7.6","32.9","0.0","0.0","1.8","0.0"
"67","27","S. Michele a/A","04-01-2015 22:00","7.1","32.1","0.0","0.0","2.3","0.0"
"67","27","S. Michele a/A","04-01-2015 23:00","5.5","37.2","0.0","0.0","1.7","0.0"
"67","27","S. Michele a/A","05-01-2015 00:00","5.3","36.9","0.0","0.0","1.6","0.0"
"67","27","S. Michele a/A","05-01-2015 01:00","1.4","54.8","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","05-01-2015 02:00","1.1","60.6","0.0","0.0","1.2","0.0"
"67","27","S. Michele a/A","05-01-2015 03:00","3.4","45.6","0.0","0.0","2.4","0.0"
"67","27","S. Michele a/A","05-01-2015 04:00","4.6","40.2","0.0","0.0","3.3","0.0"
"67","27","S. Michele a/A","05-01-2015 05:00","4.5","40.3","0.0","0.0","3.5","0.0"
"67","27","S. Michele a/A","05-01-2015 06:00","5.2","37.1","0.0","0.0","3.5","0.0"
"67","27","S. Michele a/A","05-01-2015 07:00","4.8","38.4","0.0","0.0","1.9","0.0"
"67","27","S. Michele a/A","05-01-2015 08:00","1.5","53.3","0.0","0.0","1.6","0.0"
"67","27","S. Michele a/A","05-01-2015 09:00","0.0","63.0","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","05-01-2015 10:00","3.0","58.9","0.0","0.0","0.8","0.39"
"67","27","S. Michele a/A","05-01-2015 11:00","7.3","43.2","0.0","0.0","0.6","0.86"
"67","27","S. Michele a/A","05-01-2015 12:00","10.9","30.7","0.0","0.0","0.4","1.1"
"67","27","S. Michele a/A","05-01-2015 13:00","12.8","26.1","0.0","0.0","0.5","1.15"
"67","27","S. Michele a/A","05-01-2015 14:00","13.0","25.2","0.0","0.0","0.8","1.03"
"67","27","S. Michele a/A","05-01-2015 15:00","12.5","26.3","0.0","0.0","1.3","0.74"
"67","27","S. Michele a/A","05-01-2015 16:00","11.1","33.8","0.0","0.0","0.6","0.28"
"67","27","S. Michele a/A","05-01-2015 17:00","6.0","49.1","0.0","0.0","1.2","0.0"
"67","27","S. Michele a/A","05-01-2015 18:00","4.5","51.5","0.0","0.0","1.1","0.0"
"67","27","S. Michele a/A","05-01-2015 19:00","2.2","63.1","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","05-01-2015 20:00","1.2","69.3","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","05-01-2015 21:00","0.8","71.8","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","05-01-2015 22:00","-0.5","77.1","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","05-01-2015 23:00","-0.7","79.4","0.0","0.0","0.6","0.0"
"67","27","S. Michele a/A","06-01-2015 00:00","-0.8","81.3","0.0","0.0","0.7","0.0"
"67","27","S. Michele a/A","06-01-2015 01:00","-1.3","80.2","0.0","0.0","0.4","0.0"
"67","27","S. Michele a/A","06-01-2015 02:00","-1.3","80.2","0.0","0.0","0.3","0.0"
"67","27","S. Michele a/A","06-01-2015 03:00","-0.9","79.5","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","06-01-2015 04:00","-1.3","80.1","0.0","0.0","0.5","0.0"
"67","27","S. Michele a/A","06-01-2015 05:00","-1.4","79.2","0.0","0.0","0.7","0.0"
