"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"68","53","S. Orsola","01-01-2017 00:00","-5.0","88.0","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","01-01-2017 01:00","-5.5","90.9","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","01-01-2017 02:00","-6.1","90.7","0.0","0.0","0.3","0.0"
"68","53","S. Orsola","01-01-2017 03:00","-6.2","93.5","0.0","0.0","0.5","0.0"
"68","53","S. Orsola","01-01-2017 04:00","-5.9","90.5","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","01-01-2017 05:00","-5.5","90.5","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","01-01-2017 06:00","-6.1","90.4","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","01-01-2017 07:00","-4.3","84.8","0.0","0.0","1.0","0.0"
"68","53","S. Orsola","01-01-2017 08:00","-6.3","89.7","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","01-01-2017 09:00","-6.8","92.9","0.0","0.0","0.8","0.06"
"68","53","S. Orsola","01-01-2017 10:00","-4.4","87.8","0.0","0.0","0.4","0.41"
"68","53","S. Orsola","01-01-2017 11:00","1.3","64.6","0.0","0.0","0.8","1.25"
"68","53","S. Orsola","01-01-2017 12:00","3.2","53.5","0.0","0.0","1.3","1.35"
"68","53","S. Orsola","01-01-2017 13:00","5.0","45.9","0.0","0.0","1.3","1.28"
"68","53","S. Orsola","01-01-2017 14:00","6.9","39.3","0.0","0.0","0.8","1.17"
"68","53","S. Orsola","01-01-2017 15:00","8.2","34.6","0.0","0.0","0.5","0.84"
"68","53","S. Orsola","01-01-2017 16:00","6.7","39.9","0.0","0.0","0.4","0.32"
"68","53","S. Orsola","01-01-2017 17:00","1.4","58.7","0.0","0.0","0.4","0.02"
"68","53","S. Orsola","01-01-2017 18:00","-2.0","73.6","0.0","0.0","0.2","0.0"
"68","53","S. Orsola","01-01-2017 19:00","-3.6","80.6","0.0","0.0","0.2","0.0"
"68","53","S. Orsola","01-01-2017 20:00","-4.1","83.3","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","01-01-2017 21:00","-4.1","84.5","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","01-01-2017 22:00","-5.2","88.2","0.0","0.0","0.7","0.0"
"68","53","S. Orsola","01-01-2017 23:00","-5.7","89.5","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 00:00","-6.5","91.7","0.0","0.0","0.5","0.0"
"68","53","S. Orsola","02-01-2017 01:00","-7.0","93.4","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 02:00","-6.8","93.2","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","02-01-2017 03:00","-6.8","92.5","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","02-01-2017 04:00","-6.5","90.6","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","02-01-2017 05:00","-7.5","92.4","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 06:00","-7.9","93.3","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 07:00","-7.8","93.6","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 08:00","-7.3","92.1","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","02-01-2017 09:00","-6.3","89.5","0.0","0.0","0.5","0.06"
"68","53","S. Orsola","02-01-2017 10:00","-4.9","85.0","0.0","0.0","0.8","0.38"
"68","53","S. Orsola","02-01-2017 11:00","0.4","63.3","0.0","0.0","0.7","1.08"
"68","53","S. Orsola","02-01-2017 12:00","2.6","52.8","0.0","0.0","0.9","1.47"
"68","53","S. Orsola","02-01-2017 13:00","4.2","45.5","0.0","0.0","1.1","1.28"
"68","53","S. Orsola","02-01-2017 14:00","5.2","40.9","0.0","0.0","1.6","1.05"
"68","53","S. Orsola","02-01-2017 15:00","6.1","37.7","0.0","0.0","1.5","0.8"
"68","53","S. Orsola","02-01-2017 16:00","4.8","42.8","0.0","0.0","1.0","0.3"
"68","53","S. Orsola","02-01-2017 17:00","2.8","50.9","0.0","0.0","0.8","0.04"
"68","53","S. Orsola","02-01-2017 18:00","0.5","60.6","0.0","0.0","0.4","0.0"
"68","53","S. Orsola","02-01-2017 19:00","-0.7","67.4","0.0","0.0","0.2","0.0"
"68","53","S. Orsola","02-01-2017 20:00","-0.9","72.3","0.0","0.0","0.6","0.0"
"68","53","S. Orsola","02-01-2017 21:00","-0.3","70.1","0.0","0.0","0.8","0.0"
"68","53","S. Orsola","02-01-2017 22:00","-1.3","74.5","0.0","0.0","0.7","0.0"
"68","53","S. Orsola","02-01-2017 23:00","0.3","63.2","0.0","0.0","1.3","0.0"
"68","53","S. Orsola","03-01-2017 00:00","-0.7","69.3","0.0","0.0","0.7","0.0"
"68","53","S. Orsola","03-01-2017 01:00","0.3","63.3","0.0","0.0","1.7","0.0"
"68","53","S. Orsola","03-01-2017 02:00","1.2","58.5","0.0","0.0","1.2","0.0"
"68","53","S. Orsola","03-01-2017 03:00","1.0","61.0","0.0","0.0","1.5","0.0"
"68","53","S. Orsola","03-01-2017 04:00","0.8","60.6","0.0","0.0","1.5","0.0"
"68","53","S. Orsola","03-01-2017 05:00","-0.1","66.5","0.0","0.0","1.7","0.0"
"68","53","S. Orsola","03-01-2017 06:00","0.2","64.4","0.0","0.0","1.8","0.0"
"68","53","S. Orsola","03-01-2017 07:00","2.3","49.8","0.0","0.0","3.5","0.0"
"68","53","S. Orsola","03-01-2017 08:00","3.2","41.8","0.0","0.0","3.7","0.0"
"68","53","S. Orsola","03-01-2017 09:00","3.4","37.4","0.0","0.0","3.9","0.06"
"68","53","S. Orsola","03-01-2017 10:00","5.5","28.5","0.0","0.0","3.7","0.37"
"68","53","S. Orsola","03-01-2017 11:00","8.4","22.6","0.0","0.0","3.8","1.08"
"68","53","S. Orsola","03-01-2017 12:00","9.3","19.2","0.0","0.0","5.0","1.34"
"68","53","S. Orsola","03-01-2017 13:00","10.1","17.9","0.0","0.0","4.5","1.39"
"68","53","S. Orsola","03-01-2017 14:00","10.9","16.7","0.0","0.0","2.9","1.25"
"68","53","S. Orsola","03-01-2017 15:00","11.0","16.3","0.0","0.0","2.7","0.94"
"68","53","S. Orsola","03-01-2017 16:00","9.6","18.0","0.0","0.0","1.3","0.38"
