"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"69","91","Sarche","01-01-2016 00:00","0.7","91.2","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 01:00","0.9","91.2","0.0","0.0","0.1","0.0"
"69","91","Sarche","01-01-2016 02:00","0.6","90.8","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 03:00","-0.2","93.7","0.0","0.0","0.1","0.0"
"69","91","Sarche","01-01-2016 04:00","0.3","91.4","0.0","0.0","0.3","0.0"
"69","91","Sarche","01-01-2016 05:00","0.6","87.3","0.0","0.0","0.9","0.0"
"69","91","Sarche","01-01-2016 06:00","0.3","87.0","0.0","0.0","0.4","0.0"
"69","91","Sarche","01-01-2016 07:00","1.5","79.9","0.0","0.0","1.2","0.0"
"69","91","Sarche","01-01-2016 08:00","1.6","78.5","0.0","0.0","1.8","0.0"
"69","91","Sarche","01-01-2016 09:00","1.8","76.8","0.0","0.0","2.5","0.05"
"69","91","Sarche","01-01-2016 10:00","2.4","74.2","0.0","0.0","1.1","0.36"
"69","91","Sarche","01-01-2016 11:00","5.4","62.5","0.0","0.0","0.7","0.88"
"69","91","Sarche","01-01-2016 12:00","6.6","56.4","0.0","0.0","0.8","1.09"
"69","91","Sarche","01-01-2016 13:00","7.6","51.6","0.0","0.0","1.4","1.12"
"69","91","Sarche","01-01-2016 14:00","7.2","53.7","0.0","0.0","2.2","0.94"
"69","91","Sarche","01-01-2016 15:00","6.9","58.5","0.0","0.0","2.3","0.6"
"69","91","Sarche","01-01-2016 16:00","5.3","69.5","0.0","0.0","1.4","0.13"
"69","91","Sarche","01-01-2016 17:00","2.3","81.9","0.0","0.0","0.0","0.02"
"69","91","Sarche","01-01-2016 18:00","-0.4","91.0","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 19:00","-1.2","94.3","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 20:00","-0.2","92.9","0.0","0.0","0.3","0.0"
"69","91","Sarche","01-01-2016 21:00","-0.4","92.6","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 22:00","0.8","89.5","0.0","0.0","0.0","0.0"
"69","91","Sarche","01-01-2016 23:00","1.3","87.0","0.0","0.0","0.1","0.0"
"69","91","Sarche","02-01-2016 00:00","1.8","83.2","0.0","0.0","0.4","0.0"
"69","91","Sarche","02-01-2016 01:00","2.4","81.0","0.0","0.0","0.7","0.0"
"69","91","Sarche","02-01-2016 02:00","2.6","79.1","0.0","0.0","2.0","0.0"
"69","91","Sarche","02-01-2016 03:00","2.4","78.4","0.0","0.0","2.3","0.0"
"69","91","Sarche","02-01-2016 04:00","1.9","79.6","0.0","0.0","2.3","0.0"
"69","91","Sarche","02-01-2016 05:00","1.6","80.9","0.0","0.0","2.2","0.0"
"69","91","Sarche","02-01-2016 06:00","1.3","82.8","0.0","0.0","1.6","0.0"
"69","91","Sarche","02-01-2016 07:00","0.8","84.9","0.0","0.0","1.4","0.0"
"69","91","Sarche","02-01-2016 08:00","0.9","83.4","0.0","0.0","1.9","0.0"
