"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"72","63","Serravalle","01-01-2017 00:00","-2.9","82.3","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 01:00","-3.2","82.3","0.0","0.0","0.1","0.0"
"72","63","Serravalle","01-01-2017 02:00","-3.6","84.3","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 03:00","-3.9","85.0","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 04:00","-4.2","85.6","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 05:00","-4.4","85.0","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 06:00","-4.5","83.3","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 07:00","-4.7","83.3","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 08:00","-5.2","85.9","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 09:00","-4.8","83.9","0.0","0.0","0.0","0.05"
"72","63","Serravalle","01-01-2017 10:00","-3.6","79.1","0.0","0.0","0.0","0.28"
"72","63","Serravalle","01-01-2017 11:00","3.2","52.4","0.0","0.0","0.0","0.94"
"72","63","Serravalle","01-01-2017 12:00","5.8","41.7","0.0","0.0","0.1","1.17"
"72","63","Serravalle","01-01-2017 13:00","7.0","37.5","0.0","0.0","0.4","1.24"
"72","63","Serravalle","01-01-2017 14:00","8.1","33.4","0.0","0.0","0.4","1.13"
"72","63","Serravalle","01-01-2017 15:00","8.5","31.3","0.0","0.0","0.7","0.84"
"72","63","Serravalle","01-01-2017 16:00","5.7","38.6","0.0","0.0","0.6","0.25"
"72","63","Serravalle","01-01-2017 17:00","1.4","60.9","0.0","0.0","0.2","0.03"
"72","63","Serravalle","01-01-2017 18:00","0.2","63.4","0.0","0.0","0.2","0.0"
"72","63","Serravalle","01-01-2017 19:00","-1.2","69.1","0.0","0.0","0.0","0.0"
"72","63","Serravalle","01-01-2017 20:00","-1.8","73.1","0.0","0.0","0.1","0.0"
"72","63","Serravalle","01-01-2017 21:00","-2.5","75.2","0.0","0.0","0.1","0.0"
"72","63","Serravalle","01-01-2017 22:00","-2.9","76.5","0.0","0.0","0.1","0.0"
"72","63","Serravalle","01-01-2017 23:00","-3.4","79.2","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 00:00","-3.6","78.9","0.0","0.0","0.0","0.0"
"72","63","Serravalle","02-01-2017 01:00","-4.2","81.5","0.0","0.0","0.0","0.0"
"72","63","Serravalle","02-01-2017 02:00","-4.4","80.6","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 03:00","-4.5","80.8","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 04:00","-5.0","82.7","0.0","0.0","0.0","0.0"
"72","63","Serravalle","02-01-2017 05:00","-5.2","83.7","0.0","0.0","0.0","0.0"
"72","63","Serravalle","02-01-2017 06:00","-5.4","81.4","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 07:00","-5.5","86.1","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 08:00","-5.6","83.9","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 09:00","-5.7","84.9","0.0","0.0","0.1","0.06"
"72","63","Serravalle","02-01-2017 10:00","-4.4","82.0","0.0","0.0","0.0","0.28"
"72","63","Serravalle","02-01-2017 11:00","1.3","57.4","0.0","0.0","0.1","0.91"
"72","63","Serravalle","02-01-2017 12:00","4.3","45.5","0.0","0.0","0.2","1.13"
"72","63","Serravalle","02-01-2017 13:00","5.8","39.3","0.0","0.0","0.4","1.2"
"72","63","Serravalle","02-01-2017 14:00","6.3","37.0","0.0","0.0","0.3","0.91"
"72","63","Serravalle","02-01-2017 15:00","6.9","34.1","0.0","0.0","0.6","0.82"
"72","63","Serravalle","02-01-2017 16:00","4.8","39.3","0.0","0.0","0.3","0.29"
"72","63","Serravalle","02-01-2017 17:00","1.9","56.2","0.0","0.0","0.1","0.04"
"72","63","Serravalle","02-01-2017 18:00","0.5","62.5","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 19:00","-0.1","66.9","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 20:00","-0.3","67.4","0.0","0.0","0.2","0.0"
"72","63","Serravalle","02-01-2017 21:00","-0.9","70.4","0.0","0.0","0.1","0.0"
"72","63","Serravalle","02-01-2017 22:00","-1.4","75.4","0.0","0.0","0.2","0.0"
"72","63","Serravalle","02-01-2017 23:00","-1.4","73.5","0.0","0.0","0.1","0.0"
