"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"73","35","Spormaggiore","01-01-2017 00:00","-0.5","70.3","0.0","0.0","0.7","0.0"
"73","35","Spormaggiore","01-01-2017 01:00","-0.5","70.4","0.0","0.0","1.3","0.0"
"73","35","Spormaggiore","01-01-2017 02:00","-0.1","67.9","0.0","0.0","1.6","0.0"
"73","35","Spormaggiore","01-01-2017 03:00","0.2","65.5","0.0","0.0","1.6","0.0"
"73","35","Spormaggiore","01-01-2017 04:00","-0.2","66.9","0.0","0.0","1.0","0.0"
"73","35","Spormaggiore","01-01-2017 05:00","-0.6","68.6","0.0","0.0","1.1","0.0"
"73","35","Spormaggiore","01-01-2017 06:00","-0.6","68.2","0.0","0.0","1.3","0.0"
"73","35","Spormaggiore","01-01-2017 07:00","-0.9","69.3","0.0","0.0","1.6","0.0"
"73","35","Spormaggiore","01-01-2017 08:00","-0.6","67.3","0.0","0.0","1.3","0.0"
"73","35","Spormaggiore","01-01-2017 09:00","-1.0","69.2","0.0","0.0","1.7","0.03"
"73","35","Spormaggiore","01-01-2017 10:00","0.2","63.6","0.0","0.0","1.7","0.25"
"73","35","Spormaggiore","01-01-2017 11:00","3.4","50.6","0.0","0.0","1.4","0.87"
"73","35","Spormaggiore","01-01-2017 12:00","5.0","44.9","0.0","0.0","1.7","1.07"
"73","35","Spormaggiore","01-01-2017 13:00","7.0","38.4","0.0","0.0","1.7","1.21"
"73","35","Spormaggiore","01-01-2017 14:00","8.5","34.3","0.0","0.0","1.0","1.08"
"73","35","Spormaggiore","01-01-2017 15:00","8.5","33.7","0.0","0.0","0.1","0.54"
"73","35","Spormaggiore","01-01-2017 16:00","5.3","43.2","0.0","0.0","0.0","0.08"
"73","35","Spormaggiore","01-01-2017 17:00","2.2","55.3","0.0","0.0","0.0","0.02"
"73","35","Spormaggiore","01-01-2017 18:00","-0.1","64.5","0.0","0.0","0.0","0.0"
"73","35","Spormaggiore","01-01-2017 19:00","-1.0","69.9","0.0","0.0","0.0","0.0"
"73","35","Spormaggiore","01-01-2017 20:00","-1.5","71.7","0.0","0.0","0.0","0.0"
"73","35","Spormaggiore","01-01-2017 21:00","-1.2","71.5","0.0","0.0","0.3","0.0"
"73","35","Spormaggiore","01-01-2017 22:00","-1.2","72.0","0.0","0.0","0.2","0.0"
"73","35","Spormaggiore","01-01-2017 23:00","-1.7","74.6","0.0","0.0","0.2","0.0"
