"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"74","90","Stenico","01-01-2017 00:00","1.4","52.2","0.0","0.0","0.2","0.0"
"74","90","Stenico","01-01-2017 01:00","0.9","54.4","0.0","0.0","0.2","0.0"
"74","90","Stenico","01-01-2017 02:00","0.8","54.6","0.0","0.0","0.4","0.0"
"74","90","Stenico","01-01-2017 03:00","0.1","57.1","0.0","0.0","0.0","0.0"
"74","90","Stenico","01-01-2017 04:00","-0.1","56.5","0.0","0.0","0.3","0.0"
"74","90","Stenico","01-01-2017 05:00","0.2","55.1","0.0","0.0","0.3","0.0"
"74","90","Stenico","01-01-2017 06:00","-0.4","57.5","0.0","0.0","0.1","0.0"
"74","90","Stenico","01-01-2017 07:00","-0.8","58.3","0.0","0.0","0.0","0.0"
"74","90","Stenico","01-01-2017 08:00","-0.9","58.7","0.0","0.0","0.1","0.0"
"74","90","Stenico","01-01-2017 09:00","-1.0","59.6","0.0","0.0","0.1","0.05"
"74","90","Stenico","01-01-2017 10:00","0.0","59.1","0.0","0.0","0.2","0.47"
"74","90","Stenico","01-01-2017 11:00","2.1","53.8","0.0","0.0","0.0","0.99"
"74","90","Stenico","01-01-2017 12:00","3.9","50.4","0.0","0.0","0.0","1.26"
"74","90","Stenico","01-01-2017 13:00","5.9","43.6","0.0","0.0","0.0","1.38"
"74","90","Stenico","01-01-2017 14:00","7.2","37.1","0.0","0.0","0.0","1.26"
"74","90","Stenico","01-01-2017 15:00","8.0","34.9","0.0","0.0","0.0","0.91"
"74","90","Stenico","01-01-2017 16:00","7.4","36.6","0.0","0.0","0.0","0.46"
"74","90","Stenico","01-01-2017 17:00","4.7","42.3","0.0","0.0","0.0","0.04"
"74","90","Stenico","01-01-2017 18:00","3.5","43.6","0.0","0.0","0.0","0.0"
"74","90","Stenico","01-01-2017 19:00","2.7","45.7","0.0","0.0","0.0","0.0"
"74","90","Stenico","01-01-2017 20:00","1.8","47.8","0.0","0.0","0.0","0.0"
"74","90","Stenico","01-01-2017 21:00","1.8","48.1","0.0","0.0","0.4","0.0"
"74","90","Stenico","01-01-2017 22:00","1.0","50.9","0.0","0.0","0.1","0.0"
"74","90","Stenico","01-01-2017 23:00","0.3","52.9","0.0","0.0","0.0","0.0"
"74","90","Stenico","02-01-2017 00:00","0.0","54.6","0.0","0.0","0.7","0.0"
"74","90","Stenico","02-01-2017 01:00","0.0","55.1","0.0","0.0","0.5","0.0"
"74","90","Stenico","02-01-2017 02:00","-1.0","58.7","0.0","0.0","0.1","0.0"
"74","90","Stenico","02-01-2017 03:00","-1.3","60.4","0.0","0.0","0.5","0.0"
"74","90","Stenico","02-01-2017 04:00","-1.4","60.8","0.0","0.0","0.3","0.0"
"74","90","Stenico","02-01-2017 05:00","-1.8","62.4","0.0","0.0","0.3","0.0"
"74","90","Stenico","02-01-2017 06:00","-2.2","64.8","0.0","0.0","0.3","0.0"
"74","90","Stenico","02-01-2017 07:00","-2.1","64.0","0.0","0.0","0.1","0.0"
"74","90","Stenico","02-01-2017 08:00","-2.3","64.6","0.0","0.0","0.4","0.0"
"74","90","Stenico","02-01-2017 09:00","-2.0","63.9","0.0","0.0","0.6","0.06"
"74","90","Stenico","02-01-2017 10:00","-1.3","62.3","0.0","0.0","0.6","0.46"
"74","90","Stenico","02-01-2017 11:00","0.4","58.9","0.0","0.0","0.2","0.95"
"74","90","Stenico","02-01-2017 12:00","2.2","52.2","0.0","0.0","0.1","1.24"
"74","90","Stenico","02-01-2017 13:00","3.9","47.2","0.0","0.0","0.1","1.35"
"74","90","Stenico","02-01-2017 14:00","5.6","42.7","0.0","0.0","0.1","1.21"
"74","90","Stenico","02-01-2017 15:00","6.2","41.3","0.0","0.0","0.1","0.89"
"74","90","Stenico","02-01-2017 16:00","5.0","43.2","0.0","0.0","0.0","0.29"
"74","90","Stenico","02-01-2017 17:00","3.4","48.8","0.0","0.0","0.0","0.03"
"74","90","Stenico","02-01-2017 18:00","2.2","53.8","0.0","0.0","0.0","0.0"
"74","90","Stenico","02-01-2017 19:00","1.4","61.4","0.0","0.0","0.0","0.0"
"74","90","Stenico","02-01-2017 20:00","1.2","63.9","0.0","0.0","0.0","0.0"
"74","90","Stenico","02-01-2017 21:00","1.0","65.5","0.0","0.0","0.0","0.0"
"74","90","Stenico","02-01-2017 22:00","0.8","65.1","0.0","0.0","0.4","0.0"
"74","90","Stenico","02-01-2017 23:00","0.6","66.9","0.0","0.0","0.1","0.0"
"74","90","Stenico","03-01-2017 00:00","0.6","66.7","0.0","0.0","0.1","0.0"
"74","90","Stenico","03-01-2017 01:00","0.3","69.0","0.0","0.0","0.3","0.0"
"74","90","Stenico","03-01-2017 02:00","0.3","70.1","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 03:00","0.3","70.8","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 04:00","0.5","70.2","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 05:00","0.2","68.5","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 06:00","1.1","54.8","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 07:00","1.8","44.9","0.0","0.0","0.2","0.0"
"74","90","Stenico","03-01-2017 08:00","1.5","41.2","0.0","0.0","0.0","0.0"
"74","90","Stenico","03-01-2017 09:00","1.1","41.1","0.0","0.0","0.2","0.05"
"74","90","Stenico","03-01-2017 10:00","2.8","35.9","0.0","0.0","0.0","0.48"
"74","90","Stenico","03-01-2017 11:00","4.3","34.3","0.0","0.0","0.2","1.01"
"74","90","Stenico","03-01-2017 12:00","5.6","29.3","0.0","0.0","0.5","1.3"
"74","90","Stenico","03-01-2017 13:00","6.4","25.5","0.0","0.0","0.6","1.4"
"74","90","Stenico","03-01-2017 14:00","7.2","22.9","0.0","0.0","0.6","1.33"
"74","90","Stenico","03-01-2017 15:00","7.2","22.0","0.0","0.0","0.6","1.07"
"74","90","Stenico","03-01-2017 16:00","6.6","26.3","0.0","0.0","0.2","0.52"
"74","90","Stenico","03-01-2017 17:00","3.5","36.0","0.0","0.0","0.4","0.03"
"74","90","Stenico","03-01-2017 18:00","1.8","46.5","0.0","0.0","0.1","0.0"
"74","90","Stenico","03-01-2017 19:00","1.1","50.1","0.0","0.0","0.6","0.0"
"74","90","Stenico","03-01-2017 20:00","0.7","52.2","0.0","0.0","0.2","0.0"
"74","90","Stenico","03-01-2017 21:00","0.1","55.7","0.0","0.0","0.7","0.0"
"74","90","Stenico","03-01-2017 22:00","-0.6","56.7","0.0","0.0","2.6","0.0"
"74","90","Stenico","03-01-2017 23:00","-1.0","56.1","0.0","0.0","2.2","0.0"
"74","90","Stenico","04-01-2017 00:00","-1.5","56.1","0.0","0.0","0.2","0.0"
"74","90","Stenico","04-01-2017 01:00","-1.7","56.6","0.0","0.0","1.7","0.0"
"74","90","Stenico","04-01-2017 02:00","-2.7","59.8","0.0","0.0","0.3","0.0"
"74","90","Stenico","04-01-2017 03:00","-2.3","56.0","0.0","0.0","1.3","0.0"
"74","90","Stenico","04-01-2017 04:00","-2.9","58.1","0.0","0.0","0.1","0.0"
"74","90","Stenico","04-01-2017 05:00","-2.6","55.4","0.0","0.0","1.5","0.0"
"74","90","Stenico","04-01-2017 06:00","-2.4","53.4","0.0","0.0","1.5","0.0"
"74","90","Stenico","04-01-2017 07:00","-3.2","57.1","0.0","0.0","0.2","0.0"
"74","90","Stenico","04-01-2017 08:00","-3.5","58.7","0.0","0.0","0.0","0.0"
"74","90","Stenico","04-01-2017 09:00","-3.0","54.4","0.0","0.0","0.0","0.04"
"74","90","Stenico","04-01-2017 10:00","-2.0","53.9","0.0","0.0","0.4","0.46"
"74","90","Stenico","04-01-2017 11:00","-0.5","53.4","0.0","0.0","0.1","0.98"
"74","90","Stenico","04-01-2017 12:00","1.6","46.2","0.0","0.0","0.1","1.18"
"74","90","Stenico","04-01-2017 13:00","3.7","39.3","0.0","0.0","0.3","1.35"
"74","90","Stenico","04-01-2017 14:00","5.5","34.9","0.0","0.0","0.5","1.32"
"74","90","Stenico","04-01-2017 15:00","6.7","28.3","0.0","0.0","0.3","1.05"
"74","90","Stenico","04-01-2017 16:00","6.5","29.9","0.0","0.0","0.1","0.49"
"74","90","Stenico","04-01-2017 17:00","4.3","36.0","0.0","0.0","0.1","0.05"
"74","90","Stenico","04-01-2017 18:00","3.6","37.6","0.0","0.0","0.2","0.0"
"74","90","Stenico","04-01-2017 19:00","2.7","41.6","0.0","0.0","0.6","0.0"
"74","90","Stenico","04-01-2017 20:00","1.8","45.4","0.0","0.0","0.6","0.0"
"74","90","Stenico","04-01-2017 21:00","1.8","46.2","0.0","0.0","0.8","0.0"
"74","90","Stenico","04-01-2017 22:00","1.7","46.4","0.0","0.0","0.4","0.0"
"74","90","Stenico","04-01-2017 23:00","4.2","35.7","0.0","0.0","1.2","0.0"
"74","90","Stenico","05-01-2017 00:00","3.8","40.2","0.0","0.0","2.1","0.0"
"74","90","Stenico","05-01-2017 01:00","3.3","38.5","0.0","0.0","1.7","0.0"
"74","90","Stenico","05-01-2017 02:00","2.5","40.5","0.0","0.0","1.9","0.0"
"74","90","Stenico","05-01-2017 03:00","2.7","31.7","0.0","0.0","1.7","0.0"
"74","90","Stenico","05-01-2017 04:00","1.4","37.1","0.0","0.0","0.7","0.0"
"74","90","Stenico","05-01-2017 05:00","0.9","36.2","0.0","0.0","0.5","0.0"
"74","90","Stenico","05-01-2017 06:00","0.4","41.8","0.0","0.0","0.1","0.0"
"74","90","Stenico","05-01-2017 07:00","0.5","40.0","0.0","0.0","0.4","0.0"
"74","90","Stenico","05-01-2017 08:00","1.1","30.9","0.0","0.0","1.0","0.0"
"74","90","Stenico","05-01-2017 09:00","0.3","29.7","0.0","0.0","0.4","0.09"
"74","90","Stenico","05-01-2017 10:00","1.5","27.9","0.0","0.0","0.8","0.57"
"74","90","Stenico","05-01-2017 11:00","2.2","31.1","0.0","0.0","0.7","0.98"
"74","90","Stenico","05-01-2017 12:00","2.4","25.9","0.0","0.0","0.6","0.89"
"74","90","Stenico","05-01-2017 13:00","3.2","21.7","0.0","0.0","1.4","1.36"
"74","90","Stenico","05-01-2017 14:00","3.8","20.2","0.0","0.0","1.8","1.59"
"74","90","Stenico","05-01-2017 15:00","1.5","19.7","0.0","0.0","1.2","0.43"
"74","90","Stenico","05-01-2017 16:00","1.0","17.1","0.0","0.0","1.2","0.24"
"74","90","Stenico","05-01-2017 17:00","0.0","17.2","0.0","0.0","0.9","0.06"
"74","90","Stenico","05-01-2017 18:00","-0.8","18.3","0.0","0.0","1.3","0.0"
"74","90","Stenico","05-01-2017 19:00","-1.2","20.5","0.0","0.0","0.9","0.0"
"74","90","Stenico","05-01-2017 20:00","-1.9","24.2","0.0","0.0","0.3","0.0"
"74","90","Stenico","05-01-2017 21:00","-2.1","26.2","0.0","0.0","0.6","0.0"
