"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"75","82","Storo","01-01-2017 00:00","-4.8","89.1","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 01:00","-5.2","90.2","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 02:00","-5.1","88.6","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2017 03:00","-5.7","90.6","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 04:00","-5.9","91.3","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2017 05:00","-6.2","91.6","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 06:00","-6.1","93.4","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 07:00","-6.4","92.7","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 08:00","-6.5","92.3","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 09:00","-6.7","93.6","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 10:00","-6.2","92.9","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 11:00","-4.9","91.4","0.0","0.0","0.2","0.28"
"75","82","Storo","01-01-2017 12:00","0.3","74.3","0.0","24.0","0.1","1.32"
"75","82","Storo","01-01-2017 13:00","2.1","62.1","0.0","0.0","0.0","1.28"
"75","82","Storo","01-01-2017 14:00","4.2","52.6","0.0","0.0","0.1","1.06"
"75","82","Storo","01-01-2017 15:00","5.7","47.5","0.0","0.0","0.1","0.75"
"75","82","Storo","01-01-2017 16:00","4.4","52.7","0.0","0.0","0.0","0.27"
"75","82","Storo","01-01-2017 17:00","1.1","63.9","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 18:00","-1.5","77.2","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 19:00","-2.9","83.3","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 20:00","-3.2","84.4","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 21:00","-3.7","82.9","0.0","0.0","0.3","0.0"
"75","82","Storo","01-01-2017 22:00","-4.1","85.9","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2017 23:00","-4.9","87.1","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 00:00","-5.2","86.7","0.0","0.0","0.1","0.0"
"75","82","Storo","02-01-2017 01:00","-5.4","87.8","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 02:00","-5.9","88.1","0.0","0.0","0.2","0.0"
"75","82","Storo","02-01-2017 03:00","-5.7","88.7","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 04:00","-6.4","90.8","0.0","0.0","0.1","0.0"
"75","82","Storo","02-01-2017 05:00","-6.8","90.1","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 06:00","-6.7","90.5","0.0","0.0","0.1","0.0"
"75","82","Storo","02-01-2017 07:00","-7.1","90.9","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 08:00","-7.3","91.5","0.0","0.0","0.1","0.0"
"75","82","Storo","02-01-2017 09:00","-6.9","91.0","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 10:00","-6.3","89.8","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2017 11:00","-5.4","89.5","0.0","0.0","0.1","0.3"
"75","82","Storo","02-01-2017 12:00","-0.5","75.3","0.0","9.0","0.1","1.35"
"75","82","Storo","02-01-2017 13:00","2.1","62.0","0.0","0.0","0.0","1.26"
"75","82","Storo","02-01-2017 14:00","4.0","55.8","0.0","0.0","0.1","0.97"
"75","82","Storo","02-01-2017 15:00","5.1","51.8","0.0","0.0","0.2","0.78"
"75","82","Storo","02-01-2017 16:00","4.6","56.8","0.0","0.0","0.1","0.23"
"75","82","Storo","02-01-2017 17:00","3.7","59.2","0.0","0.0","0.9","0.01"
"75","82","Storo","02-01-2017 18:00","3.7","61.6","0.0","0.0","1.9","0.0"
"75","82","Storo","02-01-2017 19:00","4.3","60.5","0.0","0.0","1.7","0.0"
"75","82","Storo","02-01-2017 20:00","4.1","61.3","0.0","0.0","1.6","0.0"
"75","82","Storo","02-01-2017 21:00","3.7","60.2","0.0","0.0","1.2","0.0"
"75","82","Storo","02-01-2017 22:00","1.7","67.8","0.0","0.0","0.5","0.0"
"75","82","Storo","02-01-2017 23:00","-0.2","80.1","0.0","0.0","0.1","0.0"
"75","82","Storo","03-01-2017 00:00","-0.5","83.0","0.0","0.0","0.0","0.0"
"75","82","Storo","03-01-2017 01:00","-0.5","83.5","0.0","0.0","0.0","0.0"
"75","82","Storo","03-01-2017 02:00","-0.6","85.0","0.0","0.0","0.0","0.0"
"75","82","Storo","03-01-2017 03:00","-1.1","87.3","0.0","0.0","0.0","0.0"
"75","82","Storo","03-01-2017 04:00","-1.5","88.1","0.0","0.0","0.0","0.0"
