"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"76","81","Telve","01-01-2017 00:00","-2.5","70.0","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 01:00","-2.9","72.2","0.0","0.0","0.5","0.0"
"76","81","Telve","01-01-2017 02:00","-3.4","74.3","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 03:00","-3.6","76.6","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 04:00","-3.3","73.1","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 05:00","-3.7","73.9","0.0","0.0","0.3","0.0"
"76","81","Telve","01-01-2017 06:00","-4.2","76.7","0.0","0.0","0.5","0.0"
"76","81","Telve","01-01-2017 07:00","-4.2","76.6","0.0","0.0","0.5","0.0"
"76","81","Telve","01-01-2017 08:00","-4.8","79.9","0.0","0.0","0.5","0.0"
"76","81","Telve","01-01-2017 09:00","-4.4","80.9","0.0","0.0","0.6","0.06"
"76","81","Telve","01-01-2017 10:00","-3.9","76.6","0.0","0.0","0.4","0.11"
"76","81","Telve","01-01-2017 11:00","-1.3","69.4","0.0","0.0","0.5","1.04"
"76","81","Telve","01-01-2017 12:00","1.7","58.8","0.0","0.0","0.5","1.24"
"76","81","Telve","01-01-2017 13:00","4.2","46.2","0.0","0.0","0.6","1.21"
"76","81","Telve","01-01-2017 14:00","5.4","39.0","0.0","0.0","0.7","0.77"
"76","81","Telve","01-01-2017 15:00","4.4","39.6","0.0","0.0","1.0","0.6"
"76","81","Telve","01-01-2017 16:00","2.7","43.3","0.0","0.0","0.6","0.21"
"76","81","Telve","01-01-2017 17:00","1.3","48.7","0.0","0.0","0.3","0.02"
"76","81","Telve","01-01-2017 18:00","0.8","52.1","0.0","0.0","0.2","0.0"
"76","81","Telve","01-01-2017 19:00","0.1","53.7","0.0","0.0","0.3","0.0"
"76","81","Telve","01-01-2017 20:00","-0.9","58.3","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 21:00","-1.3","60.1","0.0","0.0","0.4","0.0"
"76","81","Telve","01-01-2017 22:00","-2.4","65.8","0.0","0.0","0.5","0.0"
"76","81","Telve","01-01-2017 23:00","-2.4","65.3","0.0","0.0","0.3","0.0"
"76","81","Telve","02-01-2017 00:00","-2.9","66.0","0.0","0.0","0.3","0.0"
"76","81","Telve","02-01-2017 01:00","-3.6","70.7","0.0","0.0","0.4","0.0"
"76","81","Telve","02-01-2017 02:00","-3.8","72.0","0.0","0.0","0.6","0.0"
"76","81","Telve","02-01-2017 03:00","-4.0","73.6","0.0","0.0","0.5","0.0"
"76","81","Telve","02-01-2017 04:00","-3.8","70.0","0.0","0.0","0.4","0.0"
"76","81","Telve","02-01-2017 05:00","-4.8","76.7","0.0","0.0","0.5","0.0"
"76","81","Telve","02-01-2017 06:00","-4.7","76.8","0.0","0.0","0.6","0.0"
"76","81","Telve","02-01-2017 07:00","-4.7","76.0","0.0","0.0","0.6","0.0"
"76","81","Telve","02-01-2017 08:00","-4.7","76.3","0.0","0.0","0.5","0.0"
"76","81","Telve","02-01-2017 09:00","-4.4","72.8","0.0","0.0","0.5","0.06"
"76","81","Telve","02-01-2017 10:00","-4.3","74.1","0.0","0.0","0.4","0.13"
"76","81","Telve","02-01-2017 11:00","-1.6","64.7","0.0","0.0","1.0","0.97"
"76","81","Telve","02-01-2017 12:00","0.9","54.2","0.0","0.0","0.9","1.18"
"76","81","Telve","02-01-2017 13:00","3.4","43.6","0.0","0.0","0.9","1.18"
"76","81","Telve","02-01-2017 14:00","2.6","43.9","0.0","0.0","1.9","0.79"
"76","81","Telve","02-01-2017 15:00","2.4","43.2","0.0","0.0","1.0","0.51"
"76","81","Telve","02-01-2017 16:00","2.7","43.2","0.0","0.0","0.6","0.24"
"76","81","Telve","02-01-2017 17:00","1.7","47.4","0.0","0.0","0.5","0.03"
"76","81","Telve","02-01-2017 18:00","0.7","53.6","0.0","0.0","0.4","0.0"
"76","81","Telve","02-01-2017 19:00","-0.2","63.1","0.0","0.0","0.3","0.0"
"76","81","Telve","02-01-2017 20:00","-0.1","64.7","0.0","0.0","0.3","0.0"
"76","81","Telve","02-01-2017 21:00","-0.4","65.4","0.0","0.0","0.4","0.0"
"76","81","Telve","02-01-2017 22:00","-0.9","67.5","0.0","0.0","0.7","0.0"
"76","81","Telve","02-01-2017 23:00","-1.2","70.9","0.0","0.0","0.4","0.0"
"76","81","Telve","03-01-2017 00:00","-0.9","70.4","0.0","0.0","0.4","0.0"
"76","81","Telve","03-01-2017 01:00","-1.4","73.3","0.0","0.0","0.8","0.0"
"76","81","Telve","03-01-2017 02:00","-1.3","72.8","0.0","0.0","0.6","0.0"
"76","81","Telve","03-01-2017 03:00","-1.3","74.0","0.0","0.0","0.6","0.0"
"76","81","Telve","03-01-2017 04:00","-1.3","74.4","0.0","0.0","0.5","0.0"
"76","81","Telve","03-01-2017 05:00","-1.6","75.0","0.0","0.0","0.5","0.0"
"76","81","Telve","03-01-2017 06:00","-1.3","71.6","0.0","0.0","1.5","0.0"
"76","81","Telve","03-01-2017 07:00","-1.2","70.6","0.0","0.0","1.4","0.0"
"76","81","Telve","03-01-2017 08:00","-1.8","70.7","0.0","0.0","0.9","0.0"
"76","81","Telve","03-01-2017 09:00","-2.6","72.7","0.0","0.0","1.1","0.06"
"76","81","Telve","03-01-2017 10:00","-2.8","76.1","0.0","0.0","0.7","0.11"
"76","81","Telve","03-01-2017 11:00","0.9","62.2","0.0","0.0","0.8","0.95"
"76","81","Telve","03-01-2017 12:00","2.6","52.6","0.0","0.0","1.0","1.22"
"76","81","Telve","03-01-2017 13:00","5.1","41.4","0.0","0.0","0.9","1.24"
"76","81","Telve","03-01-2017 14:00","6.3","31.9","0.0","0.0","1.0","0.8"
"76","81","Telve","03-01-2017 15:00","4.8","39.1","0.0","0.0","1.8","0.62"
"76","81","Telve","03-01-2017 16:00","4.4","39.5","0.0","0.0","1.2","0.23"
"76","81","Telve","03-01-2017 17:00","2.1","45.9","0.0","0.0","0.4","0.02"
"76","81","Telve","03-01-2017 18:00","1.0","42.5","0.0","0.0","0.7","0.0"
"76","81","Telve","03-01-2017 19:00","0.2","46.1","0.0","0.0","0.6","0.0"
"76","81","Telve","03-01-2017 20:00","-1.1","52.3","0.0","0.0","0.7","0.0"
"76","81","Telve","03-01-2017 21:00","-1.6","53.2","0.0","0.0","0.5","0.0"
"76","81","Telve","03-01-2017 22:00","-1.6","51.4","0.0","0.0","0.4","0.0"
"76","81","Telve","03-01-2017 23:00","-2.4","56.0","0.0","0.0","0.5","0.0"
"76","81","Telve","04-01-2017 00:00","-2.3","56.6","0.0","0.0","1.0","0.0"
"76","81","Telve","04-01-2017 01:00","-2.9","60.8","0.0","0.0","0.6","0.0"
"76","81","Telve","04-01-2017 02:00","-3.1","64.2","0.0","0.0","0.9","0.0"
"76","81","Telve","04-01-2017 03:00","-3.0","66.3","0.0","0.0","0.8","0.0"
"76","81","Telve","04-01-2017 04:00","-3.8","72.0","0.0","0.0","0.5","0.0"
"76","81","Telve","04-01-2017 05:00","-3.4","67.8","0.0","0.0","0.6","0.0"
"76","81","Telve","04-01-2017 06:00","-4.1","71.8","0.0","0.0","0.7","0.0"
"76","81","Telve","04-01-2017 07:00","-3.8","66.9","0.0","0.0","0.7","0.0"
"76","81","Telve","04-01-2017 08:00","-4.6","70.4","0.0","0.0","0.7","0.0"
"76","81","Telve","04-01-2017 09:00","-4.4","67.1","0.0","0.0","0.7","0.06"
"76","81","Telve","04-01-2017 10:00","-3.4","58.3","0.0","0.0","1.5","0.13"
"76","81","Telve","04-01-2017 11:00","-1.3","51.3","0.0","0.0","2.0","0.95"
"76","81","Telve","04-01-2017 12:00","1.4","40.5","0.0","0.0","1.7","1.15"
"76","81","Telve","04-01-2017 13:00","3.8","31.1","0.0","0.0","0.8","1.17"
"76","81","Telve","04-01-2017 14:00","5.8","26.4","0.0","0.0","1.0","0.78"
"76","81","Telve","04-01-2017 15:00","6.7","26.2","0.0","0.0","1.0","0.69"
"76","81","Telve","04-01-2017 16:00","3.0","32.5","0.0","0.0","1.8","0.36"
"76","81","Telve","04-01-2017 17:00","1.8","36.9","0.0","0.0","1.4","0.06"
"76","81","Telve","04-01-2017 18:00","0.9","45.4","0.0","0.0","0.8","0.0"
"76","81","Telve","04-01-2017 19:00","-0.6","54.8","0.0","0.0","0.8","0.0"
"76","81","Telve","04-01-2017 20:00","-1.3","58.6","0.0","0.0","1.0","0.0"
"76","81","Telve","04-01-2017 21:00","-1.0","61.1","0.0","0.0","1.4","0.0"
"76","81","Telve","04-01-2017 22:00","1.0","53.1","0.0","0.0","1.8","0.0"
"76","81","Telve","04-01-2017 23:00","4.0","36.9","0.0","0.0","2.1","0.0"
"76","81","Telve","05-01-2017 00:00","5.2","28.8","0.0","0.0","2.1","0.0"
"76","81","Telve","05-01-2017 01:00","4.8","27.6","0.0","0.0","3.0","0.0"
"76","81","Telve","05-01-2017 02:00","4.1","28.6","0.0","0.0","4.6","0.0"
"76","81","Telve","05-01-2017 03:00","4.9","24.9","0.0","0.0","3.6","0.0"
"76","81","Telve","05-01-2017 04:00","1.6","33.9","0.0","0.0","1.7","0.0"
"76","81","Telve","05-01-2017 05:00","1.7","33.9","0.0","0.0","2.5","0.0"
"76","81","Telve","05-01-2017 06:00","3.6","31.5","0.0","0.0","2.2","0.0"
"76","81","Telve","05-01-2017 07:00","3.4","28.8","0.0","0.0","3.5","0.0"
"76","81","Telve","05-01-2017 08:00","2.9","22.2","0.0","0.0","3.9","0.0"
"76","81","Telve","05-01-2017 09:00","3.2","19.1","0.0","0.0","3.6","0.09"
"76","81","Telve","05-01-2017 10:00","2.6","23.4","0.0","0.0","2.0","0.23"
"76","81","Telve","05-01-2017 11:00","4.3","14.1","0.0","0.0","3.9","0.91"
"76","81","Telve","05-01-2017 12:00","4.0","13.2","0.0","0.0","3.7","0.93"
"76","81","Telve","05-01-2017 13:00","4.3","13.8","0.0","0.0","4.5","1.21"
"76","81","Telve","05-01-2017 14:00","4.9","11.6","0.0","0.0","3.7","0.87"
"76","81","Telve","05-01-2017 15:00","4.0","10.9","0.0","0.0","4.1","0.59"
"76","81","Telve","05-01-2017 16:00","3.1","11.7","0.0","0.0","3.9","0.27"
"76","81","Telve","05-01-2017 17:00","2.2","12.4","0.0","0.0","3.4","0.04"
"76","81","Telve","05-01-2017 18:00","1.7","13.4","0.0","0.0","3.1","0.0"
"76","81","Telve","05-01-2017 19:00","1.3","13.7","0.0","0.0","3.5","0.0"
"76","81","Telve","05-01-2017 20:00","1.1","13.9","0.0","0.0","3.4","0.0"
"76","81","Telve","05-01-2017 21:00","0.8","14.0","0.0","0.0","2.6","0.0"
"76","81","Telve","05-01-2017 22:00","0.4","15.2","0.0","0.0","2.7","0.0"
"76","81","Telve","05-01-2017 23:00","0.2","15.8","0.0","0.0","2.6","0.0"
"76","81","Telve","06-01-2017 00:00","-0.7","18.0","0.0","0.0","2.6","0.0"
"76","81","Telve","06-01-2017 01:00","-1.0","18.2","0.0","0.0","2.6","0.0"
"76","81","Telve","06-01-2017 02:00","-1.3","18.3","0.0","0.0","1.8","0.0"
