"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"77","70","Terlago","01-01-2017 00:00","-8.0","93.2","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 01:00","-8.3","94.2","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 02:00","-8.4","94.6","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 03:00","-8.9","94.9","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 04:00","-8.9","94.9","0.0","0.0","0.1","0.0"
"77","70","Terlago","01-01-2017 05:00","-9.2","94.6","0.0","0.0","0.3","0.0"
"77","70","Terlago","01-01-2017 06:00","-9.1","94.5","0.0","0.0","0.1","0.0"
"77","70","Terlago","01-01-2017 07:00","-9.4","94.3","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 08:00","-9.4","94.2","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 09:00","-9.1","93.9","0.0","0.0","0.1","0.05"
"77","70","Terlago","01-01-2017 10:00","-7.2","93.3","0.0","0.0","0.2","0.24"
"77","70","Terlago","01-01-2017 11:00","1.5","71.8","0.0","0.0","0.2","0.9"
"77","70","Terlago","01-01-2017 12:00","5.8","44.9","0.0","0.0","0.7","1.18"
"77","70","Terlago","01-01-2017 13:00","7.3","34.5","0.0","0.0","0.9","1.2"
"77","70","Terlago","01-01-2017 14:00","8.9","30.2","0.0","0.0","0.8","1.09"
"77","70","Terlago","01-01-2017 15:00","8.4","31.1","0.0","0.0","1.1","0.77"
"77","70","Terlago","01-01-2017 16:00","3.6","46.5","0.0","0.0","0.6","0.18"
"77","70","Terlago","01-01-2017 17:00","-0.7","63.8","0.0","0.0","0.1","0.04"
"77","70","Terlago","01-01-2017 18:00","-2.9","72.3","0.0","0.0","0.1","0.0"
"77","70","Terlago","01-01-2017 19:00","-4.6","78.0","0.0","0.0","0.0","0.0"
"77","70","Terlago","01-01-2017 20:00","-5.8","84.0","0.0","0.0","0.1","0.0"
"77","70","Terlago","01-01-2017 21:00","-6.8","86.6","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2017 22:00","-7.7","89.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","01-01-2017 23:00","-8.4","92.1","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 00:00","-8.7","93.1","0.0","0.0","0.0","0.0"
"77","70","Terlago","02-01-2017 01:00","-9.2","93.9","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2017 02:00","-9.5","94.2","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 03:00","-10.0","94.5","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 04:00","-10.2","94.4","0.0","0.0","0.0","0.0"
"77","70","Terlago","02-01-2017 05:00","-10.4","94.2","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2017 06:00","-10.7","93.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 07:00","-10.8","93.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 08:00","-10.8","93.1","0.0","0.0","0.2","0.0"
"77","70","Terlago","02-01-2017 09:00","-10.6","93.0","0.0","0.0","0.1","0.06"
"77","70","Terlago","02-01-2017 10:00","-8.9","92.9","0.0","0.0","0.0","0.23"
"77","70","Terlago","02-01-2017 11:00","-1.7","82.5","0.0","0.0","0.1","0.87"
"77","70","Terlago","02-01-2017 12:00","3.3","54.2","0.0","0.0","0.9","1.12"
"77","70","Terlago","02-01-2017 13:00","5.9","39.4","0.0","0.0","1.3","1.19"
"77","70","Terlago","02-01-2017 14:00","6.6","36.2","0.0","0.0","1.2","1.0"
"77","70","Terlago","02-01-2017 15:00","6.5","37.2","0.0","0.0","1.0","0.69"
"77","70","Terlago","02-01-2017 16:00","4.0","48.8","0.0","0.0","0.2","0.24"
"77","70","Terlago","02-01-2017 17:00","3.1","59.9","0.0","0.0","0.3","0.03"
"77","70","Terlago","02-01-2017 18:00","1.1","67.7","0.0","0.0","0.2","0.0"
"77","70","Terlago","02-01-2017 19:00","-0.6","75.2","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 20:00","-1.5","81.2","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 21:00","-2.2","84.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 22:00","-2.9","87.7","0.0","0.0","0.1","0.0"
"77","70","Terlago","02-01-2017 23:00","-3.2","89.0","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2017 00:00","-3.5","88.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2017 01:00","-2.4","81.5","0.0","0.0","0.3","0.0"
"77","70","Terlago","03-01-2017 02:00","-2.1","79.0","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2017 03:00","-2.0","79.5","0.0","0.0","0.2","0.0"
"77","70","Terlago","03-01-2017 04:00","0.3","65.5","0.0","0.0","0.3","0.0"
"77","70","Terlago","03-01-2017 05:00","2.6","52.5","0.0","0.0","1.2","0.0"
"77","70","Terlago","03-01-2017 06:00","4.3","42.4","0.0","0.0","2.1","0.0"
"77","70","Terlago","03-01-2017 07:00","4.5","37.1","0.0","0.0","2.3","0.0"
"77","70","Terlago","03-01-2017 08:00","4.1","33.9","0.0","0.0","2.0","0.0"
"77","70","Terlago","03-01-2017 09:00","3.8","32.5","0.0","0.0","2.3","0.05"
"77","70","Terlago","03-01-2017 10:00","4.6","29.2","0.0","0.0","1.2","0.27"
"77","70","Terlago","03-01-2017 11:00","6.4","25.0","0.0","0.0","1.3","0.97"
"77","70","Terlago","03-01-2017 12:00","7.2","22.9","0.0","0.0","1.2","1.21"
"77","70","Terlago","03-01-2017 13:00","7.8","21.8","0.0","0.0","3.0","1.27"
"77","70","Terlago","03-01-2017 14:00","8.6","20.1","0.0","0.0","1.2","1.13"
"77","70","Terlago","03-01-2017 15:00","8.9","18.4","0.0","0.0","1.1","0.82"
"77","70","Terlago","03-01-2017 16:00","5.8","28.2","0.0","0.0","3.1","0.19"
"77","70","Terlago","03-01-2017 17:00","5.8","47.7","0.0","0.0","4.5","0.03"
"77","70","Terlago","03-01-2017 18:00","4.9","57.1","0.0","0.0","4.1","0.0"
"77","70","Terlago","03-01-2017 19:00","3.8","60.5","0.0","0.0","2.8","0.0"
"77","70","Terlago","03-01-2017 20:00","0.8","64.0","0.0","0.0","1.0","0.0"
"77","70","Terlago","03-01-2017 21:00","-2.3","75.6","0.0","0.0","0.2","0.0"
