"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"78","93","Terzolas","01-01-2015 00:00","-4.3","87.5","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 01:00","-4.9","89.1","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 02:00","-5.6","90.9","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 03:00","-6.0","92.1","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 04:00","-6.4","93.1","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 05:00","-6.5","93.2","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 06:00","-6.2","93.0","0.0","0.0","0.3","0.0"
"78","93","Terzolas","01-01-2015 07:00","-6.2","92.2","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 08:00","-6.7","92.6","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 09:00","-6.8","93.1","0.0","0.0","0.0","0.03"
"78","93","Terzolas","01-01-2015 10:00","-6.4","93.2","0.0","0.0","0.0","0.06"
"78","93","Terzolas","01-01-2015 11:00","-3.9","89.8","0.0","0.0","0.3","0.61"
"78","93","Terzolas","01-01-2015 12:00","1.2","69.5","0.0","0.0","0.2","1.04"
"78","93","Terzolas","01-01-2015 13:00","1.8","67.1","0.0","0.0","0.3","0.78"
"78","93","Terzolas","01-01-2015 14:00","1.2","68.6","0.0","0.0","0.2","0.21"
"78","93","Terzolas","01-01-2015 15:00","3.5","60.3","0.0","0.0","0.2","0.77"
"78","93","Terzolas","01-01-2015 16:00","2.4","64.2","0.0","0.0","0.2","0.21"
"78","93","Terzolas","01-01-2015 17:00","-0.1","75.1","0.0","0.0","0.2","0.02"
"78","93","Terzolas","01-01-2015 18:00","-1.4","80.4","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 19:00","-2.2","85.2","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 20:00","-2.3","85.9","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2015 21:00","-2.6","86.5","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 22:00","-2.8","88.1","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2015 23:00","-2.6","88.2","0.0","0.0","0.2","0.0"
"78","93","Terzolas","02-01-2015 00:00","-3.2","90.0","0.0","0.0","0.0","0.0"
