"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"79","33","Ton","01-01-2017 00:00","-2.2","66.9","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 01:00","-2.1","65.4","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 02:00","-2.6","67.2","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 03:00","-3.1","68.1","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 04:00","-3.2","69.0","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 05:00","-3.4","69.0","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 06:00","-3.3","69.1","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 07:00","-3.9","71.3","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 08:00","-3.7","70.3","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 09:00","-3.6","70.4","0.0","0.0","0.1","0.03"
"79","33","Ton","01-01-2017 10:00","-3.2","68.6","0.0","0.0","0.0","0.07"
"79","33","Ton","01-01-2017 11:00","-1.3","64.5","0.0","0.0","0.0","0.61"
"79","33","Ton","01-01-2017 12:00","2.8","51.3","0.0","0.0","0.0","1.19"
"79","33","Ton","01-01-2017 13:00","4.6","44.5","0.0","0.0","0.0","0.81"
"79","33","Ton","01-01-2017 14:00","4.3","47.0","0.0","0.0","0.0","0.16"
"79","33","Ton","01-01-2017 15:00","6.4","40.1","0.0","0.0","0.7","0.67"
"79","33","Ton","01-01-2017 16:00","4.8","42.5","0.0","0.0","1.1","0.2"
"79","33","Ton","01-01-2017 17:00","1.3","53.6","0.0","0.0","0.2","0.02"
"79","33","Ton","01-01-2017 18:00","0.2","57.4","0.0","0.0","0.2","0.0"
"79","33","Ton","01-01-2017 19:00","-0.8","60.0","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 20:00","-1.7","63.1","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 21:00","-2.4","65.9","0.0","0.0","0.0","0.0"
"79","33","Ton","01-01-2017 22:00","-2.7","66.0","0.0","0.0","0.1","0.0"
"79","33","Ton","01-01-2017 23:00","-2.8","65.6","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 00:00","-3.4","67.7","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 01:00","-3.5","67.7","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 02:00","-3.7","68.4","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 03:00","-4.3","71.0","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 04:00","-4.4","70.7","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 05:00","-5.0","74.0","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 06:00","-5.1","75.1","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 07:00","-4.9","73.2","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 08:00","-5.1","73.7","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 09:00","-4.9","73.6","0.0","0.0","0.1","0.03"
"79","33","Ton","02-01-2017 10:00","-4.9","74.1","0.0","0.0","0.0","0.08"
"79","33","Ton","02-01-2017 11:00","-2.3","66.9","0.0","0.0","0.1","0.61"
"79","33","Ton","02-01-2017 12:00","2.8","51.4","0.0","0.0","0.1","1.18"
"79","33","Ton","02-01-2017 13:00","4.2","43.3","0.0","0.0","0.1","0.83"
"79","33","Ton","02-01-2017 14:00","2.8","48.2","0.0","0.0","0.0","0.3"
"79","33","Ton","02-01-2017 15:00","4.6","42.6","0.0","0.0","0.3","0.64"
"79","33","Ton","02-01-2017 16:00","3.0","48.4","0.0","0.0","0.1","0.22"
"79","33","Ton","02-01-2017 17:00","1.1","54.8","0.0","0.0","0.0","0.03"
"79","33","Ton","02-01-2017 18:00","0.0","60.4","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 19:00","-0.4","63.0","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 20:00","-0.4","63.1","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 21:00","-1.3","67.5","0.0","0.0","0.0","0.0"
"79","33","Ton","02-01-2017 22:00","-1.6","69.2","0.0","0.0","0.1","0.0"
"79","33","Ton","02-01-2017 23:00","-1.3","68.5","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 00:00","-1.0","67.5","0.0","0.0","0.3","0.0"
"79","33","Ton","03-01-2017 01:00","-1.2","68.9","0.0","0.0","0.2","0.0"
"79","33","Ton","03-01-2017 02:00","-1.6","71.6","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 03:00","-1.8","73.9","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 04:00","-2.1","74.3","0.0","0.0","0.0","0.0"
"79","33","Ton","03-01-2017 05:00","-3.1","78.3","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 06:00","-3.5","76.9","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 07:00","-3.6","73.2","0.0","0.0","0.4","0.0"
"79","33","Ton","03-01-2017 08:00","-3.8","69.6","0.0","0.0","0.2","0.0"
"79","33","Ton","03-01-2017 09:00","-3.8","67.8","0.0","0.0","0.4","0.03"
"79","33","Ton","03-01-2017 10:00","-3.4","63.5","0.0","0.0","0.3","0.07"
"79","33","Ton","03-01-2017 11:00","-1.2","55.3","0.0","0.0","0.4","0.64"
"79","33","Ton","03-01-2017 12:00","4.3","39.1","0.0","0.0","0.3","1.21"
"79","33","Ton","03-01-2017 13:00","5.0","35.3","0.0","0.0","0.2","0.83"
"79","33","Ton","03-01-2017 14:00","4.3","32.1","0.0","0.0","0.5","0.19"
"79","33","Ton","03-01-2017 15:00","5.2","28.1","0.0","0.0","1.8","0.69"
"79","33","Ton","03-01-2017 16:00","3.1","31.0","0.0","0.0","2.7","0.2"
"79","33","Ton","03-01-2017 17:00","0.5","40.0","0.0","0.0","0.5","0.02"
"79","33","Ton","03-01-2017 18:00","-0.6","42.5","0.0","0.0","0.6","0.0"
"79","33","Ton","03-01-2017 19:00","-1.4","43.3","0.0","0.0","0.2","0.0"
"79","33","Ton","03-01-2017 20:00","-2.1","46.4","0.0","0.0","0.1","0.0"
"79","33","Ton","03-01-2017 21:00","-2.8","49.9","0.0","0.0","0.3","0.0"
"79","33","Ton","03-01-2017 22:00","-3.5","52.7","0.0","0.0","0.2","0.0"
"79","33","Ton","03-01-2017 23:00","-3.5","51.8","0.0","0.0","0.2","0.0"
"79","33","Ton","04-01-2017 00:00","-3.6","52.8","0.0","0.0","0.3","0.0"
"79","33","Ton","04-01-2017 01:00","-4.3","55.0","0.0","0.0","0.2","0.0"
"79","33","Ton","04-01-2017 02:00","-4.8","58.1","0.0","0.0","0.1","0.0"
"79","33","Ton","04-01-2017 03:00","-4.5","57.8","0.0","0.0","0.4","0.0"
"79","33","Ton","04-01-2017 04:00","-5.1","59.9","0.0","0.0","0.1","0.0"
"79","33","Ton","04-01-2017 05:00","-4.9","59.9","0.0","0.0","0.1","0.0"
"79","33","Ton","04-01-2017 06:00","-4.1","58.5","0.0","0.0","0.2","0.0"
"79","33","Ton","04-01-2017 07:00","-4.8","62.5","0.0","0.0","0.1","0.0"
"79","33","Ton","04-01-2017 08:00","-4.7","62.3","0.0","0.0","0.1","0.0"
"79","33","Ton","04-01-2017 09:00","-4.9","64.6","0.0","0.0","0.2","0.05"
"79","33","Ton","04-01-2017 10:00","-4.2","63.2","0.0","0.0","0.2","0.14"
"79","33","Ton","04-01-2017 11:00","-0.8","52.6","0.0","0.0","0.2","0.8"
"79","33","Ton","04-01-2017 12:00","3.1","40.4","0.0","0.0","0.3","1.07"
"79","33","Ton","04-01-2017 13:00","4.0","34.5","0.0","0.0","0.3","0.82"
"79","33","Ton","04-01-2017 14:00","3.1","34.8","0.0","0.0","0.3","0.32"
"79","33","Ton","04-01-2017 15:00","6.1","29.1","0.0","0.0","1.0","0.96"
"79","33","Ton","04-01-2017 16:00","5.7","31.8","0.0","0.0","1.0","0.32"
"79","33","Ton","04-01-2017 17:00","9.2","24.7","0.0","0.0","1.4","0.05"
"79","33","Ton","04-01-2017 18:00","9.1","23.1","0.0","0.0","2.1","0.0"
"79","33","Ton","04-01-2017 19:00","8.4","21.2","0.0","0.0","2.4","0.0"
"79","33","Ton","04-01-2017 20:00","8.0","22.7","0.0","0.0","1.9","0.0"
"79","33","Ton","04-01-2017 21:00","5.9","35.7","0.0","0.0","2.0","0.0"
"79","33","Ton","04-01-2017 22:00","4.2","43.3","0.0","0.0","1.6","0.0"
"79","33","Ton","04-01-2017 23:00","3.7","40.1","0.0","0.0","1.3","0.0"
"79","33","Ton","05-01-2017 00:00","2.7","43.1","0.0","0.0","2.1","0.0"
"79","33","Ton","05-01-2017 01:00","1.1","58.6","0.0","0.0","2.3","0.0"
"79","33","Ton","05-01-2017 02:00","0.4","58.8","0.0","0.0","1.1","0.0"
"79","33","Ton","05-01-2017 03:00","-0.1","50.0","0.0","0.0","0.3","0.0"
"79","33","Ton","05-01-2017 04:00","-0.5","43.5","0.0","0.0","0.3","0.0"
"79","33","Ton","05-01-2017 05:00","-0.5","42.8","0.0","0.0","0.5","0.0"
"79","33","Ton","05-01-2017 06:00","0.1","46.0","0.0","0.0","1.5","0.0"
"79","33","Ton","05-01-2017 07:00","0.9","38.1","0.0","0.0","2.5","0.0"
"79","33","Ton","05-01-2017 08:00","0.2","33.4","0.0","0.0","1.7","0.0"
"79","33","Ton","05-01-2017 09:00","0.0","31.0","0.0","0.0","1.1","0.09"
"79","33","Ton","05-01-2017 10:00","0.6","24.7","0.0","0.0","1.2","0.19"
"79","33","Ton","05-01-2017 11:00","1.6","21.6","0.0","0.0","1.2","0.53"
"79","33","Ton","05-01-2017 12:00","2.3","17.2","0.0","0.0","0.6","0.6"
"79","33","Ton","05-01-2017 13:00","2.1","16.9","0.0","0.0","1.4","0.58"
"79","33","Ton","05-01-2017 14:00","1.3","17.7","0.0","0.0","1.9","0.35"
"79","33","Ton","05-01-2017 15:00","1.4","16.3","0.0","0.0","1.0","0.42"
"79","33","Ton","05-01-2017 16:00","0.1","16.9","0.0","0.0","1.0","0.17"
"79","33","Ton","05-01-2017 17:00","-0.9","17.5","0.0","0.0","1.0","0.02"
"79","33","Ton","05-01-2017 18:00","-1.7","18.6","0.0","0.0","1.0","0.0"
"79","33","Ton","05-01-2017 19:00","-2.2","20.3","0.0","0.0","0.6","0.0"
"79","33","Ton","05-01-2017 20:00","-2.4","22.2","0.0","0.0","0.7","0.0"
"79","33","Ton","05-01-2017 21:00","-2.9","26.0","0.0","0.0","1.1","0.0"
"79","33","Ton","05-01-2017 22:00","-2.4","23.0","0.0","0.0","2.0","0.0"
"79","33","Ton","05-01-2017 23:00","-2.8","23.2","0.0","0.0","1.8","0.0"
"79","33","Ton","06-01-2017 00:00","-3.4","23.8","0.0","0.0","1.7","0.0"
"79","33","Ton","06-01-2017 01:00","-4.2","26.7","0.0","0.0","1.5","0.0"
"79","33","Ton","06-01-2017 02:00","-4.4","27.7","0.0","0.0","1.8","0.0"
"79","33","Ton","06-01-2017 03:00","-4.8","28.1","0.0","0.0","1.9","0.0"
"79","33","Ton","06-01-2017 04:00","-5.2","27.8","0.0","0.0","1.0","0.0"
"79","33","Ton","06-01-2017 05:00","-7.5","38.1","0.0","0.0","0.2","0.0"
"79","33","Ton","06-01-2017 06:00","-8.4","43.2","0.0","0.0","0.2","0.0"
"79","33","Ton","06-01-2017 07:00","-8.8","44.4","0.0","0.0","0.3","0.0"
"79","33","Ton","06-01-2017 08:00","-9.1","45.8","0.0","0.0","0.4","0.0"
"79","33","Ton","06-01-2017 09:00","-9.0","45.2","0.0","0.0","0.4","0.03"
"79","33","Ton","06-01-2017 10:00","-8.8","45.1","0.0","0.0","0.8","0.07"
