"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"80","95","Toss - Castello","01-01-2017 00:00","-2.2","69.5","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","01-01-2017 01:00","-2.4","70.3","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","01-01-2017 02:00","-2.7","71.6","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","01-01-2017 03:00","-3.2","72.9","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","01-01-2017 04:00","-3.6","73.9","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","01-01-2017 05:00","-3.6","73.2","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","01-01-2017 06:00","-4.0","74.7","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","01-01-2017 07:00","-4.0","74.0","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","01-01-2017 08:00","-4.2","74.2","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","01-01-2017 09:00","-4.3","74.9","0.0","0.0","0.2","0.03"
"80","95","Toss - Castello","01-01-2017 10:00","-3.9","72.6","0.0","0.0","0.1","0.08"
"80","95","Toss - Castello","01-01-2017 11:00","-1.7","64.2","0.0","0.0","0.1","0.72"
"80","95","Toss - Castello","01-01-2017 12:00","3.1","49.4","0.0","0.0","0.1","1.33"
"80","95","Toss - Castello","01-01-2017 13:00","5.0","43.9","0.0","0.0","0.1","1.39"
"80","95","Toss - Castello","01-01-2017 14:00","6.3","39.9","0.0","0.0","0.1","1.23"
"80","95","Toss - Castello","01-01-2017 15:00","6.9","37.8","0.0","0.0","0.1","0.89"
"80","95","Toss - Castello","01-01-2017 16:00","5.3","42.1","0.0","0.0","0.1","0.3"
"80","95","Toss - Castello","01-01-2017 17:00","1.6","55.4","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","01-01-2017 18:00","0.6","57.8","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","01-01-2017 19:00","-0.3","60.3","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","01-01-2017 20:00","-1.2","63.4","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","01-01-2017 21:00","-1.8","64.9","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","01-01-2017 22:00","-2.2","66.9","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","01-01-2017 23:00","-2.5","68.5","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","02-01-2017 00:00","-2.8","69.4","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","02-01-2017 01:00","-3.2","70.1","0.0","0.0","0.7","0.0"
"80","95","Toss - Castello","02-01-2017 02:00","-3.7","72.1","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","02-01-2017 03:00","-3.8","71.9","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","02-01-2017 04:00","-4.3","72.9","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","02-01-2017 05:00","-4.5","74.0","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","02-01-2017 06:00","-4.8","74.0","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","02-01-2017 07:00","-5.2","76.2","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","02-01-2017 08:00","-5.0","75.3","0.0","0.0","0.5","0.0"
"80","95","Toss - Castello","02-01-2017 09:00","-4.9","74.4","0.0","0.0","0.2","0.03"
"80","95","Toss - Castello","02-01-2017 10:00","-4.7","73.7","0.0","0.0","0.2","0.1"
"80","95","Toss - Castello","02-01-2017 11:00","-2.5","65.2","0.0","0.0","0.2","0.69"
"80","95","Toss - Castello","02-01-2017 12:00","1.7","51.0","0.0","0.0","0.1","1.29"
"80","95","Toss - Castello","02-01-2017 13:00","3.8","45.1","0.0","0.0","0.1","1.34"
"80","95","Toss - Castello","02-01-2017 14:00","4.6","42.8","0.0","0.0","0.1","0.99"
"80","95","Toss - Castello","02-01-2017 15:00","5.4","38.3","0.0","0.0","0.2","0.84"
"80","95","Toss - Castello","02-01-2017 16:00","4.1","45.5","0.0","0.0","0.1","0.27"
"80","95","Toss - Castello","02-01-2017 17:00","1.4","54.1","0.0","0.0","0.1","0.02"
"80","95","Toss - Castello","02-01-2017 18:00","0.4","56.8","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","02-01-2017 19:00","0.0","59.2","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","02-01-2017 20:00","-0.1","61.0","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","02-01-2017 21:00","-0.6","63.3","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","02-01-2017 22:00","-1.1","65.8","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","02-01-2017 23:00","-1.2","67.5","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 00:00","-1.4","69.3","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 01:00","-1.4","70.2","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 02:00","-1.3","70.2","0.0","0.0","0.3","0.0"
"80","95","Toss - Castello","03-01-2017 03:00","-1.1","69.5","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","03-01-2017 04:00","-1.7","72.1","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 05:00","-2.2","72.4","0.0","0.0","0.4","0.0"
"80","95","Toss - Castello","03-01-2017 06:00","-1.2","64.9","0.0","0.0","0.6","0.0"
"80","95","Toss - Castello","03-01-2017 07:00","0.5","50.0","0.0","0.0","0.7","0.0"
"80","95","Toss - Castello","03-01-2017 08:00","0.9","43.1","0.0","0.0","0.7","0.0"
"80","95","Toss - Castello","03-01-2017 09:00","0.6","41.6","0.0","0.0","0.8","0.02"
"80","95","Toss - Castello","03-01-2017 10:00","1.5","37.7","0.0","0.0","0.7","0.07"
"80","95","Toss - Castello","03-01-2017 11:00","3.1","34.4","0.0","0.0","0.6","0.73"
"80","95","Toss - Castello","03-01-2017 12:00","6.4","25.4","0.0","0.0","0.6","1.37"
"80","95","Toss - Castello","03-01-2017 13:00","7.4","22.2","0.0","0.0","0.8","1.43"
"80","95","Toss - Castello","03-01-2017 14:00","8.4","19.2","0.0","0.0","0.3","1.3"
"80","95","Toss - Castello","03-01-2017 15:00","8.8","19.6","0.0","0.0","0.3","0.95"
"80","95","Toss - Castello","03-01-2017 16:00","7.2","22.9","0.0","0.0","0.2","0.34"
"80","95","Toss - Castello","03-01-2017 17:00","2.5","34.8","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 18:00","0.7","37.8","0.0","0.0","0.1","0.0"
"80","95","Toss - Castello","03-01-2017 19:00","-0.7","42.4","0.0","0.0","0.2","0.0"
"80","95","Toss - Castello","03-01-2017 20:00","-1.2","44.0","0.0","0.0","0.2","0.0"
