"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"81","32","Trento Sud","01-01-2015 00:00","-2.8","87.7","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","01-01-2015 01:00","-3.3","89.7","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","01-01-2015 02:00","-4.0","91.6","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","01-01-2015 03:00","-4.2","92.3","0.0","0.0","0.2","0.0"
"81","32","Trento Sud","01-01-2015 04:00","-4.5","93.1","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","01-01-2015 05:00","-4.2","93.0","0.0","0.0","0.7","0.0"
"81","32","Trento Sud","01-01-2015 06:00","-4.0","90.5","0.0","0.0","0.2","0.0"
"81","32","Trento Sud","01-01-2015 07:00","-4.1","90.5","0.0","0.0","0.2","0.0"
"81","32","Trento Sud","01-01-2015 08:00","-4.1","90.2","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","01-01-2015 09:00","-3.7","89.6","0.0","0.0","1.0","0.0"
"81","32","Trento Sud","01-01-2015 10:00","-3.1","88.2","0.0","0.0","0.4","0.02"
"81","32","Trento Sud","01-01-2015 11:00","-1.0","80.0","0.0","0.0","0.9","0.74"
"81","32","Trento Sud","01-01-2015 12:00","1.0","72.1","0.0","0.0","0.7","1.33"
"81","32","Trento Sud","01-01-2015 13:00","2.4","64.8","0.0","0.0","0.2","1.13"
"81","32","Trento Sud","01-01-2015 14:00","3.7","59.6","0.0","0.0","0.1","0.92"
"81","32","Trento Sud","01-01-2015 15:00","4.2","58.1","0.0","0.0","0.2","0.63"
"81","32","Trento Sud","01-01-2015 16:00","2.9","64.4","0.0","0.0","0.5","0.14"
"81","32","Trento Sud","01-01-2015 17:00","1.4","70.7","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","01-01-2015 18:00","-0.1","78.2","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","01-01-2015 19:00","-0.5","80.9","0.0","0.0","0.9","0.0"
"81","32","Trento Sud","01-01-2015 20:00","-0.5","79.7","0.0","0.0","0.3","0.0"
"81","32","Trento Sud","01-01-2015 21:00","-1.2","83.1","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","01-01-2015 22:00","-1.1","83.1","0.0","0.0","0.3","0.0"
"81","32","Trento Sud","01-01-2015 23:00","-1.4","84.0","0.0","0.0","0.3","0.0"
"81","32","Trento Sud","02-01-2015 00:00","-1.4","84.4","0.0","0.0","0.8","0.0"
"81","32","Trento Sud","02-01-2015 01:00","-1.6","84.7","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","02-01-2015 02:00","-2.2","87.8","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","02-01-2015 03:00","-3.0","90.3","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","02-01-2015 04:00","-2.8","90.7","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","02-01-2015 05:00","-3.0","91.0","0.0","0.0","0.0","0.0"
"81","32","Trento Sud","02-01-2015 06:00","-2.2","88.0","0.0","0.0","0.3","0.0"
"81","32","Trento Sud","02-01-2015 07:00","-1.9","86.1","0.0","0.0","1.1","0.0"
"81","32","Trento Sud","02-01-2015 08:00","-1.9","85.8","0.0","0.0","0.5","0.0"
"81","32","Trento Sud","02-01-2015 09:00","-1.9","86.5","0.0","0.0","0.1","0.0"
"81","32","Trento Sud","02-01-2015 10:00","-1.6","86.3","0.0","0.0","0.0","0.06"
