"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"82","20","Verla di Giovo","01-01-2015 00:00","-2.9","83.4","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 01:00","-3.4","85.6","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 02:00","-3.8","87.0","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 03:00","-4.1","87.1","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 04:00","-4.4","87.6","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 05:00","-4.5","87.8","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 06:00","-4.5","87.2","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 07:00","-4.7","87.9","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 08:00","-4.6","87.6","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 09:00","-4.5","86.9","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 10:00","-4.0","85.3","0.0","0.0","0.3","--"
"82","20","Verla di Giovo","01-01-2015 11:00","0.1","67.5","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 12:00","1.5","63.4","0.0","0.0","0.3","--"
"82","20","Verla di Giovo","01-01-2015 13:00","3.0","57.4","0.0","0.0","0.5","--"
"82","20","Verla di Giovo","01-01-2015 14:00","3.4","57.2","0.0","0.0","0.5","--"
"82","20","Verla di Giovo","01-01-2015 15:00","2.9","59.1","0.0","0.0","0.3","--"
"82","20","Verla di Giovo","01-01-2015 16:00","2.7","59.9","0.0","0.0","0.2","--"
"82","20","Verla di Giovo","01-01-2015 17:00","1.3","65.4","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 18:00","0.4","70.4","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 19:00","0.0","71.5","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 20:00","-0.5","73.9","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 21:00","-0.7","74.3","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","01-01-2015 22:00","-0.8","75.0","0.0","0.0","0.0","--"
"82","20","Verla di Giovo","01-01-2015 23:00","-0.8","75.3","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","02-01-2015 00:00","-1.1","76.7","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","02-01-2015 01:00","-0.9","75.9","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","02-01-2015 02:00","-1.1","76.7","0.0","0.0","0.1","--"
"82","20","Verla di Giovo","02-01-2015 03:00","-1.2","78.0","0.0","0.0","0.0","--"
