"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"83","86","Vigolo Vattaro","01-01-2015 00:00","-6.2","89.8","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","01-01-2015 01:00","-6.4","90.0","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","01-01-2015 02:00","-6.4","91.7","0.0","0.0","0.2","0.0"
"83","86","Vigolo Vattaro","01-01-2015 03:00","-6.3","93.2","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","01-01-2015 04:00","-6.3","95.0","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 05:00","-6.1","95.0","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 06:00","-6.2","94.4","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 07:00","-6.5","94.8","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 08:00","-6.6","95.1","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 09:00","-5.9","94.0","0.0","0.0","0.2","0.06"
"83","86","Vigolo Vattaro","01-01-2015 10:00","-4.1","86.6","0.0","0.0","0.3","0.4"
"83","86","Vigolo Vattaro","01-01-2015 11:00","-1.8","72.8","0.0","0.0","0.4","0.57"
"83","86","Vigolo Vattaro","01-01-2015 12:00","-1.9","72.5","0.0","0.0","0.7","0.57"
"83","86","Vigolo Vattaro","01-01-2015 13:00","-1.2","68.4","0.0","0.0","0.8","1.26"
"83","86","Vigolo Vattaro","01-01-2015 14:00","-2.0","72.9","0.0","0.0","0.4","0.12"
"83","86","Vigolo Vattaro","01-01-2015 15:00","-1.8","74.5","0.0","0.0","0.4","0.11"
"83","86","Vigolo Vattaro","01-01-2015 16:00","-1.8","77.1","0.0","0.0","0.4","0.07"
"83","86","Vigolo Vattaro","01-01-2015 17:00","-1.8","76.1","0.0","0.0","0.4","0.02"
"83","86","Vigolo Vattaro","01-01-2015 18:00","-2.4","78.4","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","01-01-2015 19:00","-2.4","80.0","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","01-01-2015 20:00","-2.0","78.1","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","01-01-2015 21:00","-2.3","80.4","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 22:00","-2.4","80.8","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","01-01-2015 23:00","-2.6","81.6","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","02-01-2015 00:00","-2.6","80.7","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","02-01-2015 01:00","-2.3","80.5","0.0","0.0","0.2","0.0"
"83","86","Vigolo Vattaro","02-01-2015 02:00","-2.4","81.0","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","02-01-2015 03:00","-2.6","82.4","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","02-01-2015 04:00","-2.6","82.6","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","02-01-2015 05:00","-2.5","83.1","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","02-01-2015 06:00","-2.6","83.9","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","02-01-2015 07:00","-2.7","84.5","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","02-01-2015 08:00","-2.4","84.1","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","02-01-2015 09:00","-2.2","85.0","0.0","0.0","0.4","0.07"
"83","86","Vigolo Vattaro","02-01-2015 10:00","-0.5","76.8","0.0","0.0","0.4","0.45"
"83","86","Vigolo Vattaro","02-01-2015 11:00","2.1","64.5","0.0","0.0","0.4","0.68"
"83","86","Vigolo Vattaro","02-01-2015 12:00","1.4","68.5","0.0","0.0","0.6","0.76"
"83","86","Vigolo Vattaro","02-01-2015 13:00","2.1","66.2","0.0","0.0","0.7","0.74"
"83","86","Vigolo Vattaro","02-01-2015 14:00","2.7","65.2","0.0","0.0","0.4","0.5"
"83","86","Vigolo Vattaro","02-01-2015 15:00","3.7","65.3","0.0","0.0","0.1","0.34"
"83","86","Vigolo Vattaro","02-01-2015 16:00","3.5","67.6","0.0","0.0","0.2","0.18"
"83","86","Vigolo Vattaro","02-01-2015 17:00","2.9","70.6","0.0","0.0","0.3","0.01"
"83","86","Vigolo Vattaro","02-01-2015 18:00","2.4","73.8","0.0","0.0","0.1","0.0"
"83","86","Vigolo Vattaro","02-01-2015 19:00","2.6","71.2","0.0","0.0","0.1","0.0"
"83","86","Vigolo Vattaro","02-01-2015 20:00","2.2","74.7","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","02-01-2015 21:00","2.1","73.7","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","02-01-2015 22:00","1.9","75.1","0.0","0.0","0.6","0.0"
"83","86","Vigolo Vattaro","02-01-2015 23:00","1.8","75.2","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","03-01-2015 00:00","2.1","75.9","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","03-01-2015 01:00","2.0","76.9","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","03-01-2015 02:00","1.5","78.2","0.0","0.0","0.6","0.0"
"83","86","Vigolo Vattaro","03-01-2015 03:00","2.3","77.1","0.0","0.0","0.2","0.0"
"83","86","Vigolo Vattaro","03-01-2015 04:00","2.3","77.4","0.0","0.0","0.3","0.0"
"83","86","Vigolo Vattaro","03-01-2015 05:00","1.8","80.1","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","03-01-2015 06:00","2.2","77.1","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","03-01-2015 07:00","2.2","75.9","0.0","0.0","0.4","0.0"
"83","86","Vigolo Vattaro","03-01-2015 08:00","2.3","74.7","0.0","0.0","0.2","0.0"
"83","86","Vigolo Vattaro","03-01-2015 09:00","2.4","73.5","0.0","0.0","0.2","0.09"
"83","86","Vigolo Vattaro","03-01-2015 10:00","4.1","65.9","0.0","0.0","0.2","0.36"
"83","86","Vigolo Vattaro","03-01-2015 11:00","5.4","61.3","0.0","0.0","0.4","0.51"
"83","86","Vigolo Vattaro","03-01-2015 12:00","5.0","63.9","0.0","0.0","0.6","0.58"
"83","86","Vigolo Vattaro","03-01-2015 13:00","6.2","57.6","0.0","0.0","0.4","1.02"
"83","86","Vigolo Vattaro","03-01-2015 14:00","5.5","58.4","0.0","0.0","0.1","0.33"
"83","86","Vigolo Vattaro","03-01-2015 15:00","4.1","62.9","0.0","0.0","0.2","0.13"
"83","86","Vigolo Vattaro","03-01-2015 16:00","3.1","67.0","0.0","0.0","0.2","0.09"
"83","86","Vigolo Vattaro","03-01-2015 17:00","2.2","72.8","0.0","0.0","0.3","0.03"
"83","86","Vigolo Vattaro","03-01-2015 18:00","1.3","78.2","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","03-01-2015 19:00","0.7","82.4","0.0","0.0","0.7","0.0"
"83","86","Vigolo Vattaro","03-01-2015 20:00","0.5","83.2","0.0","0.0","0.6","0.0"
"83","86","Vigolo Vattaro","03-01-2015 21:00","0.1","85.9","0.0","0.0","0.8","0.0"
"83","86","Vigolo Vattaro","03-01-2015 22:00","-0.1","87.2","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","03-01-2015 23:00","-0.3","89.2","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","04-01-2015 00:00","-0.4","90.1","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","04-01-2015 01:00","-0.6","91.2","0.0","0.0","0.8","0.0"
"83","86","Vigolo Vattaro","04-01-2015 02:00","0.0","88.5","0.0","0.0","1.2","0.0"
"83","86","Vigolo Vattaro","04-01-2015 03:00","-0.4","87.8","0.0","0.0","0.9","0.0"
"83","86","Vigolo Vattaro","04-01-2015 04:00","0.2","87.0","0.0","0.0","1.1","0.0"
"83","86","Vigolo Vattaro","04-01-2015 05:00","1.8","82.0","0.0","0.0","1.6","0.0"
"83","86","Vigolo Vattaro","04-01-2015 06:00","1.5","84.5","0.0","0.0","0.8","0.0"
"83","86","Vigolo Vattaro","04-01-2015 07:00","2.5","84.6","0.0","0.0","0.9","0.0"
"83","86","Vigolo Vattaro","04-01-2015 08:00","3.1","83.4","0.0","0.0","1.8","0.0"
"83","86","Vigolo Vattaro","04-01-2015 09:00","3.3","80.6","0.0","0.0","1.3","0.04"
"83","86","Vigolo Vattaro","04-01-2015 10:00","4.2","71.1","0.0","0.0","1.4","0.39"
"83","86","Vigolo Vattaro","04-01-2015 11:00","5.4","56.4","0.0","0.0","1.2","0.59"
"83","86","Vigolo Vattaro","04-01-2015 12:00","6.8","41.5","0.0","0.0","1.3","0.54"
"83","86","Vigolo Vattaro","04-01-2015 13:00","9.6","18.9","0.0","0.0","2.7","1.2"
"83","86","Vigolo Vattaro","04-01-2015 14:00","8.5","20.0","0.0","0.0","2.5","0.12"
"83","86","Vigolo Vattaro","04-01-2015 15:00","7.6","20.6","0.0","0.0","2.2","0.09"
"83","86","Vigolo Vattaro","04-01-2015 16:00","7.5","18.0","0.0","0.0","2.3","0.07"
"83","86","Vigolo Vattaro","04-01-2015 17:00","6.5","21.0","0.0","0.0","1.8","0.02"
"83","86","Vigolo Vattaro","04-01-2015 18:00","4.8","27.8","0.0","0.0","1.4","0.0"
"83","86","Vigolo Vattaro","04-01-2015 19:00","1.9","42.3","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","04-01-2015 20:00","1.3","43.7","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","04-01-2015 21:00","0.1","51.9","0.0","0.0","0.9","0.0"
"83","86","Vigolo Vattaro","04-01-2015 22:00","0.2","43.4","0.0","0.0","0.8","0.0"
"83","86","Vigolo Vattaro","04-01-2015 23:00","-0.7","47.7","0.0","0.0","0.7","0.0"
"83","86","Vigolo Vattaro","05-01-2015 00:00","-1.4","55.6","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","05-01-2015 01:00","-1.4","53.4","0.0","0.0","0.7","0.0"
"83","86","Vigolo Vattaro","05-01-2015 02:00","-1.9","52.5","0.0","0.0","0.7","0.0"
"83","86","Vigolo Vattaro","05-01-2015 03:00","-2.1","55.3","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","05-01-2015 04:00","-1.7","48.1","0.0","0.0","0.5","0.0"
"83","86","Vigolo Vattaro","05-01-2015 05:00","-1.5","48.4","0.0","0.0","1.4","0.0"
"83","86","Vigolo Vattaro","05-01-2015 06:00","-1.4","47.3","0.0","0.0","1.9","0.0"
"83","86","Vigolo Vattaro","05-01-2015 07:00","-1.2","46.3","0.0","0.0","2.3","0.0"
"83","86","Vigolo Vattaro","05-01-2015 08:00","0.2","40.4","0.0","0.0","2.9","0.0"
"83","86","Vigolo Vattaro","05-01-2015 09:00","0.8","39.5","0.0","0.0","3.3","0.04"
"83","86","Vigolo Vattaro","05-01-2015 10:00","1.3","38.0","0.0","0.0","2.9","0.4"
"83","86","Vigolo Vattaro","05-01-2015 11:00","2.6","33.5","0.0","0.0","2.5","0.59"
"83","86","Vigolo Vattaro","05-01-2015 12:00","3.4","32.1","0.0","0.0","1.9","0.54"
"83","86","Vigolo Vattaro","05-01-2015 13:00","4.5","32.3","0.0","0.0","1.7","1.24"
"83","86","Vigolo Vattaro","05-01-2015 14:00","3.6","35.4","0.0","0.0","1.5","0.13"
"83","86","Vigolo Vattaro","05-01-2015 15:00","2.7","42.0","0.0","0.0","0.6","0.09"
"83","86","Vigolo Vattaro","05-01-2015 16:00","2.4","44.0","0.0","0.0","0.7","0.07"
"83","86","Vigolo Vattaro","05-01-2015 17:00","1.6","46.5","0.0","0.0","1.0","0.02"
"83","86","Vigolo Vattaro","05-01-2015 18:00","1.6","44.1","0.0","0.0","1.4","0.0"
"83","86","Vigolo Vattaro","05-01-2015 19:00","1.7","42.2","0.0","0.0","1.2","0.0"
"83","86","Vigolo Vattaro","05-01-2015 20:00","0.6","47.3","0.0","0.0","0.8","0.0"
