"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"84","61","Volano","01-01-2016 00:00","-0.6","80.4","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 01:00","-0.2","79.9","0.0","0.0","0.1","0.0"
"84","61","Volano","01-01-2016 02:00","-0.5","80.3","0.0","0.0","0.1","0.0"
"84","61","Volano","01-01-2016 03:00","-1.6","85.0","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 04:00","-1.4","87.3","0.0","0.0","0.2","0.0"
"84","61","Volano","01-01-2016 05:00","-1.2","86.5","0.0","0.0","0.1","0.0"
"84","61","Volano","01-01-2016 06:00","-1.7","88.0","0.0","0.0","0.1","0.0"
"84","61","Volano","01-01-2016 07:00","-1.8","87.9","0.0","0.0","0.4","0.0"
"84","61","Volano","01-01-2016 08:00","-2.1","88.9","0.0","0.0","0.3","0.0"
"84","61","Volano","01-01-2016 09:00","-1.8","86.9","0.0","0.0","0.3","0.04"
"84","61","Volano","01-01-2016 10:00","-2.4","90.1","0.0","0.0","0.1","0.1"
"84","61","Volano","01-01-2016 11:00","0.8","79.5","0.0","0.0","0.9","0.76"
"84","61","Volano","01-01-2016 12:00","3.4","65.4","0.0","0.0","1.1","1.13"
"84","61","Volano","01-01-2016 13:00","5.3","53.5","0.0","0.0","1.2","1.16"
"84","61","Volano","01-01-2016 14:00","7.2","46.8","0.0","0.0","0.3","0.97"
"84","61","Volano","01-01-2016 15:00","7.6","45.4","0.0","0.0","1.1","0.62"
"84","61","Volano","01-01-2016 16:00","6.9","50.5","0.0","0.0","1.5","0.2"
"84","61","Volano","01-01-2016 17:00","4.4","60.9","0.0","0.0","0.5","0.02"
"84","61","Volano","01-01-2016 18:00","2.2","70.6","0.0","0.0","0.3","0.0"
"84","61","Volano","01-01-2016 19:00","-0.2","77.5","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 20:00","-2.7","84.5","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 21:00","-4.1","89.4","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 22:00","-4.6","92.2","0.0","0.0","0.0","0.0"
"84","61","Volano","01-01-2016 23:00","-4.7","92.7","0.0","0.0","0.0","0.0"
