"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"85","56","Zambana","01-01-2017 00:00","-5.4","93.2","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 01:00","-6.1","93.5","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 02:00","-6.4","94.5","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 03:00","-6.8","95.1","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 04:00","-6.8","95.6","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 05:00","-7.4","95.2","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 06:00","-6.8","94.7","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 07:00","-7.5","94.0","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 08:00","-8.1","93.9","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 09:00","-7.7","94.6","0.0","0.0","0.0","0.06"
"85","56","Zambana","01-01-2017 10:00","-2.9","88.9","0.0","13.0","0.0","0.43"
"85","56","Zambana","01-01-2017 11:00","0.7","68.8","0.0","60.0","0.1","0.83"
"85","56","Zambana","01-01-2017 12:00","2.5","58.2","0.0","16.0","0.9","1.03"
"85","56","Zambana","01-01-2017 13:00","4.3","47.5","0.0","0.0","0.8","1.09"
"85","56","Zambana","01-01-2017 14:00","5.7","41.7","0.0","0.0","0.6","1.0"
"85","56","Zambana","01-01-2017 15:00","7.0","37.4","0.0","0.0","0.1","0.69"
"85","56","Zambana","01-01-2017 16:00","4.9","42.4","0.0","0.0","0.1","0.19"
"85","56","Zambana","01-01-2017 17:00","0.9","61.8","0.0","0.0","0.0","0.03"
"85","56","Zambana","01-01-2017 18:00","-1.6","76.6","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 19:00","-3.0","82.4","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 20:00","-4.1","88.2","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 21:00","-4.9","91.4","0.0","0.0","0.0","0.0"
"85","56","Zambana","01-01-2017 22:00","-5.5","93.5","0.0","0.0","0.0","0.0"
