"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"86","75","Zortea","01-01-2015 00:00","-4.6","79.0","0.0","--","0.5","5.36"
"86","75","Zortea","01-01-2015 01:00","-4.5","78.6","0.0","--","0.6","5.36"
"86","75","Zortea","01-01-2015 02:00","-4.2","78.0","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 03:00","-3.9","76.9","0.0","--","0.2","5.36"
"86","75","Zortea","01-01-2015 04:00","-3.9","76.6","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 05:00","-4.2","78.3","0.0","--","0.2","5.36"
"86","75","Zortea","01-01-2015 06:00","-4.4","78.9","0.0","--","0.3","5.36"
"86","75","Zortea","01-01-2015 07:00","-4.7","80.7","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 08:00","-4.2","78.8","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 09:00","-4.1","79.1","0.0","--","0.3","5.36"
"86","75","Zortea","01-01-2015 10:00","-2.9","75.1","0.0","--","0.3","5.36"
"86","75","Zortea","01-01-2015 11:00","-0.7","69.6","0.0","--","0.1","5.36"
"86","75","Zortea","01-01-2015 12:00","5.5","46.6","0.0","--","0.2","5.36"
"86","75","Zortea","01-01-2015 13:00","4.3","50.2","0.0","--","0.2","5.36"
"86","75","Zortea","01-01-2015 14:00","2.6","57.5","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 15:00","4.7","51.1","0.0","--","0.1","5.36"
"86","75","Zortea","01-01-2015 16:00","3.5","56.6","0.0","--","0.1","5.36"
"86","75","Zortea","01-01-2015 17:00","0.7","67.9","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 18:00","0.2","70.0","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 19:00","0.8","68.4","0.0","--","0.2","5.36"
"86","75","Zortea","01-01-2015 20:00","0.9","68.2","0.0","--","0.3","5.36"
"86","75","Zortea","01-01-2015 21:00","1.0","68.0","0.0","--","0.4","5.36"
"86","75","Zortea","01-01-2015 22:00","1.2","69.8","0.0","--","0.3","5.36"
"86","75","Zortea","01-01-2015 23:00","1.5","69.7","0.0","--","0.4","5.36"
"86","75","Zortea","02-01-2015 00:00","1.6","70.9","0.0","--","0.4","5.36"
"86","75","Zortea","02-01-2015 01:00","1.7","71.3","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 02:00","1.5","71.8","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 03:00","1.7","71.8","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 04:00","1.4","73.1","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 05:00","1.6","73.2","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 06:00","1.7","73.0","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 07:00","1.8","72.9","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 08:00","1.6","73.2","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 09:00","1.8","73.3","0.0","--","0.5","5.36"
"86","75","Zortea","02-01-2015 10:00","2.2","72.4","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 11:00","4.1","66.7","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 12:00","7.5","56.1","0.0","--","0.1","5.36"
"86","75","Zortea","02-01-2015 13:00","8.4","53.0","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 14:00","7.0","59.7","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 15:00","6.4","63.2","0.0","--","0.1","5.36"
"86","75","Zortea","02-01-2015 16:00","5.7","68.5","0.0","--","0.1","5.36"
"86","75","Zortea","02-01-2015 17:00","5.3","67.4","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 18:00","5.1","65.6","0.0","--","0.2","5.36"
"86","75","Zortea","02-01-2015 19:00","5.4","60.9","0.0","--","0.4","5.36"
"86","75","Zortea","02-01-2015 20:00","6.0","56.2","0.0","--","0.3","5.36"
"86","75","Zortea","02-01-2015 21:00","6.5","53.1","0.0","--","0.4","5.36"
"86","75","Zortea","02-01-2015 22:00","6.9","53.8","0.0","--","0.5","5.36"
"86","75","Zortea","02-01-2015 23:00","7.0","55.8","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 00:00","6.8","55.6","0.0","--","0.6","5.36"
"86","75","Zortea","03-01-2015 01:00","6.5","52.8","0.0","--","0.6","5.36"
"86","75","Zortea","03-01-2015 02:00","6.2","52.5","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 03:00","6.0","52.4","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 04:00","6.0","50.9","0.0","--","0.6","5.36"
"86","75","Zortea","03-01-2015 05:00","5.7","51.8","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 06:00","5.4","51.5","0.0","--","0.6","5.36"
"86","75","Zortea","03-01-2015 07:00","5.2","50.4","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 08:00","5.1","49.1","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 09:00","5.6","45.5","0.0","--","0.4","5.36"
"86","75","Zortea","03-01-2015 10:00","5.6","49.3","0.0","--","0.3","5.36"
"86","75","Zortea","03-01-2015 11:00","6.4","49.7","0.0","--","0.2","5.36"
"86","75","Zortea","03-01-2015 12:00","9.5","41.1","0.0","--","0.3","5.36"
"86","75","Zortea","03-01-2015 13:00","9.7","41.4","0.0","--","0.2","5.36"
"86","75","Zortea","03-01-2015 14:00","8.6","48.1","0.0","--","0.3","5.36"
"86","75","Zortea","03-01-2015 15:00","8.8","49.7","0.0","--","0.2","5.36"
"86","75","Zortea","03-01-2015 16:00","7.6","54.5","0.0","--","0.2","5.36"
"86","75","Zortea","03-01-2015 17:00","4.4","66.2","0.0","--","0.2","5.36"
"86","75","Zortea","03-01-2015 18:00","3.1","71.0","0.0","--","0.4","5.36"
"86","75","Zortea","03-01-2015 19:00","2.3","74.6","0.0","--","0.4","5.36"
"86","75","Zortea","03-01-2015 20:00","1.7","77.8","0.0","--","0.5","5.36"
"86","75","Zortea","03-01-2015 21:00","1.3","78.8","0.0","--","0.4","5.36"
