"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"3","29","Arco","01-01-2016 00:00","-0.8","86.5","0.0","0.0","0.1","0.0"
"3","29","Arco","01-01-2016 01:00","-0.8","86.3","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 02:00","-1.2","88.0","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 03:00","-1.9","90.9","0.0","0.0","0.1","0.0"
"3","29","Arco","01-01-2016 04:00","-1.7","91.9","0.0","0.0","0.2","0.0"
"3","29","Arco","01-01-2016 05:00","-1.4","87.8","0.0","0.0","0.4","0.0"
"3","29","Arco","01-01-2016 06:00","-2.6","91.5","0.0","0.0","0.1","0.0"
"3","29","Arco","01-01-2016 07:00","-2.6","92.1","0.0","0.0","0.3","0.0"
"3","29","Arco","01-01-2016 08:00","-2.5","91.6","0.0","0.0","0.7","0.0"
"3","29","Arco","01-01-2016 09:00","-2.5","90.6","0.0","0.0","0.4","0.04"
"3","29","Arco","01-01-2016 10:00","-1.8","88.6","0.0","0.0","0.9","0.1"
"3","29","Arco","01-01-2016 11:00","0.6","79.9","0.0","0.0","0.8","0.67"
"3","29","Arco","01-01-2016 12:00","4.3","64.0","0.0","0.0","0.8","0.98"
"3","29","Arco","01-01-2016 13:00","7.0","53.7","0.0","0.0","0.4","1.02"
"3","29","Arco","01-01-2016 14:00","7.9","49.7","0.0","0.0","0.6","0.89"
"3","29","Arco","01-01-2016 15:00","7.6","49.6","0.0","0.0","0.8","0.52"
"3","29","Arco","01-01-2016 16:00","5.5","56.2","0.0","0.0","0.8","0.09"
"3","29","Arco","01-01-2016 17:00","4.4","61.8","0.0","0.0","0.4","0.02"
"3","29","Arco","01-01-2016 18:00","0.7","76.1","0.0","0.0","0.1","0.0"
"3","29","Arco","01-01-2016 19:00","-0.9","82.1","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 20:00","-2.9","88.7","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 21:00","-3.9","92.6","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 22:00","-4.6","93.6","0.0","0.0","0.0","0.0"
"3","29","Arco","01-01-2016 23:00","-5.2","93.7","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 00:00","-4.9","94.0","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 01:00","-3.2","94.4","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 02:00","-2.4","94.1","0.0","0.0","0.1","0.0"
"3","29","Arco","02-01-2016 03:00","-2.8","94.0","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 04:00","-2.8","94.2","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 05:00","-2.5","94.1","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 06:00","-2.9","94.0","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 07:00","-2.8","94.1","0.0","0.0","0.0","0.0"
"3","29","Arco","02-01-2016 08:00","-2.8","93.9","0.0","0.0","0.1","0.0"
"3","29","Arco","02-01-2016 09:00","-1.8","92.6","0.0","0.0","0.3","0.04"
"3","29","Arco","02-01-2016 10:00","-0.8","89.6","0.0","0.0","0.1","0.14"
"3","29","Arco","02-01-2016 11:00","0.3","85.2","0.0","0.0","0.3","0.23"
"3","29","Arco","02-01-2016 12:00","1.1","81.1","0.0","0.0","1.0","0.29"
"3","29","Arco","02-01-2016 13:00","1.8","77.1","0.0","0.0","0.7","0.22"
"3","29","Arco","02-01-2016 14:00","1.9","76.3","0.0","0.0","0.0","0.17"
"3","29","Arco","02-01-2016 15:00","1.5","82.2","0.0","0.0","0.1","0.07"
"3","29","Arco","02-01-2016 16:00","0.8","90.6","0.0","9.0","0.0","0.04"
"3","29","Arco","02-01-2016 17:00","0.4","95.0","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 18:00","0.3","95.9","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 19:00","0.3","96.2","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 20:00","0.3","96.4","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 21:00","0.3","96.6","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 22:00","0.4","96.7","0.0","60.0","0.0","0.0"
"3","29","Arco","02-01-2016 23:00","0.8","96.3","0.0","38.0","0.8","0.0"
"3","29","Arco","03-01-2016 00:00","1.2","89.4","0.6","0.0","2.0","0.0"
"3","29","Arco","03-01-2016 01:00","1.3","89.9","1.0","0.0","2.7","0.0"
"3","29","Arco","03-01-2016 02:00","0.8","94.4","0.2","0.0","2.2","0.0"
"3","29","Arco","03-01-2016 03:00","0.6","96.0","0.0","0.0","0.5","0.0"
"3","29","Arco","03-01-2016 04:00","0.9","95.2","0.2","0.0","0.4","0.0"
"3","29","Arco","03-01-2016 05:00","0.9","95.5","0.4","0.0","0.3","0.0"
"3","29","Arco","03-01-2016 06:00","1.7","93.0","0.8","0.0","0.5","0.0"
"3","29","Arco","03-01-2016 07:00","1.7","92.0","0.4","0.0","0.3","0.0"
"3","29","Arco","03-01-2016 08:00","1.2","94.3","0.2","0.0","0.0","0.0"
"3","29","Arco","03-01-2016 09:00","1.1","95.3","0.0","0.0","0.3","0.04"
"3","29","Arco","03-01-2016 10:00","1.7","92.6","0.0","0.0","1.0","0.13"
"3","29","Arco","03-01-2016 11:00","2.3","90.5","0.0","12.0","0.4","0.47"
"3","29","Arco","03-01-2016 12:00","4.8","79.9","0.0","60.0","0.6","0.94"
"3","29","Arco","03-01-2016 13:00","5.4","77.2","0.0","51.0","0.4","0.87"
"3","29","Arco","03-01-2016 14:00","6.3","73.5","0.0","0.0","1.2","0.8"
"3","29","Arco","03-01-2016 15:00","5.9","76.4","0.0","0.0","2.1","0.42"
"3","29","Arco","03-01-2016 16:00","5.6","77.6","0.0","0.0","1.0","0.21"
