"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"5","51","Avio","01-01-2017 00:00","-1.1","52.9","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 01:00","-1.6","55.1","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 02:00","-1.5","53.9","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 03:00","-2.1","56.1","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 04:00","-2.3","56.6","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 05:00","-1.9","53.7","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 06:00","-2.8","58.0","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 07:00","-2.7","57.0","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 08:00","-2.7","56.6","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 09:00","-2.9","59.4","0.0","0.0","0.0","0.05"
"5","51","Avio","01-01-2017 10:00","3.2","38.6","0.0","0.0","0.1","0.51"
"5","51","Avio","01-01-2017 11:00","5.0","34.4","0.0","0.0","0.5","1.01"
"5","51","Avio","01-01-2017 12:00","5.9","31.2","0.0","0.0","0.6","1.29"
"5","51","Avio","01-01-2017 13:00","7.3","29.1","0.0","0.0","0.7","1.31"
"5","51","Avio","01-01-2017 14:00","7.8","28.3","0.0","0.0","0.7","1.15"
"5","51","Avio","01-01-2017 15:00","7.9","27.2","0.0","0.0","0.5","0.73"
"5","51","Avio","01-01-2017 16:00","5.3","33.2","0.0","0.0","0.3","0.09"
"5","51","Avio","01-01-2017 17:00","2.2","45.8","0.0","0.0","0.0","0.03"
"5","51","Avio","01-01-2017 18:00","0.5","49.4","0.0","0.0","0.1","0.0"
"5","51","Avio","01-01-2017 19:00","0.0","48.8","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 20:00","-0.5","48.4","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 21:00","-1.1","50.6","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 22:00","-1.3","51.1","0.0","0.0","0.0","0.0"
"5","51","Avio","01-01-2017 23:00","-2.4","55.9","0.0","0.0","0.0","0.0"
"5","51","Avio","02-01-2017 00:00","-1.6","51.6","0.0","0.0","0.0","0.0"
