"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"7","24","Baselga di Pine","01-01-2016 00:00","-0.8","81.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 01:00","-1.0","81.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 02:00","-1.1","82.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 03:00","-1.6","85.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 04:00","-1.8","85.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 05:00","-1.3","82.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 06:00","-1.9","84.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 07:00","-2.6","86.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 08:00","-3.2","88.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 09:00","-3.2","88.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 10:00","-0.9","77.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 11:00","2.4","58.6","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 12:00","3.4","55.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 13:00","5.7","47.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 14:00","7.3","42.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 15:00","7.7","41.1","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 16:00","5.2","48.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 17:00","2.1","57.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 18:00","-0.2","69.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 19:00","-0.8","76.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 20:00","-2.0","81.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 21:00","-2.4","83.5","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 22:00","-2.7","84.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","01-01-2016 23:00","-3.3","85.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 00:00","-3.6","88.0","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 01:00","-3.8","88.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 02:00","-4.1","89.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 03:00","-3.9","90.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 04:00","-3.6","88.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 05:00","-3.8","90.5","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 06:00","-4.2","90.9","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 07:00","-3.8","90.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 08:00","-3.8","90.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 09:00","-3.2","90.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 10:00","-2.2","87.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 11:00","-1.2","83.8","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 12:00","-0.5","80.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 13:00","1.2","69.7","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 14:00","1.7","65.2","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 15:00","2.0","65.4","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 16:00","1.2","70.3","0.0","0.0","--","--"
"7","24","Baselga di Pine","02-01-2016 17:00","0.3","75.1","0.0","0.0","--","--"
