"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"15","66","Caldonazzo","01-01-2016 00:00","-0.8","71.6","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","01-01-2016 01:00","-0.8","71.8","0.0","0.0","0.6","0.0"
"15","66","Caldonazzo","01-01-2016 02:00","-1.0","72.8","0.0","0.0","0.6","0.0"
"15","66","Caldonazzo","01-01-2016 03:00","-0.9","69.9","0.0","0.0","0.3","0.0"
"15","66","Caldonazzo","01-01-2016 04:00","-1.3","72.8","0.0","0.0","0.2","0.0"
"15","66","Caldonazzo","01-01-2016 05:00","-1.4","73.8","0.0","0.0","0.5","0.0"
"15","66","Caldonazzo","01-01-2016 06:00","-1.1","69.9","0.0","0.0","0.6","0.0"
"15","66","Caldonazzo","01-01-2016 07:00","-1.3","67.5","0.0","0.0","0.2","0.0"
"15","66","Caldonazzo","01-01-2016 08:00","-1.8","70.1","0.0","0.0","0.6","0.0"
"15","66","Caldonazzo","01-01-2016 09:00","-1.8","70.5","0.0","0.0","0.8","0.03"
"15","66","Caldonazzo","01-01-2016 10:00","-1.3","70.1","0.0","0.0","0.1","0.09"
"15","66","Caldonazzo","01-01-2016 11:00","0.4","64.6","0.0","0.0","0.2","0.47"
"15","66","Caldonazzo","01-01-2016 12:00","3.8","50.6","0.0","0.0","0.5","1.2"
"15","66","Caldonazzo","01-01-2016 13:00","6.1","44.0","0.0","0.0","0.6","1.26"
"15","66","Caldonazzo","01-01-2016 14:00","6.9","41.8","0.0","0.0","0.5","1.13"
"15","66","Caldonazzo","01-01-2016 15:00","6.2","44.3","0.0","0.0","0.6","0.8"
"15","66","Caldonazzo","01-01-2016 16:00","5.7","46.4","0.0","0.0","0.5","0.33"
"15","66","Caldonazzo","01-01-2016 17:00","2.8","56.5","0.0","0.0","0.6","0.01"
"15","66","Caldonazzo","01-01-2016 18:00","1.8","60.2","0.0","0.0","0.5","0.0"
"15","66","Caldonazzo","01-01-2016 19:00","0.7","66.1","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","01-01-2016 20:00","0.1","69.2","0.0","0.0","0.3","0.0"
"15","66","Caldonazzo","01-01-2016 21:00","-0.3","71.2","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","01-01-2016 22:00","-0.4","71.4","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","01-01-2016 23:00","-1.0","73.8","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","02-01-2016 00:00","-1.4","76.1","0.0","0.0","0.0","0.0"
"15","66","Caldonazzo","02-01-2016 01:00","-1.8","78.4","0.0","0.0","0.1","0.0"
"15","66","Caldonazzo","02-01-2016 02:00","-1.8","78.8","0.0","0.0","0.2","0.0"
"15","66","Caldonazzo","02-01-2016 03:00","-1.9","78.8","0.0","0.0","0.0","0.0"
"15","66","Caldonazzo","02-01-2016 04:00","-2.4","81.6","0.0","0.0","0.3","0.0"
"15","66","Caldonazzo","02-01-2016 05:00","-2.0","80.2","0.0","0.0","0.0","0.0"
"15","66","Caldonazzo","02-01-2016 06:00","-2.4","81.9","0.0","0.0","0.4","0.0"
"15","66","Caldonazzo","02-01-2016 07:00","-2.3","80.7","0.0","0.0","0.8","0.0"
"15","66","Caldonazzo","02-01-2016 08:00","-2.2","80.8","0.0","0.0","0.5","0.0"
"15","66","Caldonazzo","02-01-2016 09:00","-2.5","83.0","0.0","0.0","0.3","0.05"
"15","66","Caldonazzo","02-01-2016 10:00","-1.5","79.2","0.0","0.0","0.7","0.1"
"15","66","Caldonazzo","02-01-2016 11:00","-0.9","76.3","0.0","0.0","0.5","0.24"
"15","66","Caldonazzo","02-01-2016 12:00","-0.6","77.5","0.0","0.0","0.7","0.28"
"15","66","Caldonazzo","02-01-2016 13:00","0.6","70.8","0.0","0.0","0.7","0.61"
