"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"17","83","Cavedine","01-01-2016 00:00","-0.5","87.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 01:00","-0.5","87.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 02:00","-0.7","88.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 03:00","-1.3","90.8","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 04:00","-1.4","90.7","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 05:00","-1.7","92.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 06:00","-2.3","92.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 07:00","-2.3","91.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 08:00","-2.9","92.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 09:00","-3.0","93.2","0.0","0.0","0.0","0.05"
"17","83","Cavedine","01-01-2016 10:00","-1.9","90.4","0.0","0.0","0.0","0.26"
"17","83","Cavedine","01-01-2016 11:00","2.2","72.8","0.0","0.0","0.1","0.79"
"17","83","Cavedine","01-01-2016 12:00","4.3","62.2","0.0","0.0","0.2","1.1"
"17","83","Cavedine","01-01-2016 13:00","5.5","56.5","0.0","0.0","0.0","1.16"
"17","83","Cavedine","01-01-2016 14:00","6.7","50.8","0.0","0.0","0.1","1.06"
"17","83","Cavedine","01-01-2016 15:00","6.0","52.8","0.0","0.0","0.4","0.7"
"17","83","Cavedine","01-01-2016 16:00","4.0","59.6","0.0","0.0","0.0","0.1"
"17","83","Cavedine","01-01-2016 17:00","1.9","69.1","0.0","0.0","0.0","0.02"
"17","83","Cavedine","01-01-2016 18:00","0.4","74.5","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 19:00","-1.0","81.4","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 20:00","-1.6","83.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 21:00","-2.8","86.7","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 22:00","-2.8","87.4","0.0","0.0","0.0","0.0"
"17","83","Cavedine","01-01-2016 23:00","-3.5","88.5","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 00:00","-4.0","90.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 01:00","-3.7","90.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 02:00","-3.6","90.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 03:00","-3.7","88.4","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 04:00","-3.9","90.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 05:00","-3.6","92.8","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 06:00","-3.9","92.5","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 07:00","-4.4","92.5","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 08:00","-4.0","95.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 09:00","-3.7","95.9","0.0","0.0","0.0","0.05"
"17","83","Cavedine","02-01-2016 10:00","-2.8","95.4","0.0","0.0","0.0","0.14"
"17","83","Cavedine","02-01-2016 11:00","-1.4","91.8","0.0","0.0","0.0","0.29"
"17","83","Cavedine","02-01-2016 12:00","-0.6","88.1","0.0","0.0","0.0","0.33"
"17","83","Cavedine","02-01-2016 13:00","0.2","81.1","0.0","0.0","0.0","0.35"
"17","83","Cavedine","02-01-2016 14:00","0.6","77.1","0.0","0.0","0.0","0.26"
"17","83","Cavedine","02-01-2016 15:00","0.6","79.1","0.0","0.0","0.0","0.14"
"17","83","Cavedine","02-01-2016 16:00","0.1","84.9","0.0","38.0","0.0","0.05"
"17","83","Cavedine","02-01-2016 17:00","-0.7","95.6","0.0","3.0","0.0","0.01"
"17","83","Cavedine","02-01-2016 18:00","-0.8","96.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 19:00","-0.8","97.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 20:00","-0.7","97.6","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 21:00","-0.5","96.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 22:00","-0.6","98.0","0.0","0.0","0.0","0.0"
"17","83","Cavedine","02-01-2016 23:00","-0.6","98.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 00:00","-0.6","98.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 01:00","-0.7","98.4","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 02:00","-0.6","98.8","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 03:00","-0.7","98.9","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 04:00","-0.8","99.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 05:00","-1.1","99.2","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 06:00","-1.1","99.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 07:00","-1.3","99.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 08:00","-1.3","99.3","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 09:00","-0.7","99.2","0.0","0.0","0.0","0.01"
"17","83","Cavedine","03-01-2016 10:00","0.1","98.5","0.0","46.0","0.0","0.04"
"17","83","Cavedine","03-01-2016 11:00","2.4","87.8","0.8","60.0","0.2","0.42"
"17","83","Cavedine","03-01-2016 12:00","3.4","82.4","4.2","60.0","0.1","1.0"
"17","83","Cavedine","03-01-2016 13:00","2.9","84.8","0.8","60.0","0.0","1.03"
"17","83","Cavedine","03-01-2016 14:00","4.2","81.5","0.0","58.0","0.0","0.91"
"17","83","Cavedine","03-01-2016 15:00","2.5","87.2","0.0","60.0","0.0","0.4"
"17","83","Cavedine","03-01-2016 16:00","1.3","91.7","0.0","60.0","0.0","0.18"
"17","83","Cavedine","03-01-2016 17:00","0.1","95.6","0.0","43.0","0.0","0.03"
"17","83","Cavedine","03-01-2016 18:00","-1.2","98.1","0.0","0.0","0.0","0.0"
"17","83","Cavedine","03-01-2016 19:00","-1.3","98.7","0.0","0.0","0.0","0.0"
