"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"23","25","Denno","01-01-2016 00:00","-0.5","77.5","0.0","0.0","0.1","0.0"
"23","25","Denno","01-01-2016 01:00","-0.7","78.4","0.0","0.0","0.2","0.0"
"23","25","Denno","01-01-2016 02:00","-0.9","79.9","0.0","0.0","0.1","0.0"
"23","25","Denno","01-01-2016 03:00","-1.0","80.8","0.0","0.0","0.2","0.0"
"23","25","Denno","01-01-2016 04:00","-1.1","80.9","0.0","0.0","0.5","0.0"
"23","25","Denno","01-01-2016 05:00","-1.5","82.7","0.0","0.0","0.1","0.0"
"23","25","Denno","01-01-2016 06:00","-1.4","83.0","0.0","0.0","0.3","0.0"
"23","25","Denno","01-01-2016 07:00","-1.8","84.1","0.0","0.0","0.5","0.0"
"23","25","Denno","01-01-2016 08:00","-2.4","85.4","0.0","0.0","0.2","0.0"
"23","25","Denno","01-01-2016 09:00","-2.4","85.2","0.0","0.0","0.3","0.05"
"23","25","Denno","01-01-2016 10:00","0.7","73.8","0.0","0.0","0.1","0.4"
"23","25","Denno","01-01-2016 11:00","3.3","63.2","0.0","0.0","0.2","0.83"
"23","25","Denno","01-01-2016 12:00","4.7","57.2","0.0","0.0","0.4","1.06"
"23","25","Denno","01-01-2016 13:00","5.4","55.4","0.0","0.0","0.6","1.15"
"23","25","Denno","01-01-2016 14:00","6.1","51.1","0.0","0.0","0.6","1.05"
"23","25","Denno","01-01-2016 15:00","6.0","49.4","0.0","0.0","0.8","0.7"
"23","25","Denno","01-01-2016 16:00","3.7","54.0","0.0","0.0","0.8","0.07"
"23","25","Denno","01-01-2016 17:00","2.6","59.4","0.0","0.0","0.4","0.02"
"23","25","Denno","01-01-2016 18:00","0.8","68.2","0.0","0.0","0.3","0.0"
"23","25","Denno","01-01-2016 19:00","-0.1","72.8","0.0","0.0","0.5","0.0"
"23","25","Denno","01-01-2016 20:00","-0.4","74.2","0.0","0.0","0.2","0.0"
"23","25","Denno","01-01-2016 21:00","-0.9","77.2","0.0","0.0","0.1","0.0"
"23","25","Denno","01-01-2016 22:00","-1.5","80.4","0.0","0.0","0.0","0.0"
"23","25","Denno","01-01-2016 23:00","-1.8","82.4","0.0","0.0","0.0","0.0"
"23","25","Denno","02-01-2016 00:00","-2.5","85.7","0.0","0.0","0.1","0.0"
"23","25","Denno","02-01-2016 01:00","-2.5","86.9","0.0","0.0","0.0","0.0"
"23","25","Denno","02-01-2016 02:00","-2.6","87.7","0.0","0.0","0.0","0.0"
"23","25","Denno","02-01-2016 03:00","-2.6","88.8","0.0","0.0","0.0","0.0"
"23","25","Denno","02-01-2016 04:00","-2.8","89.1","0.0","0.0","0.0","0.0"
"23","25","Denno","02-01-2016 05:00","-2.9","90.0","0.0","0.0","0.1","0.0"
"23","25","Denno","02-01-2016 06:00","-2.9","88.5","0.0","0.0","0.1","0.0"
"23","25","Denno","02-01-2016 07:00","-2.8","89.1","0.0","0.0","0.0","0.0"
